Category,Average Maximum Surface Air Temperature (Annual Mean °C),Average Mean Surface Air Temperature (Annual Mean °C),Average Minimum Surface Air Temperature (Annual Mean °C),Precipitation (Annual Mean mm),Annual SPEI Drought Index (spei index),Average Largest 1-Day Precipitation (mm),Average Largest 5-Day Cumulative Precipitation (mm),Precipitation amount during wettest days (mm),Relative Humidity (%),Temperature-based Excess Mortality (factor),Region,Precipitation (mm),Average Maximum Surface Air Temperature (°C),Average Mean Surface Air Temperature (°C),Average Minimum Surface Air Temperature (°C)
1901,19.77,12.95,6.17,355.19,,,,,,,Andijon,,,,
1902,20.68,13.87,7.1,461.47,,,,,,,Andijon,,,,
1903,18.94,12.25,5.6,299.33,,,,,,,Andijon,,,,
1904,19.88,12.85,5.85,283.19,,,,,,,Andijon,,,,
1905,19.29,12.6,5.95,265.46,,,,,,,Andijon,,,,
1906,20.0,13.31,6.65,250.67,,,,,,,Andijon,,,,
1907,18.88,12.4,5.98,357.85,,,,,,,Andijon,,,,
1908,20.01,13.12,6.26,329.67,,,,,,,Andijon,,,,
1909,21.11,13.88,6.69,223.48,,,,,,,Andijon,,,,
1910,19.89,13.2,6.53,311.68,,,,,,,Andijon,,,,
1911,19.46,12.64,5.87,302.06,,,,,,,Andijon,,,,
1912,20.71,13.42,6.16,274.0,,,,,,,Andijon,,,,
1913,20.49,13.5,6.55,257.0,,,,,,,Andijon,,,,
1914,20.69,14.32,8.0,297.79,,,,,,,Andijon,,,,
1915,21.31,14.82,8.36,232.89,,,,,,,Andijon,,,,
1916,19.58,12.81,6.06,199.14,,,,,,,Andijon,,,,
1917,20.79,14.07,7.39,102.5,,,,,,,Andijon,,,,
1918,19.67,12.56,5.48,248.34,,,,,,,Andijon,,,,
1919,19.83,12.57,5.34,200.72,,,,,,,Andijon,,,,
1920,17.64,11.53,5.44,351.55,,,,,,,Andijon,,,,
1921,19.01,12.5,6.02,381.41,,,,,,,Andijon,,,,
1922,20.65,13.8,6.98,294.41,,,,,,,Andijon,,,,
1923,19.45,12.6,5.78,317.9,,,,,,,Andijon,,,,
1924,19.8,12.99,6.2,305.18,,,,,,,Andijon,,,,
1925,21.1,13.78,6.49,201.06,,,,,,,Andijon,,,,
1926,20.22,13.51,6.84,213.55,,,,,,,Andijon,,,,
1927,20.09,13.4,6.73,178.31,,,,,,,Andijon,,,,
1928,18.61,12.36,6.14,380.24,,,,,,,Andijon,,,,
1929,18.64,12.04,5.47,284.49,,,,,,,Andijon,,,,
1930,18.63,12.26,5.92,246.52,,,,,,,Andijon,,,,
1931,18.39,12.3,6.23,335.4,,,,,,,Andijon,,,,
1932,18.86,12.54,6.26,299.94,,,,,,,Andijon,,,,
1933,19.5,12.95,6.43,291.73,,,,,,,Andijon,,,,
