"Category","Annual SPEI Drought Index (spei index)"
1950,
1951,0.03
1952,0.12
1953,-0.11
1954,1.39
1955,-0.34
1956,-0.15
1957,0.12
1958,0.57
1959,0.51
1960,0.31
1961,-1.1
1962,-1.84
1963,0.05
1964,0.9
1965,-0.61
1966,-0.35
1967,-1.23
1968,-0.51
1969,1.9
1970,0.41
1971,-0.91
1972,-0.28
1973,0.2
1974,-0.95
1975,-1.18
1976,-0.36
1977,-0.44
1978,0.4
1979,0.41
1980,0.05
1981,0.31
1982,-0.68
1983,-0.09
1984,-0.21
1985,0.34
1986,-0.98
1987,0.64
1988,1.34
1989,-0.68
1990,0.36
1991,0.17
1992,0.78
1993,1.04
1994,1.14
1995,0.03
1996,0.38
1997,-0.74
1998,0.85
1999,1.07
2000,-0.43
2001,-0.31
2002,0.58
2003,1.16
2004,0.5
2005,0.4
2006,-0.03
2007,-0.85
2008,-1.31
2009,-0.11
2010,0.84
2011,-0.61
2012,0.44
2013,-0.85
2014,-0.56
2015,-0.19
2016,0.11
2017,1.1
2018,0.18
2019,0.11
2020,-0.32
2021,-0.56
2022,-0.81
2023,-0.6
2024,-0.73
