"Category","Average Largest 1-Day Precipitation (mm)"
1950,24.25
1951,15.7
1952,18.25
1953,16.71
1954,17.62
1955,22.22
1956,16.48
1957,13.62
1958,34.43
1959,23.25
1960,15.98
1961,13.81
1962,14.53
1963,21.23
1964,20.52
1965,19.02
1966,16.85
1967,18.16
1968,17.1
1969,20.59
1970,19.84
1971,16.28
1972,16.01
1973,14.53
1974,13.19
1975,12.41
1976,15.27
1977,38.93
1978,17.18
1979,28.11
1980,18.17
1981,18.74
1982,21.46
1983,21.04
1984,14.62
1985,18.46
1986,13.31
1987,26.29
1988,17.71
1989,18.19
1990,18.54
1991,17.91
1992,14.42
1993,23.65
1994,18.91
1995,16.74
1996,20.61
1997,13.32
1998,20.89
1999,16.1
2000,25.42
2001,16.62
2002,17.07
2003,21.09
2004,16.55
2005,26.51
2006,18.49
2007,19.32
2008,15.43
2009,16.04
2010,16.98
2011,18.4
2012,16.47
2013,12.81
2014,16.55
2015,20.07
2016,18.18
2017,18.66
2018,15.37
2019,20.58
2020,14.52
2021,17.92
2022,18.64
2023,22.28
2024,25.88
