"Category","Average Largest 5-Day Cumulative Precipitation (mm)"
1950,36.1
1951,40
1952,41.52
1953,37.02
1954,38.17
1955,43.53
1956,41.18
1957,30.78
1958,58.31
1959,49.9
1960,38.02
1961,21.9
1962,33.77
1963,39.26
1964,34.7
1965,48.17
1966,37.09
1967,35.17
1968,37.06
1969,62.39
1970,39.5
1971,26
1972,36.59
1973,40.4
1974,23.34
1975,30.87
1976,31.27
1977,86.67
1978,29.94
1979,65.79
1980,27.41
1981,35.29
1982,36.66
1983,37.29
1984,43.37
1985,32.94
1986,28.33
1987,70.56
1988,40.38
1989,34.96
1990,40.67
1991,52.42
1992,39.28
1993,56.26
1994,35.68
1995,31.7
1996,36.17
1997,23.39
1998,51.25
1999,39.18
2000,40.59
2001,32.49
2002,35.78
2003,60.3
2004,46.74
2005,42.9
2006,48.66
2007,58.65
2008,28.8
2009,33.61
2010,36.54
2011,45.23
2012,47.09
2013,27.62
2014,35.04
2015,31.6
2016,42.51
2017,33.89
2018,36.62
2019,37.79
2020,23.43
2021,37.91
2022,40.84
2023,49.56
2024,34.83
