"Category","Precipitation amount during wettest days (mm)"
1950,9.87
1951,2.09
1952,5.53
1953,5.49
1954,6.55
1955,12.51
1956,5.93
1957,1.26
1958,9.38
1959,12.38
1960,5.95
1961,0.02
1962,2.77
1963,11.18
1964,10.12
1965,5.18
1966,4.37
1967,4.82
1968,4.34
1969,11.47
1970,9.68
1971,2.88
1972,2.72
1973,2.79
1974,2.18
1975,1.53
1976,2.88
1977,19.18
1978,2.76
1979,21.26
1980,4.95
1981,4.16
1982,8.28
1983,7.51
1984,3.69
1985,5.01
1986,4
1987,15.84
1988,7.4
1989,4.04
1990,5.6
1991,5.9
1992,2.65
1993,15.17
1994,7.42
1995,5.87
1996,7.49
1997,2.49
1998,11.46
1999,2.72
2000,9.85
2001,4.52
2002,3.19
2003,14.29
2004,4.22
2005,11.81
2006,3.62
2007,5.59
2008,2.28
2009,4.07
2010,6.59
2011,6.47
2012,3.34
2013,2.82
2014,2.41
2015,6.86
2016,6.28
2017,7.16
2018,3.18
2019,8.6
2020,2.18
2021,5.54
2022,4.86
2023,11.14
2024,16.33
