"Category","Relative Humidity (%)"
1950,51.86
1951,57.96
1952,53.27
1953,56.51
1954,57
1955,48.02
1956,52.69
1957,57.69
1958,55.56
1959,55.5
1960,55.01
1961,47.37
1962,48.8
1963,52.65
1964,52.5
1965,48.98
1966,50.35
1967,50.86
1968,51.98
1969,63.52
1970,53.32
1971,49.63
1972,55.68
1973,51.77
1974,52.88
1975,48.56
1976,57.08
1977,55.48
1978,55.92
1979,53.82
1980,55.14
1981,56.47
1982,51.09
1983,52.58
1984,54.19
1985,54.86
1986,52.08
1987,59.47
1988,56.23
1989,52.65
1990,57.06
1991,56.59
1992,57.89
1993,60.57
1994,56.86
1995,53.4
1996,56.76
1997,52.98
1998,59.96
1999,57.01
2000,53.97
2001,55.11
2002,57.13
2003,59.05
2004,56.58
2005,55.77
2006,56.66
2007,54.04
2008,53
2009,56.29
2010,58.4
2011,55.04
2012,54.95
2013,55.7
2014,55.71
2015,57.82
2016,57.09
2017,57.02
2018,57.46
2019,54.77
2020,54.56
2021,49.84
2022,54.25
2023,53.37
2024,60.22
