"Category","Temperature-based Excess Mortality (factor)"
1950,0.05
1951,0.03
1952,0.04
1953,0.04
1954,0.01
1955,0.11
1956,0.12
1957,0.01
1958,0.07
1959,0.04
1960,0.06
1961,0.11
1962,0.1
1963,0.06
1964,0.03
1965,0.11
1966,0.11
1967,0.09
1968,0.11
1969,0.03
1970,0.08
1971,0.11
1972,0.02
1973,0.12
1974,0.09
1975,0.13
1976,0.08
1977,0.09
1978,0.09
1979,0.11
1980,0.07
1981,0.04
1982,0.1
1983,0.12
1984,0.15
1985,0.07
1986,0.09
1987,0.06
1988,0.1
1989,0.07
1990,0.11
1991,0.06
1992,0.03
1993,0.03
1994,0.08
1995,0.09
1996,0.09
1997,0.16
1998,0.06
1999,0.05
2000,0.09
2001,0.08
2002,0.1
2003,0.08
2004,0.1
2005,0.1
2006,0.1
2007,0.09
2008,0.18
2009,0.05
2010,0.04
2011,0.11
2012,0.07
2013,0.11
2014,0.11
2015,0.1
2016,0.1
2017,0.07
2018,0.09
2019,0.12
2020,0.05
2021,0.11
2022,0.15
2023,0.12
2024,0.08
