"Category","Average Maximum Surface Air Temperature (Annual Mean °C)","5-year smooth (Gaussian Smooth)"
1901,19.77,20.09
1902,20.68,19.88
1903,18.94,19.69
1904,19.88,19.55
1905,19.29,19.47
1906,20,19.49
1907,18.88,19.61
1908,20.01,19.83
1909,21.11,20.09
1910,19.89,20.34
1911,19.46,20.53
1912,20.71,20.62
1913,20.49,20.59
1914,20.69,20.46
1915,21.31,20.28
1916,19.58,20.08
1917,20.79,19.89
1918,19.67,19.75
1919,19.83,19.66
1920,17.64,19.61
1921,19.01,19.6
1922,20.65,19.63
1923,19.45,19.69
1924,19.8,19.77
1925,21.1,19.82
1926,20.22,19.83
1927,20.09,19.76
1928,18.61,19.57
1929,18.64,19.28
1930,18.63,18.95
1931,18.39,18.64
1932,18.86,18.42
1933,19.5,18.37
1934,17.89,18.54
1935,18.75,18.88
1936,19.85,19.32
1937,19.01,19.77
1938,20.16,20.16
1939,20.45,20.41
1940,20.82,20.52
1941,21.44,20.49
1942,19.73,20.37
1943,19.02,20.18
1944,20.54,19.96
1945,19.08,19.73
1946,19.8,19.5
1947,20.49,19.3
1948,19.81,19.14
1949,17.92,19.03
1950,18.68,19
1951,18.86,19.02
1952,19.19,19.08
1953,19.25,19.17
1954,18.35,19.25
1955,20.68,19.32
1956,19.87,19.36
1957,18.48,19.4
1958,19.66,19.43
1959,19.07,19.48
1960,18.97,19.54
1961,20.38,19.63
1962,19.77,19.73
1963,20.68,19.81
1964,18.6,19.85
1965,20.16,19.84
1966,20.26,19.76
1967,19.44,19.62
1968,19.47,19.46
1969,17.72,19.31
1970,20.17,19.2
1971,20.78,19.15
1972,17.59,19.19
1973,19.99,19.27
1974,18.75,19.39
1975,19.9,19.51
1976,18.97,19.61
1977,20.02,19.68
1978,19.67,19.73
1979,19.95,19.75
1980,20.09,19.77
1981,20.07,19.8
1982,19.28,19.85
1983,20.77,19.9
1984,18.85,19.95
1985,19.71,19.98
1986,19.98,19.98
1987,19.7,19.94
1988,20.62,19.86
1989,19.63,19.77
1990,20.35,19.68
1991,19.82,19.62
1992,19.56,19.61
1993,18.59,19.66
1994,19.54,19.77
1995,20.76,19.91
1996,19.3,20.08
1997,20.88,20.24
1998,20,20.38
1999,20.73,20.5
2000,20.63,20.6
2001,21.13,20.67
2002,20.75,20.72
2003,19.82,20.73
2004,20.99,20.72
2005,20.69,20.69
2006,20.78,20.66
2007,20.86,20.61
2008,20.25,20.58
2009,20.57,20.55
2010,21.18,20.55
2011,20.17,20.57
2012,20.1,20.64
2013,21.24,20.75
2014,20.23,20.92
2015,21.29,21.12
2016,22.15,21.35
2017,21.54,21.57
2018,21.75,21.77
2019,22.18,21.91
2020,21.02,21.99
2021,22.23,22.02
2022,21.72,22.01
2023,22.67,21.97
2024,21.68,21.92
