"Category","Average Mean Surface Air Temperature (Annual Mean °C)","5-year smooth (Gaussian Smooth)"
1901,12.95,13.25
1902,13.87,13.07
1903,12.25,12.91
1904,12.85,12.79
1905,12.6,12.73
1906,13.31,12.73
1907,12.4,12.84
1908,13.12,13.01
1909,13.88,13.23
1910,13.2,13.44
1911,12.64,13.61
1912,13.42,13.71
1913,13.5,13.72
1914,14.32,13.65
1915,14.82,13.52
1916,12.81,13.37
1917,14.07,13.21
1918,12.56,13.06
1919,12.57,12.94
1920,11.53,12.84
1921,12.5,12.79
1922,13.8,12.79
1923,12.6,12.84
1924,12.99,12.93
1925,13.78,13.03
1926,13.51,13.1
1927,13.4,13.1
1928,12.36,13
1929,12.04,12.8
1930,12.26,12.55
1931,12.3,12.3
1932,12.54,12.12
1933,12.95,12.06
1934,11.75,12.17
1935,12.36,12.41
1936,12.93,12.73
1937,12.22,13.07
1938,13.36,13.38
1939,13.7,13.59
1940,14.09,13.69
1941,14.6,13.7
1942,13.25,13.63
1943,12.46,13.5
1944,13.79,13.32
1945,12.51,13.12
1946,13.06,12.91
1947,13.67,12.72
1948,13.02,12.56
1949,11.67,12.47
1950,12,12.45
1951,12.49,12.5
1952,12.87,12.59
1953,13.03,12.7
1954,11.91,12.79
1955,13.84,12.86
1956,13.1,12.89
1957,12,12.9
1958,13.3,12.92
1959,12.78,12.96
1960,12.55,13.03
1961,13.76,13.15
1962,13.38,13.29
1963,14.15,13.42
1964,12.22,13.5
1965,13.73,13.52
1966,13.85,13.45
1967,13.29,13.3
1968,13.22,13.12
1969,11.73,12.94
1970,13.64,12.82
1971,14.04,12.78
1972,11.42,12.83
1973,13.48,12.94
1974,12.52,13.1
1975,13.51,13.26
1976,13,13.4
1977,13.81,13.5
1978,13.53,13.57
1979,13.77,13.61
1980,13.91,13.63
1981,13.98,13.66
1982,13.19,13.68
1983,14.33,13.71
1984,12.72,13.73
1985,13.44,13.75
1986,13.8,13.75
1987,13.75,13.73
1988,14.35,13.69
1989,13.31,13.64
1990,14.17,13.59
1991,13.71,13.56
1992,13.62,13.56
1993,12.79,13.59
1994,13.44,13.65
1995,14.28,13.74
1996,13.13,13.86
1997,14.48,13.99
1998,14.01,14.14
1999,14.61,14.29
2000,14.46,14.43
2001,14.78,14.56
2002,14.58,14.66
2003,14.03,14.71
2004,15.08,14.72
2005,14.68,14.69
2006,14.7,14.64
2007,14.69,14.59
2008,14.23,14.54
2009,14.56,14.51
2010,15.14,14.49
2011,14.22,14.49
2012,13.87,14.5
2013,15.07,14.53
2014,13.78,14.58
2015,15.08,14.64
2016,15.41,14.72
2017,14.66,14.81
2018,14.63,14.91
2019,15.35,15.03
2020,14.31,15.15
2021,15.39,15.28
2022,15.68,15.42
2023,16.12,15.57
2024,15.28,15.72
