"Category","Average Minimum Surface Air Temperature (Annual Mean °C)","5-year smooth (Gaussian Smooth)"
1901,6.17,6.45
1902,7.1,6.31
1903,5.6,6.17
1904,5.85,6.07
1905,5.95,6.01
1906,6.65,6.01
1907,5.98,6.09
1908,6.26,6.23
1909,6.69,6.4
1910,6.53,6.58
1911,5.87,6.74
1912,6.16,6.84
1913,6.55,6.88
1914,8,6.86
1915,8.36,6.8
1916,6.06,6.69
1917,7.39,6.55
1918,5.48,6.4
1919,5.34,6.24
1920,5.44,6.1
1921,6.02,6
1922,6.98,5.97
1923,5.78,6.02
1924,6.2,6.13
1925,6.49,6.27
1926,6.84,6.4
1927,6.73,6.48
1928,6.14,6.47
1929,5.47,6.36
1930,5.92,6.19
1931,6.23,6
1932,6.26,5.85
1933,6.43,5.78
1934,5.65,5.83
1935,6.01,5.98
1936,6.04,6.19
1937,5.46,6.42
1938,6.59,6.63
1939,6.97,6.8
1940,7.41,6.9
1941,7.8,6.94
1942,6.81,6.92
1943,5.93,6.85
1944,7.07,6.72
1945,5.97,6.55
1946,6.35,6.35
1947,6.89,6.17
1948,6.26,6.02
1949,5.46,5.94
1950,5.34,5.95
1951,6.16,6.02
1952,6.58,6.13
1953,6.87,6.26
1954,5.5,6.37
1955,7.05,6.43
1956,6.36,6.45
1957,5.55,6.44
1958,6.98,6.44
1959,6.52,6.47
1960,6.17,6.56
1961,7.19,6.71
1962,7.01,6.89
1963,7.65,7.06
1964,5.87,7.19
1965,7.35,7.24
1966,7.48,7.17
1967,7.21,7.01
1968,6.98,6.81
1969,5.76,6.62
1970,7.17,6.47
1971,7.35,6.43
1972,5.29,6.5
1973,6.99,6.65
1974,6.33,6.84
1975,7.15,7.04
1976,7.07,7.22
1977,7.64,7.35
1978,7.43,7.44
1979,7.62,7.49
1980,7.76,7.52
1981,7.94,7.54
1982,7.14,7.55
1983,7.92,7.55
1984,6.62,7.55
1985,7.19,7.55
1986,7.66,7.55
1987,7.84,7.55
1988,8.13,7.54
1989,7.02,7.54
1990,8.03,7.54
1991,7.64,7.54
1992,7.72,7.54
1993,7.02,7.55
1994,7.37,7.56
1995,7.84,7.6
1996,6.98,7.67
1997,8.1,7.77
1998,8.06,7.93
1999,8.52,8.11
2000,8.33,8.31
2001,8.47,8.49
2002,8.46,8.64
2003,8.28,8.73
2004,9.2,8.75
2005,8.73,8.73
2006,8.64,8.68
2007,8.58,8.61
2008,8.24,8.55
2009,8.6,8.5
2010,9.15,8.47
2011,8.28,8.44
2012,7.68,8.41
2013,8.95,8.36
2014,7.37,8.28
2015,8.9,8.2
2016,8.7,8.12
2017,7.82,8.08
2018,7.55,8.09
2019,8.55,8.18
2020,7.61,8.35
2021,8.59,8.59
2022,9.67,8.88
2023,9.62,9.2
2024,8.93,9.55
