"Category","Precipitation (Annual Mean mm)","5-year smooth (Gaussian Smooth)"
1901,355.19,392.41
1902,461.47,363.31
1903,299.33,336.01
1904,283.19,312.24
1905,265.46,293.93
1906,250.67,282.8
1907,357.85,280.37
1908,329.67,284.84
1909,223.48,292.1
1910,311.68,298.01
1911,302.06,298.46
1912,274,289.34
1913,257,270.11
1914,297.79,246.06
1915,232.89,223.04
1916,199.14,206.88
1917,102.5,203.53
1918,248.34,216.88
1919,200.72,242.18
1920,351.55,272.3
1921,381.41,299.83
1922,294.41,317.64
1923,317.9,319.02
1924,305.18,305.08
1925,201.06,282.93
1926,213.55,259.74
1927,178.31,242.69
1928,380.24,238.93
1929,284.49,251.17
1930,246.52,273.67
1931,335.4,299.78
1932,299.94,322.91
1933,291.73,336.28
1934,350.83,334.86
1935,361.1,321.54
1936,248.14,301.77
1937,318.39,281.17
1938,234.46,265.19
1939,217.73,259.05
1940,256.57,263.21
1941,308.82,274.03
1942,349.86,287.77
1943,365.97,300.68
1944,218.38,309.06
1945,368.54,311.02
1946,234.01,308.8
1947,258.34,305.15
1948,295.12,302.78
1949,348.53,304.46
1950,253.66,312.24
1951,405.11,324.28
1952,320.01,337.32
1953,465.28,347.99
1954,329.45,353.05
1955,292.25,349.36
1956,255.01,337.27
1957,281.83,320.55
1958,384.42,303.01
1959,323.15,288.46
1960,327.87,280.74
1961,194.93,281.89
1962,288.51,289.52
1963,370.24,300.64
1964,284.49,312.26
1965,252.18,321.32
1966,338.01,325.25
1967,295.03,324.23
1968,271.67,319.56
1969,570.93,312.6
1970,277.33,304.67
1971,182.32,297.07
1972,330.22,290.56
1973,228.92,285.36
1974,263.52,281.6
1975,199.45,279.45
1976,302.25,279.06
1977,398.89,280.46
1978,286.46,283.29
1979,285.87,287.13
1980,280.26,291.58
1981,333.14,296.18
1982,255.54,300.57
1983,253.66,304.72
1984,346.37,308.74
1985,285.26,312.75
1986,246.65,316.86
1987,481.97,321.19
1988,334.96,325.47
1989,235.61,328.99
1990,327.32,331.02
1991,336.84,330.82
1992,289.65,327.65
1993,466.68,321.42
1994,308.6,313.9
1995,185.98,307.27
1996,289.99,303.67
1997,239.54,305.3
1998,489.82,313.89
1999,353.1,327.63
2000,286.09,342.84
2001,261.3,355.7
2002,392.86,362.51
2003,426.46,359.61
2004,352.47,346.64
2005,292.06,327.79
2006,294.66,307.49
2007,295.85,290.16
2008,252.85,280.22
2009,293.13,280.65
2010,359.14,288.95
2011,316.1,301.49
2012,248.6,314.68
2013,284.75,324.79
2014,306.3,328.57
2015,362.21,326.13
2016,376.02,319.61
2017,316.74,311.27
2018,304.87,303.29
2019,294.53,297.84
2020,283.19,295.98
2021,233.52,297.12
2022,368.99,300.49
2023,238.78,305.36
2024,354.42,311
