"Category","Annual SPEI Drought Index (spei index)"
1950,
1951,0.4
1952,1.23
1953,1.14
1954,2.53
1955,-0.32
1956,0.98
1957,0.76
1958,0.49
1959,0.93
1960,0.25
1961,-0.41
1962,-0.27
1963,-0.06
1964,1.57
1965,0.51
1966,-0.35
1967,0.39
1968,0.05
1969,2.18
1970,0.08
1971,-0.79
1972,0.29
1973,0.44
1974,0.17
1975,-0.63
1976,-0.14
1977,-0.06
1978,1.46
1979,1.11
1980,0.43
1981,1.07
1982,0.77
1983,-0.33
1984,0.22
1985,0.24
1986,-0.72
1987,0.46
1988,0.81
1989,0.11
1990,-0.19
1991,0.13
1992,1.03
1993,0.84
1994,0.5
1995,-0.64
1996,-1.07
1997,-0.43
1998,0.56
1999,-0.98
2000,-1.7
2001,-1.6
2002,-0.08
2003,0.85
2004,-0.42
2005,0.16
2006,-1.15
2007,-1.3
2008,-1.89
2009,-0.39
2010,-0.74
2011,-1.94
2012,-0.37
2013,-1.1
2014,-1.19
2015,-0.8
2016,-1.2
2017,-0.44
2018,-1.56
2019,-0.61
2020,-0.98
2021,-1.86
2022,-1.61
2023,-2.04
2024,-1.01
