"Category","Average Largest 1-Day Precipitation (mm)"
1950,12.68
1951,13.79
1952,12.94
1953,14.42
1954,19.98
1955,7.88
1956,14.67
1957,12.81
1958,10.42
1959,12.97
1960,12.98
1961,17.7
1962,11.75
1963,11.72
1964,16.56
1965,10.63
1966,10.2
1967,15.42
1968,10.62
1969,20.14
1970,9.07
1971,10.25
1972,12.84
1973,12.96
1974,12.03
1975,10.29
1976,11.34
1977,8.99
1978,19.99
1979,11.24
1980,17.82
1981,16.66
1982,18.55
1983,9.73
1984,15.63
1985,14.69
1986,10.59
1987,15.8
1988,18.92
1989,15.34
1990,6.73
1991,16.7
1992,12.87
1993,12.61
1994,12.64
1995,10.23
1996,11.45
1997,9.91
1998,14.58
1999,10.11
2000,7.99
2001,11.81
2002,15.98
2003,18
2004,11.54
2005,13.97
2006,13.47
2007,12.4
2008,6.87
2009,17.77
2010,10.8
2011,12.39
2012,16.91
2013,18.19
2014,10.06
2015,13.7
2016,10.15
2017,14.1
2018,15.06
2019,11
2020,19.44
2021,13.61
2022,12.94
2023,11.84
2024,15.5
