"Category","Average Largest 5-Day Cumulative Precipitation (mm)"
1950,20.1
1951,16.05
1952,31.24
1953,27.07
1954,37.61
1955,16.61
1956,30.31
1957,17.99
1958,14.05
1959,23.33
1960,15.32
1961,26.21
1962,14.12
1963,18.12
1964,33.11
1965,19.32
1966,17.65
1967,24.22
1968,20.36
1969,32.43
1970,19.11
1971,17.56
1972,20.34
1973,18.86
1974,19.35
1975,15.84
1976,19.34
1977,14.06
1978,33.52
1979,26.8
1980,21.06
1981,30.9
1982,28.61
1983,14.33
1984,32.79
1985,22.75
1986,19.67
1987,24.28
1988,27.06
1989,25.67
1990,13.49
1991,23.55
1992,19.65
1993,28.67
1994,22.06
1995,20.69
1996,17.55
1997,21.59
1998,24.07
1999,15.63
2000,17.15
2001,15.63
2002,29.24
2003,24.77
2004,19.09
2005,32.94
2006,19.32
2007,23.95
2008,10.86
2009,27.05
2010,18.32
2011,20.95
2012,22.08
2013,25.13
2014,18.95
2015,35.59
2016,12.78
2017,31.22
2018,20.79
2019,23.02
2020,24.32
2021,20.14
2022,28.06
2023,18.46
2024,19.59
