"Category","Precipitation amount during wettest days (mm)"
1950,0.11
1951,4.28
1952,0.41
1953,2.07
1954,10.71
1955,0
1956,5.38
1957,0
1958,0
1959,3.78
1960,2.13
1961,8.48
1962,0.94
1963,1.36
1964,7.6
1965,2.72
1966,0.15
1967,4.47
1968,0
1969,5.8
1970,0.11
1971,1.1
1972,4.59
1973,0.88
1974,0.13
1975,0.07
1976,2.63
1977,0
1978,10.04
1979,0.23
1980,7.1
1981,5.22
1982,9.26
1983,0
1984,2.68
1985,5.98
1986,0
1987,2.03
1988,12.52
1989,5.95
1990,0
1991,5.58
1992,2.02
1993,0.06
1994,1.24
1995,0
1996,2.58
1997,0.18
1998,8.11
1999,0
2000,0
2001,0.07
2002,3.44
2003,5.67
2004,1.09
2005,0.44
2006,2.73
2007,0.43
2008,0
2009,3.81
2010,1.09
2011,4.19
2012,3.84
2013,8.14
2014,0
2015,1.23
2016,0.03
2017,2.18
2018,1.38
2019,0
2020,11.51
2021,0.08
2022,0
2023,4.29
2024,6.75
