"Category","Temperature-based Excess Mortality (factor)"
1950,0.02
1951,0.05
1952,0.07
1953,0.05
1954,0.02
1955,0.13
1956,0.09
1957,0.02
1958,0.05
1959,0.03
1960,0.07
1961,0.08
1962,0.07
1963,0.05
1964,0.06
1965,0.07
1966,0.11
1967,0.07
1968,0.08
1969,0.06
1970,0.07
1971,0.07
1972,0.02
1973,0.11
1974,0.08
1975,0.14
1976,0.11
1977,0.12
1978,0.09
1979,0.12
1980,0.1
1981,0.06
1982,0.04
1983,0.15
1984,0.17
1985,0.11
1986,0.07
1987,0.08
1988,0.09
1989,0.07
1990,0.1
1991,0.06
1992,0.04
1993,0.08
1994,0.08
1995,0.12
1996,0.08
1997,0.14
1998,0.1
1999,0.09
2000,0.1
2001,0.08
2002,0.14
2003,0.09
2004,0.09
2005,0.14
2006,0.1
2007,0.1
2008,0.15
2009,0.06
2010,0.14
2011,0.15
2012,0.13
2013,0.1
2014,0.14
2015,0.19
2016,0.11
2017,0.14
2018,0.17
2019,0.2
2020,0.14
2021,0.23
2022,0.17
2023,0.16
2024,0.1
