"Category","Average Maximum Surface Air Temperature (Annual Mean °C)","5-year smooth (Gaussian Smooth)"
1901,22.01,22.05
1902,22.43,21.77
1903,20.85,21.52
1904,21.15,21.32
1905,20.99,21.2
1906,21.7,21.17
1907,20.8,21.27
1908,21.62,21.47
1909,22.87,21.72
1910,21.83,21.97
1911,21.1,22.18
1912,22.2,22.29
1913,21.64,22.28
1914,22.5,22.18
1915,23.36,22.02
1916,21.37,21.84
1917,22.81,21.67
1918,20.98,21.54
1919,21.44,21.45
1920,19.74,21.4
1921,21.05,21.39
1922,22.47,21.41
1923,21.07,21.46
1924,21.47,21.53
1925,22.63,21.57
1926,22,21.57
1927,21.97,21.49
1928,20.4,21.3
1929,20.45,21.01
1930,20.4,20.68
1931,20,20.38
1932,20.63,20.19
1933,20.99,20.17
1934,19.8,20.39
1935,20.98,20.79
1936,21.9,21.28
1937,21.06,21.8
1938,22.09,22.25
1939,22.45,22.55
1940,23.01,22.69
1941,23.56,22.69
1942,22.33,22.6
1943,21.05,22.43
1944,22.89,22.23
1945,21.35,22.02
1946,22.05,21.81
1947,22.87,21.62
1948,22.1,21.46
1949,20.19,21.35
1950,20.96,21.3
1951,21.23,21.3
1952,21.44,21.33
1953,21.45,21.38
1954,20.6,21.43
1955,23.06,21.46
1956,21.53,21.47
1957,20.42,21.48
1958,22.05,21.49
1959,20.95,21.53
1960,21.26,21.61
1961,22.63,21.72
1962,21.79,21.85
1963,22.66,21.97
1964,20.71,22.05
1965,22.22,22.07
1966,22.65,21.99
1967,21.8,21.85
1968,21.8,21.67
1969,19.91,21.51
1970,22.44,21.38
1971,22.88,21.33
1972,19.65,21.36
1973,22.09,21.45
1974,20.91,21.57
1975,22.09,21.68
1976,21.15,21.77
1977,22.08,21.81
1978,21.79,21.83
1979,22.26,21.83
1980,22.09,21.83
1981,22.3,21.87
1982,21.13,21.94
1983,22.93,22.04
1984,20.91,22.15
1985,21.99,22.23
1986,22.18,22.26
1987,22.18,22.21
1988,22.72,22.09
1989,22.07,21.93
1990,22.42,21.78
1991,21.76,21.68
1992,21.38,21.67
1993,20.73,21.77
1994,21.75,21.96
1995,23.41,22.2
1996,21.83,22.45
1997,22.84,22.67
1998,22.32,22.82
1999,23.32,22.91
2000,23.16,22.94
2001,23.22,22.94
2002,23.05,22.92
2003,21.81,22.88
2004,23.22,22.85
2005,22.94,22.82
2006,22.83,22.79
2007,22.92,22.76
2008,22.41,22.73
2009,22.54,22.7
2010,23.62,22.67
2011,22.11,22.66
2012,22.14,22.65
2013,23.27,22.67
2014,22.16,22.71
2015,22.91,22.77
2016,23.47,22.85
2017,22.8,22.94
2018,22.91,23.04
2019,23.28,23.15
2020,22.25,23.25
2021,23.9,23.35
2022,23.41,23.46
2023,24.52,23.56
2024,22.97,23.67
