"Category","Average Mean Surface Air Temperature (Annual Mean °C)","5-year smooth (Gaussian Smooth)"
1901,15.16,15.25
1902,15.61,15.01
1903,14.13,14.78
1904,14.51,14.61
1905,14.41,14.5
1906,15,14.48
1907,14.14,14.57
1908,14.89,14.75
1909,15.83,14.98
1910,15.04,15.21
1911,14.33,15.39
1912,15.14,15.49
1913,15.24,15.47
1914,15.96,15.38
1915,16.6,15.23
1916,14.48,15.06
1917,15.71,14.9
1918,14.19,14.78
1919,14.39,14.69
1920,13.48,14.64
1921,14.5,14.62
1922,15.63,14.64
1923,14.32,14.69
1924,14.63,14.76
1925,15.6,14.81
1926,15.23,14.83
1927,15.16,14.8
1928,14.02,14.67
1929,13.8,14.46
1930,13.99,14.22
1931,13.89,13.99
1932,14.22,13.84
1933,14.6,13.81
1934,13.52,13.95
1935,14.29,14.21
1936,14.83,14.56
1937,14.09,14.93
1938,15.17,15.26
1939,15.54,15.5
1940,16.06,15.64
1941,16.52,15.67
1942,15.43,15.63
1943,14.35,15.52
1944,15.78,15.34
1945,14.56,15.13
1946,14.97,14.9
1947,15.78,14.69
1948,15.03,14.52
1949,13.59,14.42
1950,13.83,14.41
1951,14.54,14.48
1952,14.81,14.59
1953,15.06,14.72
1954,14.05,14.82
1955,15.97,14.88
1956,14.86,14.88
1957,13.89,14.86
1958,15.41,14.84
1959,14.55,14.84
1960,14.57,14.89
1961,15.67,14.99
1962,15.07,15.13
1963,15.93,15.27
1964,14.07,15.37
1965,15.53,15.41
1966,15.9,15.35
1967,15.2,15.22
1968,15.25,15.05
1969,13.68,14.89
1970,15.61,14.76
1971,15.96,14.7
1972,13.21,14.73
1973,15.36,14.82
1974,14.38,14.94
1975,15.33,15.08
1976,14.74,15.2
1977,15.65,15.29
1978,15.33,15.35
1979,15.68,15.4
1980,15.6,15.43
1981,15.98,15.47
1982,14.81,15.51
1983,16.23,15.56
1984,14.55,15.6
1985,15.37,15.63
1986,15.6,15.63
1987,15.66,15.6
1988,16.17,15.54
1989,15.36,15.47
1990,15.92,15.4
1991,15.5,15.36
1992,15.22,15.35
1993,14.59,15.41
1994,15.27,15.5
1995,16.49,15.63
1996,15.11,15.78
1997,16.2,15.93
1998,15.8,16.07
1999,16.6,16.21
2000,16.42,16.32
2001,16.58,16.4
2002,16.45,16.45
2003,15.72,16.46
2004,16.81,16.43
2005,16.41,16.38
2006,16.34,16.31
2007,16.31,16.25
2008,15.83,16.2
2009,16.24,16.17
2010,16.92,16.16
2011,15.83,16.17
2012,15.67,16.2
2013,16.77,16.25
2014,15.55,16.3
2015,16.65,16.36
2016,17.09,16.44
2017,16.34,16.52
2018,16.54,16.62
2019,17.01,16.74
2020,15.96,16.87
2021,17.15,17.01
2022,17.35,17.16
2023,17.98,17.31
2024,16.98,17.47
