"Category","Average Minimum Surface Air Temperature (Annual Mean °C)","5-year smooth (Gaussian Smooth)"
1901,8.35,8.49
1902,8.83,8.28
1903,7.46,8.08
1904,7.91,7.92
1905,7.86,7.83
1906,8.35,7.81
1907,7.52,7.9
1908,8.2,8.06
1909,8.84,8.27
1910,8.29,8.48
1911,7.59,8.64
1912,8.11,8.72
1913,8.88,8.71
1914,9.46,8.62
1915,9.88,8.48
1916,7.62,8.32
1917,8.66,8.17
1918,7.44,8.05
1919,7.38,7.97
1920,7.25,7.91
1921,7.98,7.89
1922,8.84,7.91
1923,7.61,7.96
1924,7.84,8.02
1925,8.6,8.09
1926,8.49,8.13
1927,8.39,8.14
1928,7.68,8.08
1929,7.19,7.95
1930,7.6,7.8
1931,7.82,7.64
1932,7.85,7.52
1933,8.24,7.48
1934,7.26,7.53
1935,7.63,7.68
1936,7.8,7.87
1937,7.15,8.09
1938,8.28,8.31
1939,8.67,8.49
1940,9.14,8.62
1941,9.53,8.69
1942,8.57,8.7
1943,7.69,8.63
1944,8.71,8.49
1945,7.81,8.28
1946,7.93,8.03
1947,8.72,7.8
1948,8.01,7.61
1949,7.01,7.53
1950,6.73,7.56
1951,7.9,7.7
1952,8.21,7.89
1953,8.71,8.09
1954,7.54,8.25
1955,8.91,8.34
1956,8.24,8.34
1957,7.39,8.28
1958,8.8,8.22
1959,8.19,8.18
1960,7.93,8.2
1961,8.74,8.3
1962,8.4,8.45
1963,9.23,8.61
1964,7.48,8.73
1965,8.89,8.79
1966,9.18,8.75
1967,8.65,8.63
1968,8.75,8.47
1969,7.48,8.3
1970,8.82,8.17
1971,9.08,8.12
1972,6.8,8.14
1973,8.66,8.23
1974,7.88,8.36
1975,8.59,8.51
1976,8.37,8.66
1977,9.25,8.8
1978,8.92,8.91
1979,9.13,9
1980,9.15,9.07
1981,9.7,9.11
1982,8.51,9.13
1983,9.56,9.12
1984,8.22,9.09
1985,8.79,9.06
1986,9.05,9.04
1987,9.19,9.03
1988,9.66,9.03
1989,8.69,9.04
1990,9.44,9.06
1991,9.28,9.07
1992,9.1,9.08
1993,8.49,9.08
1994,8.84,9.08
1995,9.61,9.1
1996,8.42,9.14
1997,9.6,9.23
1998,9.33,9.37
1999,9.92,9.54
2000,9.72,9.73
2001,9.98,9.9
2002,9.9,10.02
2003,9.67,10.08
2004,10.43,10.05
2005,9.92,9.98
2006,9.88,9.88
2007,9.74,9.78
2008,9.28,9.7
2009,10,9.68
2010,10.26,9.69
2011,9.59,9.73
2012,9.24,9.79
2013,10.31,9.86
2014,8.97,9.93
2015,10.44,9.99
2016,10.76,10.07
2017,9.92,10.15
2018,10.2,10.25
2019,10.79,10.38
2020,9.72,10.53
2021,10.45,10.71
2022,11.34,10.9
2023,11.48,11.11
2024,11.04,11.32
