"Category","Precipitation (Annual Mean mm)","5-year smooth (Gaussian Smooth)"
1901,93.46,111.64
1902,137.65,115.01
1903,120.03,118.26
1904,109.97,121.27
1905,114.56,123.89
1906,150.6,126.01
1907,157.21,127.51
1908,118.83,128.24
1909,97.37,128.07
1910,85.62,126.86
1911,149.97,124.46
1912,96.41,120.74
1913,145.3,115.99
1914,149.55,111.21
1915,106.16,107.46
1916,120.49,105.83
1917,37.12,107.37
1918,138.1,112.74
1919,125.39,120.65
1920,136.01,129.31
1921,118.2,136.84
1922,136.57,141.43
1923,149.79,141.41
1924,174.26,137.12
1925,99.75,130.49
1926,145.6,123.46
1927,91.97,117.97
1928,107.79,115.95
1929,102.97,118.22
1930,113.24,123.4
1931,181.7,129.91
1932,136.96,136.17
1933,180.61,140.57
1934,134.04,141.84
1935,107.84,140.43
1936,101.07,137.28
1937,98.94,133.4
1938,138.99,129.75
1939,169.2,127.26
1940,143.95,126.1
1941,137.54,125.83
1942,113.66,125.96
1943,143.76,126
1944,84.53,125.49
1945,162.11,124.26
1946,97.04,122.8
1947,99.77,121.7
1948,118.17,121.55
1949,165.72,122.92
1950,94.68,126.22
1951,107.97,130.81
1952,173.72,135.7
1953,188.05,139.84
1954,129.34,142.21
1955,89.38,141.86
1956,147.23,138.85
1957,114.51,134.22
1958,149.55,129.08
1959,145.72,124.51
1960,113.35,121.58
1961,110.48,120.97
1962,130.83,122.28
1963,118.23,124.96
1964,158.83,128.47
1965,98.51,132.25
1966,99.21,135.79
1967,166.52,138.78
1968,126.6,140.99
1969,232.01,142.17
1970,121.11,142.11
1971,90.6,140.59
1972,135.29,137.96
1973,154.8,135.21
1974,132.84,133.33
1975,100.59,133.32
1976,150.16,136.19
1977,128.14,142.25
1978,192.3,149.97
1979,145.18,157.54
1980,164.79,163.15
1981,187.77,164.93
1982,163.98,161.42
1983,121.41,153.75
1984,134.37,144.28
1985,124.01,135.44
1986,116.31,129.6
1987,157.05,129.07
1988,180.83,133.99
1989,115.7,141.86
1990,126.7,150.04
1991,156.41,155.91
1992,175.03,156.81
1993,167.56,151.3
1994,139.74,141.67
1995,87.43,130.9
1996,93.98,121.95
1997,155.65,117.86
1998,175.22,121.17
1999,124.34,130.69
2000,113.78,143.26
2001,116.1,155.58
2002,171.22,164.49
2003,196.49,166.82
2004,159.5,161.87
2005,160.17,152.28
2006,132.49,140.86
2007,141.7,130.45
2008,99.73,123.88
2009,164.75,123.11
2010,98.96,126.92
2011,122.95,133.42
2012,138.07,140.72
2013,155.43,146.9
2014,139.24,150.23
2015,159.08,150.53
2016,165.82,148.52
2017,145.29,144.98
2018,116.46,140.67
2019,170.01,136.35
2020,139.2,132.42
2021,83.21,128.87
2022,144.68,125.59
2023,101.25,122.48
2024,139.37,119.46
