"Category","Annual SPEI Drought Index (spei index)"
1950,
1951,0.07
1952,0.46
1953,0.11
1954,1.59
1955,-0.05
1956,-0.07
1957,0.14
1958,0.85
1959,0.64
1960,0.14
1961,-1.01
1962,-1.66
1963,0.25
1964,1.17
1965,-0.34
1966,0.08
1967,-1.1
1968,-0.29
1969,2.06
1970,0.39
1971,-1.19
1972,-0.01
1973,0.31
1974,-1.11
1975,-1.09
1976,-0.34
1977,-0.47
1978,0.5
1979,0.24
1980,-0.07
1981,0.51
1982,-0.33
1983,-0.52
1984,-0.48
1985,-0.06
1986,-1.32
1987,0.71
1988,1.2
1989,-0.88
1990,0.28
1991,-0.15
1992,0.75
1993,0.88
1994,0.98
1995,0.05
1996,0.33
1997,-0.76
1998,0.73
1999,1.09
2000,-0.48
2001,-0.31
2002,0.64
2003,0.88
2004,0.79
2005,0.44
2006,-0.22
2007,-0.68
2008,-0.99
2009,-0.05
2010,0.72
2011,-0.67
2012,0.45
2013,-0.99
2014,-0.56
2015,-0.19
2016,-0.12
2017,0.94
2018,0.25
2019,0.12
2020,-0.26
2021,-0.19
2022,-0.42
2023,-0.26
2024,-0.54
