"Category","Average Largest 1-Day Precipitation (mm)"
1950,15.84
1951,14.02
1952,17.23
1953,19.03
1954,11.84
1955,18.97
1956,15.99
1957,10.21
1958,24.63
1959,21.45
1960,11.38
1961,13.32
1962,12.56
1963,16.54
1964,17.46
1965,16.8
1966,21.74
1967,14.54
1968,15.01
1969,18.16
1970,14.24
1971,10.28
1972,16.1
1973,18.31
1974,10.2
1975,10.42
1976,16.08
1977,27.88
1978,13.04
1979,21.24
1980,16.18
1981,17.77
1982,16.55
1983,14.01
1984,14.85
1985,12.45
1986,12.01
1987,19.69
1988,13.03
1989,11.48
1990,17
1991,15.47
1992,11.36
1993,20.19
1994,21.11
1995,19.39
1996,21.33
1997,11.51
1998,23.93
1999,13.71
2000,16.9
2001,16.41
2002,13.09
2003,17.53
2004,15.43
2005,12.9
2006,14.86
2007,15.85
2008,16.06
2009,13.22
2010,15.4
2011,16.41
2012,10.77
2013,8.15
2014,16.66
2015,16.36
2016,18.33
2017,16.62
2018,20.36
2019,13.95
2020,12.31
2021,14.84
2022,15.97
2023,21.57
2024,22.02
