"Category","Average Largest 5-Day Cumulative Precipitation (mm)"
1950,27.46
1951,34.38
1952,41.61
1953,34.91
1954,29.64
1955,32.65
1956,30.62
1957,24.81
1958,47.97
1959,42.5
1960,32.58
1961,21.2
1962,27.61
1963,32.76
1964,29.83
1965,34.3
1966,39.01
1967,30.07
1968,38.22
1969,52.46
1970,27.99
1971,22.37
1972,33.57
1973,44.07
1974,19.1
1975,29.95
1976,36.01
1977,65.07
1978,25.38
1979,52.78
1980,27.62
1981,31.28
1982,34.2
1983,27.56
1984,30.16
1985,22.27
1986,22.93
1987,44.21
1988,31.74
1989,31.25
1990,38.11
1991,43.59
1992,29.56
1993,47.6
1994,36.24
1995,29.64
1996,36.54
1997,22.92
1998,45.15
1999,34.06
2000,33.58
2001,39.2
2002,29.82
2003,41.8
2004,43.02
2005,37.06
2006,38.35
2007,49.62
2008,23.86
2009,24.71
2010,30.77
2011,43.42
2012,26.52
2013,19.67
2014,31.78
2015,33.15
2016,40.09
2017,28.96
2018,45.24
2019,28.58
2020,27.46
2021,36.09
2022,40.01
2023,46.23
2024,32.59
