"Category","Precipitation amount during wettest days (mm)"
1950,3.48
1951,0.84
1952,3.07
1953,6.28
1954,1.04
1955,7.08
1956,2.22
1957,0.91
1958,9.07
1959,8.32
1960,2.07
1961,0.42
1962,1.49
1963,3.29
1964,2.44
1965,4.5
1966,10.12
1967,1.4
1968,2.25
1969,5.11
1970,1.58
1971,0.65
1972,3.72
1973,6.78
1974,0.94
1975,1.12
1976,2.81
1977,12.66
1978,1.06
1979,11.01
1980,4.82
1981,4.06
1982,3.26
1983,2.26
1984,2.55
1985,1.82
1986,1.76
1987,6.34
1988,2.75
1989,2.24
1990,2.53
1991,3.04
1992,1.21
1993,8
1994,7.55
1995,4.92
1996,9.42
1997,0.3
1998,7.48
1999,2.05
2000,2.35
2001,2.02
2002,2.87
2003,4.48
2004,3.76
2005,2.77
2006,0.72
2007,4.01
2008,1.65
2009,1.82
2010,3.21
2011,2.46
2012,0.47
2013,1.42
2014,2.36
2015,4.06
2016,3.46
2017,3.41
2018,4.79
2019,1.76
2020,1.07
2021,1.7
2022,3.57
2023,11.42
2024,13.02
