"Category","Relative Humidity (%)"
1950,47.72
1951,54.69
1952,51.2
1953,53.24
1954,54.73
1955,47.16
1956,49.14
1957,54.16
1958,52.74
1959,51.67
1960,50.83
1961,45.18
1962,46.44
1963,49.56
1964,50.24
1965,47.75
1966,50.2
1967,48.82
1968,50
1969,60.41
1970,50.04
1971,47.55
1972,52.55
1973,48.55
1974,49.58
1975,46.55
1976,53.57
1977,52.97
1978,52.29
1979,51.11
1980,52.36
1981,55.15
1982,49.56
1983,48.14
1984,51.28
1985,49.84
1986,48.73
1987,56.28
1988,53.06
1989,48.74
1990,53.23
1991,52.95
1992,54.27
1993,57.21
1994,53.89
1995,50.92
1996,54.25
1997,52.2
1998,56.69
1999,54.41
2000,52.53
2001,52.87
2002,55.49
2003,57.41
2004,55.3
2005,53.4
2006,55.16
2007,54.48
2008,53.48
2009,53.99
2010,56.7
2011,54.37
2012,53.56
2013,53.88
2014,53.38
2015,55.98
2016,54.87
2017,54.08
2018,54.98
2019,53.19
2020,53.42
2021,50.61
2022,54.29
2023,53.65
2024,58.76
