"Category","Temperature-based Excess Mortality (factor)"
1950,0.05
1951,0.04
1952,0.05
1953,0.05
1954,0.01
1955,0.1
1956,0.14
1957,0.02
1958,0.09
1959,0.05
1960,0.08
1961,0.11
1962,0.09
1963,0.06
1964,0.03
1965,0.08
1966,0.09
1967,0.09
1968,0.12
1969,0.06
1970,0.09
1971,0.08
1972,0.02
1973,0.12
1974,0.08
1975,0.12
1976,0.1
1977,0.11
1978,0.11
1979,0.12
1980,0.09
1981,0.04
1982,0.08
1983,0.13
1984,0.17
1985,0.09
1986,0.08
1987,0.07
1988,0.14
1989,0.07
1990,0.14
1991,0.07
1992,0.04
1993,0.05
1994,0.09
1995,0.08
1996,0.08
1997,0.14
1998,0.09
1999,0.05
2000,0.06
2001,0.08
2002,0.1
2003,0.1
2004,0.11
2005,0.12
2006,0.08
2007,0.08
2008,0.12
2009,0.08
2010,0.05
2011,0.09
2012,0.06
2013,0.1
2014,0.12
2015,0.12
2016,0.12
2017,0.09
2018,0.12
2019,0.15
2020,0.05
2021,0.08
2022,0.12
2023,0.07
2024,0.06
