"Category","Average Maximum Surface Air Temperature (Annual Mean °C)","5-year smooth (Gaussian Smooth)"
1901,19.14,19.37
1902,19.93,19.16
1903,18.19,18.98
1904,19.12,18.84
1905,18.52,18.76
1906,19.28,18.77
1907,18.13,18.89
1908,19.27,19.09
1909,20.46,19.32
1910,19.22,19.55
1911,18.69,19.73
1912,20.07,19.8
1913,19.18,19.76
1914,19.91,19.63
1915,20.58,19.44
1916,18.56,19.24
1917,20.03,19.04
1918,18.84,18.89
1919,19.06,18.78
1920,16.74,18.72
1921,18.18,18.7
1922,19.62,18.72
1923,18.42,18.78
1924,18.94,18.85
1925,20.26,18.91
1926,19.31,18.93
1927,19.15,18.86
1928,17.74,18.69
1929,17.81,18.41
1930,17.77,18.08
1931,17.55,17.78
1932,17.97,17.58
1933,18.6,17.55
1934,17.1,17.74
1935,18,18.11
1936,19.2,18.57
1937,18.34,19.05
1938,19.41,19.45
1939,19.73,19.72
1940,20.06,19.82
1941,20.73,19.8
1942,19.1,19.67
1943,18.3,19.48
1944,19.85,19.26
1945,18.38,19.03
1946,19.12,18.82
1947,19.89,18.63
1948,19.1,18.48
1949,17.25,18.38
1950,17.99,18.35
1951,18.25,18.38
1952,18.59,18.44
1953,18.59,18.51
1954,17.74,18.59
1955,20.07,18.64
1956,19.05,18.67
1957,17.66,18.69
1958,19.04,18.71
1959,18.34,18.75
1960,18.26,18.81
1961,19.65,18.9
1962,19.04,19
1963,19.94,19.08
1964,17.87,19.13
1965,19.36,19.12
1966,19.58,19.03
1967,18.68,18.88
1968,18.74,18.71
1969,16.96,18.54
1970,19.45,18.42
1971,19.99,18.37
1972,16.75,18.4
1973,19.18,18.48
1974,18,18.6
1975,19.08,18.72
1976,18.18,18.82
1977,19.24,18.89
1978,18.86,18.92
1979,19.17,18.95
1980,19.27,18.97
1981,19.32,19
1982,18.46,19.05
1983,19.93,19.11
1984,18.07,19.17
1985,18.95,19.21
1986,19.2,19.21
1987,18.92,19.17
1988,19.85,19.08
1989,18.97,18.98
1990,19.52,18.88
1991,18.93,18.81
1992,18.7,18.8
1993,17.75,18.86
1994,18.81,18.98
1995,20.08,19.14
1996,18.63,19.32
1997,20.03,19.49
1998,19.23,19.64
1999,19.96,19.75
2000,19.87,19.84
2001,20.35,19.9
2002,20.02,19.93
2003,18.99,19.94
2004,20.23,19.93
2005,19.94,19.9
2006,19.97,19.87
2007,20.08,19.84
2008,19.41,19.81
2009,19.79,19.79
2010,20.49,19.78
2011,19.41,19.81
2012,19.3,19.86
2013,20.48,19.96
2014,19.52,20.09
2015,20.34,20.27
2016,21.18,20.46
2017,20.6,20.65
2018,20.76,20.82
2019,21.19,20.95
2020,20.1,21.03
2021,21.47,21.08
2022,20.79,21.1
2023,21.78,21.1
2024,20.8,21.09
