"Category","Average Mean Surface Air Temperature (Annual Mean °C)","5-year smooth (Gaussian Smooth)"
1901,12.54,12.78
1902,13.34,12.58
1903,11.72,12.4
1904,12.3,12.26
1905,12.05,12.19
1906,12.79,12.19
1907,11.88,12.3
1908,12.58,12.49
1909,13.43,12.72
1910,12.74,12.95
1911,12.1,13.14
1912,12.98,13.24
1913,13.01,13.25
1914,13.81,13.17
1915,14.45,13.03
1916,12.17,12.86
1917,13.59,12.68
1918,11.94,12.51
1919,12.03,12.37
1920,11,12.26
1921,12.01,12.19
1922,13.16,12.18
1923,11.89,12.23
1924,12.36,12.32
1925,13.18,12.42
1926,12.92,12.5
1927,12.82,12.51
1928,11.76,12.43
1929,11.51,12.24
1930,11.73,12.01
1931,11.79,11.78
1932,12,11.61
1933,12.41,11.56
1934,11.24,11.67
1935,11.91,11.92
1936,12.47,12.23
1937,11.71,12.56
1938,12.8,12.86
1939,13.17,13.07
1940,13.55,13.18
1941,14.08,13.19
1942,12.83,13.13
1943,11.99,13.01
1944,13.27,12.83
1945,12.01,12.63
1946,12.55,12.42
1947,13.21,12.23
1948,12.52,12.08
1949,11.2,11.99
1950,11.45,11.97
1951,12.06,12.03
1952,12.44,12.13
1953,12.59,12.24
1954,11.51,12.33
1955,13.39,12.39
1956,12.51,12.41
1957,11.43,12.41
1958,12.87,12.41
1959,12.26,12.43
1960,12.05,12.49
1961,13.21,12.6
1962,12.81,12.73
1963,13.55,12.85
1964,11.66,12.94
1965,13.12,12.96
1966,13.31,12.89
1967,12.72,12.75
1968,12.74,12.57
1969,11.23,12.41
1970,13.14,12.28
1971,13.46,12.24
1972,10.84,12.28
1973,12.91,12.39
1974,11.99,12.53
1975,12.9,12.69
1976,12.41,12.82
1977,13.29,12.92
1978,12.96,12.99
1979,13.23,13.04
1980,13.3,13.07
1981,13.48,13.1
1982,12.62,13.13
1983,13.73,13.16
1984,12.19,13.19
1985,12.92,13.2
1986,13.23,13.2
1987,13.17,13.17
1988,13.79,13.12
1989,12.82,13.06
1990,13.56,13
1991,13.1,12.97
1992,12.98,12.96
1993,12.16,13
1994,12.9,13.07
1995,13.76,13.17
1996,12.58,13.29
1997,13.88,13.43
1998,13.42,13.58
1999,14.06,13.73
2000,13.9,13.87
2001,14.18,13.98
2002,14.03,14.07
2003,13.42,14.11
2004,14.48,14.12
2005,14.1,14.09
2006,14.08,14.04
2007,14.12,13.99
2008,13.57,13.95
2009,14,13.92
2010,14.59,13.91
2011,13.65,13.91
2012,13.3,13.93
2013,14.49,13.96
2014,13.22,14
2015,14.46,14.06
2016,14.81,14.12
2017,14.06,14.21
2018,14.06,14.3
2019,14.74,14.42
2020,13.7,14.55
2021,14.76,14.69
2022,15.09,14.84
2023,15.59,15
2024,14.72,15.17
