"Category","Average Minimum Surface Air Temperature (Annual Mean °C)","5-year smooth (Gaussian Smooth)"
1901,5.97,6.23
1902,6.77,6.04
1903,5.29,5.86
1904,5.51,5.72
1905,5.61,5.65
1906,6.35,5.65
1907,5.66,5.75
1908,5.93,5.93
1909,6.45,6.16
1910,6.29,6.39
1911,5.54,6.59
1912,5.94,6.73
1913,6.89,6.78
1914,7.75,6.75
1915,8.35,6.66
1916,5.82,6.52
1917,7.18,6.35
1918,5.08,6.17
1919,5.03,5.99
1920,5.28,5.83
1921,5.87,5.72
1922,6.75,5.68
1923,5.39,5.72
1924,5.82,5.83
1925,6.15,5.97
1926,6.57,6.1
1927,6.53,6.19
1928,5.82,6.2
1929,5.24,6.12
1930,5.73,5.97
1931,6.05,5.81
1932,6.05,5.67
1933,6.25,5.6
1934,5.42,5.63
1935,5.85,5.75
1936,5.78,5.92
1937,5.1,6.11
1938,6.23,6.31
1939,6.64,6.46
1940,7.08,6.57
1941,7.46,6.62
1942,6.59,6.62
1943,5.72,6.56
1944,6.73,6.44
1945,5.67,6.26
1946,6,6.06
1947,6.57,5.86
1948,5.97,5.7
1949,5.18,5.62
1950,4.94,5.63
1951,5.9,5.71
1952,6.32,5.85
1953,6.62,5.99
1954,5.31,6.11
1955,6.74,6.17
1956,6.01,6.18
1957,5.23,6.16
1958,6.72,6.14
1959,6.21,6.14
1960,5.89,6.21
1961,6.79,6.33
1962,6.61,6.5
1963,7.21,6.66
1964,5.49,6.79
1965,6.91,6.84
1966,7.09,6.79
1967,6.79,6.65
1968,6.77,6.48
1969,5.54,6.31
1970,6.87,6.18
1971,6.97,6.15
1972,4.96,6.21
1973,6.68,6.34
1974,6,6.51
1975,6.77,6.69
1976,6.68,6.86
1977,7.39,6.99
1978,7.08,7.09
1979,7.32,7.16
1980,7.36,7.21
1981,7.67,7.23
1982,6.82,7.24
1983,7.57,7.24
1984,6.33,7.24
1985,6.92,7.22
1986,7.29,7.21
1987,7.44,7.19
1988,7.77,7.18
1989,6.71,7.17
1990,7.63,7.17
1991,7.31,7.16
1992,7.31,7.16
1993,6.61,7.17
1994,7.03,7.19
1995,7.46,7.23
1996,6.58,7.3
1997,7.76,7.4
1998,7.64,7.55
1999,8.2,7.74
2000,7.97,7.93
2001,8.07,8.11
2002,8.08,8.25
2003,7.88,8.33
2004,8.78,8.35
2005,8.3,8.31
2006,8.23,8.25
2007,8.18,8.18
2008,7.74,8.12
2009,8.26,8.09
2010,8.73,8.07
2011,7.92,8.05
2012,7.33,8.04
2013,8.55,8.01
2014,6.95,7.95
2015,8.61,7.88
2016,8.47,7.82
2017,7.56,7.8
2018,7.38,7.82
2019,8.31,7.92
2020,7.34,8.09
2021,8.09,8.33
2022,9.44,8.63
2023,9.45,8.95
2024,8.69,9.29
