"Category","Annual SPEI Drought Index (spei index)"
1950,
1951,-0.12
1952,0.87
1953,0.95
1954,1.7
1955,-0.12
1956,0.15
1957,-0.39
1958,0.53
1959,0.43
1960,0.39
1961,-0.43
1962,-0.74
1963,0.17
1964,1.38
1965,0.12
1966,-0.66
1967,-0.29
1968,0.47
1969,2.3
1970,0.73
1971,-1.06
1972,-0.15
1973,0.46
1974,-0.43
1975,-1.31
1976,-0.35
1977,-0.71
1978,0.7
1979,0.93
1980,-0.15
1981,0.51
1982,-0.23
1983,-0.51
1984,-0.22
1985,0.29
1986,-0.84
1987,0.71
1988,0.65
1989,-0.52
1990,0.16
1991,0.38
1992,0.98
1993,1.17
1994,0.61
1995,-0.46
1996,-0.59
1997,-0.2
1998,1.01
1999,0.05
2000,-1.22
2001,-1.63
2002,0.68
2003,1.03
2004,0.39
2005,0.26
2006,-1.38
2007,-0.9
2008,-1.45
2009,0.25
2010,0.24
2011,-1.64
2012,-0.3
2013,-0.91
2014,-0.77
2015,-0.36
2016,-0.75
2017,-0.12
2018,-1.72
2019,0
2020,-0.38
2021,-1.78
2022,-1.21
2023,-1.47
2024,-0.95
