"Category","Average Largest 1-Day Precipitation (mm)"
1950,18.55
1951,26.11
1952,19.14
1953,43.21
1954,21.67
1955,32.2
1956,25.93
1957,24.26
1958,23.36
1959,19.71
1960,19.78
1961,27.52
1962,19.51
1963,25.89
1964,33.7
1965,38.11
1966,24.2
1967,27.83
1968,21.36
1969,37.29
1970,23.14
1971,21.61
1972,17.75
1973,26.24
1974,27.49
1975,23.53
1976,23.17
1977,32.98
1978,23.92
1979,27.15
1980,18.84
1981,17.45
1982,17.56
1983,18.91
1984,22.41
1985,18.93
1986,18.14
1987,26.35
1988,19.09
1989,23.97
1990,17.38
1991,21.65
1992,19.52
1993,33.57
1994,21.83
1995,19.05
1996,22.92
1997,20.07
1998,29.58
1999,22.16
2000,20.2
2001,19.43
2002,30.25
2003,20.91
2004,25.2
2005,21.6
2006,20.8
2007,20.37
2008,19.08
2009,21.82
2010,21.21
2011,21.41
2012,16.23
2013,21.83
2014,18.79
2015,19.77
2016,18.86
2017,29.71
2018,33.53
2019,26.9
2020,25.98
2021,28.93
2022,24.21
2023,21.87
2024,21.96
