"Category","Average Largest 5-Day Cumulative Precipitation (mm)"
1950,46.19
1951,52.03
1952,43.52
1953,69.8
1954,57.58
1955,49.8
1956,52.41
1957,41.98
1958,50.58
1959,47.64
1960,36.9
1961,49.61
1962,43.82
1963,49.42
1964,59.82
1965,50.05
1966,43.9
1967,47.68
1968,40.78
1969,83.76
1970,45.55
1971,44.41
1972,37.67
1973,54.16
1974,48.33
1975,39.63
1976,45.61
1977,70.89
1978,37.72
1979,52.66
1980,35.94
1981,37.72
1982,36.74
1983,35.88
1984,38.74
1985,39.5
1986,34.17
1987,66.53
1988,43.41
1989,56.66
1990,39.64
1991,60.89
1992,40.86
1993,64.36
1994,48.99
1995,33.46
1996,48.84
1997,38.54
1998,66.37
1999,35.76
2000,30.59
2001,29.72
2002,61.34
2003,54.1
2004,62.31
2005,51.34
2006,37.35
2007,61.67
2008,35.35
2009,42.06
2010,36.04
2011,55.86
2012,37.59
2013,37.78
2014,41.55
2015,48.22
2016,38.71
2017,61.91
2018,39.74
2019,53.32
2020,61.86
2021,56.87
2022,64.49
2023,45.95
2024,38.43
