"Category","Precipitation amount during wettest days (mm)"
1950,5.34
1951,15.44
1952,9.22
1953,21.47
1954,15.75
1955,20.24
1956,17.95
1957,8.11
1958,11.62
1959,11.75
1960,11.72
1961,20.03
1962,11.83
1963,10.76
1964,19.13
1965,22.2
1966,9.83
1967,14.17
1968,8.36
1969,25.49
1970,13.56
1971,10.07
1972,6.24
1973,17.75
1974,12.24
1975,14.25
1976,10.29
1977,11.72
1978,10.84
1979,17.14
1980,8.16
1981,8.78
1982,6.69
1983,8.94
1984,12.95
1985,8.78
1986,9.03
1987,18
1988,7.62
1989,11.23
1990,4.71
1991,10.36
1992,7.47
1993,13.47
1994,14.41
1995,6.19
1996,10.8
1997,12.84
1998,16.1
1999,12.47
2000,8.92
2001,7.42
2002,20.37
2003,11.44
2004,16.94
2005,8.97
2006,10.95
2007,9.57
2008,8.92
2009,13.97
2010,10.35
2011,8.12
2012,5.78
2013,12.38
2014,6.76
2015,8.42
2016,7.51
2017,10.18
2018,15.33
2019,12.45
2020,15.43
2021,16.83
2022,12.89
2023,13.24
2024,12.65
