"Category","Relative Humidity (%)"
1950,56.28
1951,62.39
1952,60.79
1953,62.14
1954,61.55
1955,56.28
1956,57.31
1957,60.85
1958,58.84
1959,62.08
1960,62.95
1961,56.52
1962,59.56
1963,61.07
1964,61.11
1965,60.39
1966,59.36
1967,61.9
1968,62.17
1969,67.17
1970,61.06
1971,57.81
1972,62.8
1973,60.63
1974,60.14
1975,56.37
1976,62.42
1977,61.91
1978,63.43
1979,63.03
1980,62.92
1981,63.56
1982,61.87
1983,59.41
1984,62.22
1985,61.45
1986,60.27
1987,64.25
1988,62.66
1989,60.23
1990,63.08
1991,64.05
1992,64.45
1993,65.75
1994,63.04
1995,60.67
1996,61.23
1997,63.21
1998,65.07
1999,61.55
2000,60.64
2001,59.89
2002,64.72
2003,65.54
2004,62.71
2005,60.86
2006,60.66
2007,61.18
2008,61.14
2009,62.78
2010,61.43
2011,60.81
2012,59.71
2013,58.75
2014,59.34
2015,60.5
2016,60.94
2017,58.71
2018,58.38
2019,60.12
2020,60.09
2021,54.76
2022,60.87
2023,56.94
2024,60.7
