"Category","Temperature-based Excess Mortality (factor)"
1950,0.05
1951,0.04
1952,0.06
1953,0.05
1954,0.03
1955,0.12
1956,0.08
1957,0.04
1958,0.09
1959,0.02
1960,0.05
1961,0.07
1962,0.08
1963,0.05
1964,0.03
1965,0.05
1966,0.08
1967,0.05
1968,0.07
1969,0.03
1970,0.04
1971,0.05
1972,0.01
1973,0.06
1974,0.06
1975,0.1
1976,0.06
1977,0.09
1978,0.04
1979,0.07
1980,0.07
1981,0.04
1982,0.04
1983,0.1
1984,0.09
1985,0.06
1986,0.04
1987,0.05
1988,0.08
1989,0.06
1990,0.07
1991,0.04
1992,0.03
1993,0.04
1994,0.06
1995,0.08
1996,0.06
1997,0.11
1998,0.08
1999,0.07
2000,0.07
2001,0.08
2002,0.09
2003,0.06
2004,0.08
2005,0.11
2006,0.08
2007,0.08
2008,0.12
2009,0.05
2010,0.09
2011,0.12
2012,0.1
2013,0.11
2014,0.11
2015,0.14
2016,0.09
2017,0.11
2018,0.13
2019,0.15
2020,0.09
2021,0.2
2022,0.13
2023,0.18
2024,0.14
