"Category","Average Maximum Surface Air Temperature (Annual Mean °C)","5-year smooth (Gaussian Smooth)"
1901,20.64,20.6
1902,20.94,20.32
1903,19.27,20.07
1904,19.88,19.87
1905,19.42,19.75
1906,20.26,19.74
1907,19.21,19.85
1908,20.25,20.07
1909,21.73,20.34
1910,20.5,20.61
1911,19.92,20.81
1912,20.61,20.89
1913,20.11,20.84
1914,21,20.68
1915,21.75,20.46
1916,19.58,20.23
1917,21.2,20.02
1918,19.56,19.87
1919,20.01,19.78
1920,17.87,19.74
1921,19.31,19.75
1922,20.78,19.79
1923,19.37,19.86
1924,19.95,19.94
1925,21.36,20
1926,20.35,20
1927,20.25,19.93
1928,18.87,19.74
1929,18.88,19.46
1930,18.87,19.14
1931,18.54,18.85
1932,18.99,18.66
1933,19.57,18.66
1934,18.26,18.88
1935,19.33,19.28
1936,20.52,19.78
1937,19.59,20.29
1938,20.57,20.74
1939,20.96,21.03
1940,21.4,21.15
1941,22.04,21.14
1942,20.62,21.02
1943,19.54,20.84
1944,21.23,20.62
1945,19.72,20.4
1946,20.54,20.18
1947,21.28,19.99
1948,20.43,19.84
1949,18.57,19.74
1950,19.35,19.7
1951,19.61,19.71
1952,19.92,19.76
1953,19.8,19.83
1954,19.05,19.89
1955,21.55,19.92
1956,20.22,19.94
1957,18.8,19.95
1958,20.35,19.96
1959,19.56,19.99
1960,19.48,20.05
1961,21.01,20.15
1962,20.29,20.26
1963,21.18,20.36
1964,19.14,20.42
1965,20.58,20.41
1966,20.91,20.32
1967,20.04,20.17
1968,20.02,19.98
1969,18.15,19.81
1970,20.79,19.67
1971,21.28,19.61
1972,17.92,19.64
1973,20.37,19.72
1974,19.24,19.84
1975,20.3,19.96
1976,19.47,20.06
1977,20.37,20.11
1978,20.11,20.14
1979,20.46,20.16
1980,20.5,20.17
1981,20.62,20.21
1982,19.58,20.27
1983,21.17,20.36
1984,19.27,20.45
1985,20.23,20.51
1986,20.5,20.53
1987,20.3,20.49
1988,21.17,20.38
1989,20.35,20.25
1990,20.78,20.13
1991,20.1,20.04
1992,19.81,20.04
1993,19.02,20.13
1994,20.08,20.29
1995,21.62,20.49
1996,20.09,20.71
1997,21.33,20.91
1998,20.58,21.06
1999,21.31,21.15
2000,21.37,21.21
2001,21.58,21.23
2002,21.38,21.24
2003,20.26,21.23
2004,21.57,21.21
2005,21.26,21.19
2006,21.18,21.17
2007,21.39,21.15
2008,20.8,21.14
2009,21.03,21.13
2010,21.91,21.12
2011,20.73,21.13
2012,20.54,21.16
2013,21.76,21.21
2014,20.79,21.29
2015,21.56,21.39
2016,22.16,21.5
2017,21.42,21.62
2018,21.58,21.73
2019,22.11,21.84
2020,20.98,21.93
2021,22.51,22
2022,21.85,22.07
2023,22.93,22.13
2024,21.71,22.19
