"Category","Average Mean Surface Air Temperature (Annual Mean °C)","5-year smooth (Gaussian Smooth)"
1901,13.68,13.8
1902,14.22,13.56
1903,12.65,13.35
1904,13.15,13.18
1905,12.94,13.07
1906,13.6,13.06
1907,12.76,13.16
1908,13.54,13.36
1909,14.37,13.59
1910,13.66,13.83
1911,12.98,14.02
1912,13.78,14.12
1913,13.84,14.1
1914,14.61,14
1915,15.24,13.84
1916,12.98,13.65
1917,14.42,13.46
1918,12.7,13.3
1919,12.8,13.18
1920,11.86,13.09
1921,12.94,13.05
1922,14.09,13.06
1923,12.73,13.12
1924,13.17,13.21
1925,14.04,13.31
1926,13.81,13.37
1927,13.72,13.37
1928,12.64,13.28
1929,12.38,13.09
1930,12.61,12.85
1931,12.58,12.62
1932,12.82,12.46
1933,13.2,12.42
1934,12.11,12.54
1935,12.83,12.79
1936,13.44,13.12
1937,12.65,13.47
1938,13.69,13.79
1939,14.06,14.01
1940,14.48,14.12
1941,15,14.15
1942,13.85,14.09
1943,12.89,13.97
1944,14.23,13.79
1945,12.99,13.59
1946,13.47,13.37
1947,14.21,13.17
1948,13.49,13.01
1949,12.11,12.92
1950,12.35,12.92
1951,13.04,12.98
1952,13.37,13.09
1953,13.51,13.2
1954,12.51,13.3
1955,14.4,13.36
1956,13.42,13.37
1957,12.35,13.35
1958,13.85,13.33
1959,13.14,13.34
1960,13,13.39
1961,14.14,13.5
1962,13.66,13.63
1963,14.43,13.77
1964,12.57,13.86
1965,14,13.89
1966,14.32,13.83
1967,13.66,13.69
1968,13.72,13.51
1969,12.15,13.34
1970,14.09,13.22
1971,14.4,13.17
1972,11.72,13.21
1973,13.81,13.31
1974,12.9,13.44
1975,13.78,13.59
1976,13.3,13.72
1977,14.19,13.81
1978,13.86,13.88
1979,14.17,13.93
1980,14.18,13.96
1981,14.44,14
1982,13.42,14.03
1983,14.65,14.07
1984,13.08,14.11
1985,13.86,14.13
1986,14.13,14.12
1987,14.12,14.09
1988,14.73,14.03
1989,13.77,13.97
1990,14.44,13.9
1991,14.01,13.86
1992,13.77,13.86
1993,13.09,13.91
1994,13.8,14.01
1995,14.88,14.13
1996,13.59,14.27
1997,14.79,14.42
1998,14.34,14.56
1999,15,14.7
2000,14.93,14.81
2001,15.07,14.91
2002,14.93,14.97
2003,14.29,14.99
2004,15.38,14.98
2005,14.96,14.94
2006,14.91,14.9
2007,14.97,14.84
2008,14.39,14.8
2009,14.85,14.77
2010,15.48,14.77
2011,14.5,14.78
2012,14.19,14.8
2013,15.36,14.84
2014,14.12,14.89
2015,15.3,14.95
2016,15.71,15.02
2017,14.93,15.11
2018,15.06,15.21
2019,15.61,15.33
2020,14.57,15.45
2021,15.71,15.6
2022,15.96,15.75
2023,16.51,15.9
2024,15.61,16.06
