"Category","Average Minimum Surface Air Temperature (Annual Mean °C)","5-year smooth (Gaussian Smooth)"
1901,6.76,7.05
1902,7.55,6.85
1903,6.06,6.66
1904,6.45,6.52
1905,6.5,6.43
1906,6.99,6.43
1907,6.35,6.51
1908,6.87,6.68
1909,7.04,6.89
1910,6.87,7.1
1911,6.07,7.28
1912,6.98,7.39
1913,7.61,7.41
1914,8.28,7.36
1915,8.79,7.26
1916,6.42,7.11
1917,7.69,6.95
1918,5.87,6.78
1919,5.62,6.62
1920,5.89,6.48
1921,6.62,6.39
1922,7.43,6.37
1923,6.13,6.41
1924,6.42,6.52
1925,6.75,6.65
1926,7.31,6.78
1927,7.21,6.85
1928,6.45,6.85
1929,5.89,6.75
1930,6.38,6.6
1931,6.67,6.44
1932,6.68,6.29
1933,6.88,6.22
1934,5.99,6.24
1935,6.35,6.34
1936,6.4,6.5
1937,5.74,6.69
1938,6.85,6.87
1939,7.2,7.02
1940,7.6,7.13
1941,8,7.19
1942,7.12,7.19
1943,6.29,7.13
1944,7.28,7
1945,6.29,6.81
1946,6.45,6.59
1947,7.18,6.39
1948,6.58,6.22
1949,5.69,6.14
1950,5.38,6.16
1951,6.51,6.28
1952,6.84,6.44
1953,7.25,6.61
1954,6.01,6.75
1955,7.3,6.83
1956,6.66,6.83
1957,5.93,6.79
1958,7.39,6.75
1959,6.76,6.73
1960,6.55,6.77
1961,7.3,6.89
1962,7.07,7.05
1963,7.74,7.22
1964,6.03,7.35
1965,7.47,7.41
1966,7.78,7.37
1967,7.34,7.24
1968,7.44,7.08
1969,6.19,6.92
1970,7.42,6.8
1971,7.57,6.76
1972,5.54,6.81
1973,7.28,6.92
1974,6.6,7.08
1975,7.3,7.25
1976,7.17,7.42
1977,8.05,7.55
1978,7.65,7.66
1979,7.93,7.74
1980,7.9,7.8
1981,8.32,7.83
1982,7.3,7.84
1983,8.18,7.83
1984,6.93,7.81
1985,7.53,7.78
1986,7.81,7.76
1987,7.99,7.74
1988,8.33,7.73
1989,7.24,7.72
1990,8.13,7.72
1991,7.97,7.73
1992,7.79,7.73
1993,7.19,7.74
1994,7.57,7.76
1995,8.18,7.8
1996,7.12,7.86
1997,8.28,7.96
1998,8.13,8.11
1999,8.74,8.28
2000,8.53,8.46
2001,8.6,8.62
2002,8.53,8.74
2003,8.37,8.8
2004,9.23,8.8
2005,8.7,8.74
2006,8.69,8.66
2007,8.6,8.58
2008,8.03,8.51
2009,8.71,8.46
2010,9.08,8.45
2011,8.31,8.46
2012,7.88,8.47
2013,9,8.5
2014,7.47,8.52
2015,9.07,8.55
2016,9.32,8.58
2017,8.49,8.64
2018,8.58,8.73
2019,9.15,8.86
2020,8.2,9.03
2021,8.96,9.23
2022,10.13,9.46
2023,10.12,9.71
2024,9.55,9.96
