"Category","Precipitation (Annual Mean mm)","5-year smooth (Gaussian Smooth)"
1901,367.34,408.08
1902,464.21,403.46
1903,412.57,399.56
1904,384.61,397.06
1905,324.62,396.69
1906,414.66,399.16
1907,471.25,404.99
1908,490.17,412.5
1909,300.33,418.47
1910,357.08,419.71
1911,475.49,413.01
1912,354.72,395.14
1913,410.21,366.67
1914,414.52,334.12
1915,275.02,304.64
1916,308.57,285.33
1917,110.73,283.44
1918,334.73,303.6
1919,362.02,339.28
1920,472.04,380.88
1921,451.89,418.43
1922,382.17,442.34
1923,476.21,443.62
1924,456.91,423.7
1925,274.23,392.13
1926,372.91,358.51
1927,258.98,332.47
1928,390.75,323.56
1929,342.94,335.58
1930,354.31,361.12
1931,474.27,391.62
1932,410.04,418.58
1933,443.96,433.28
1934,469.17,429.23
1935,360.38,410.35
1936,291.2,383.86
1937,329.5,357.21
1938,348.44,337.62
1939,319.28,332
1940,350.3,340.41
1941,427.92,357.03
1942,468.01,375.9
1943,465.44,391.06
1944,234.3,396.56
1945,436.39,389.86
1946,272.48,375.74
1947,362.5,359.86
1948,326.21,347.9
1949,432.67,345.6
1950,246.26,357.32
1951,406.96,379.87
1952,476.77,407.32
1953,595.94,433.5
1954,378.6,452.48
1955,395.41,458.52
1956,374.71,451.3
1957,396.86,435.73
1958,487.65,416.9
1959,390.01,399.89
1960,440.93,389.75
1961,370.75,389.5
1962,390.61,396.88
1963,448.23,408.96
1964,439.27,422.83
1965,381.7,435.46
1966,352.67,444.23
1967,410.12,448.5
1968,460.73,448.46
1969,767.72,444.31
1970,374.85,436.26
1971,254.46,424.55
1972,478.85,410.46
1973,356.25,396.56
1974,322.75,385.32
1975,318.18,379.29
1976,435.04,381
1977,457.16,391.29
1978,441.11,406.38
1979,454.68,421.76
1980,375.74,432.9
1981,473.08,435.21
1982,401.45,425.07
1983,337.87,405.68
1984,413.39,383.41
1985,352.57,364.85
1986,287.7,356.38
1987,540.35,364.28
1988,371.44,388.69
1989,325.94,422.16
1990,429.72,457.02
1991,514.76,485.53
1992,506.59,500
1993,666.91,495.76
1994,432.54,478.16
1995,300.36,454.33
1996,313.75,431.36
1997,472.99,416.55
1998,617.69,416.09
1999,473.32,428.3
2000,345.16,447.33
2001,328.79,467.12
2002,542.82,481.76
2003,564.58,485.42
2004,489.98,476.74
2005,431.47,460.49
2006,410.77,441.81
2007,413.92,425.82
2008,370.7,417.66
2009,539.4,420.67
2010,399.15,431.7
2011,447.78,446.19
2012,440.19,459.62
2013,464.91,467.36
2014,444.87,465.37
2015,490.83,454.53
2016,466.41,438.64
2017,362.48,421.66
2018,371.85,407.45
2019,495.92,399.85
2020,416.29,400.59
2021,293.42,408.2
2022,542.58,420.97
2023,325.33,437.17
2024,504.88,455.15
