,Year,Precipitation (Annual Mean mm),5-year smooth (Gaussian Smooth),Average Minimum Surface Air Temperature (Annual Mean °C),Average Mean Surface Air Temperature (Annual Mean °C),Average Maximum Surface Air Temperature (Annual Mean °C),Annual SPEI Drought Index (spei index),Average Largest 1-Day Precipitation (mm),Average Largest 5-Day Cumulative Precipitation (mm),Precipitation amount during wettest days (mm),Relative Humidity (%),Temperature-based Excess Mortality (factor)
0,1950,253.66,312.24,5.34,12.0,18.68,-0.010405405405405422,24.25,36.1,9.87,51.86,0.05
1,1951,405.11,324.28,6.16,12.49,18.86,0.03,15.7,40.0,2.09,57.96,0.03
2,1952,320.01,337.32,6.58,12.87,19.19,0.12,18.25,41.52,5.53,53.27,0.04
3,1953,465.28,347.99,6.87,13.03,19.25,-0.11,16.71,37.02,5.49,56.51,0.04
4,1954,329.45,353.05,5.5,11.91,18.35,1.39,17.62,38.17,6.55,57.0,0.01
5,1955,292.25,349.36,7.05,13.84,20.68,-0.34,22.22,43.53,12.51,48.02,0.11
6,1956,255.01,337.27,6.36,13.1,19.87,-0.15,16.48,41.18,5.93,52.69,0.12
7,1957,281.83,320.55,5.55,12.0,18.48,0.12,13.62,30.78,1.26,57.69,0.01
8,1958,384.42,303.01,6.98,13.3,19.66,0.57,34.43,58.31,9.38,55.56,0.07
9,1959,323.15,288.46,6.52,12.78,19.07,0.51,23.25,49.9,12.38,55.5,0.04
10,1960,327.87,280.74,6.17,12.55,18.97,0.31,15.98,38.02,5.95,55.01,0.06
11,1961,194.93,281.89,7.19,13.76,20.38,-1.1,13.81,21.9,0.02,47.37,0.11
12,1962,288.51,289.52,7.01,13.38,19.77,-1.84,14.53,33.77,2.77,48.8,0.1
13,1963,370.24,300.64,7.65,14.15,20.68,0.05,21.23,39.26,11.18,52.65,0.06
14,1964,284.49,312.26,5.87,12.22,18.6,0.9,20.52,34.7,10.12,52.5,0.03
15,1965,252.18,321.32,7.35,13.73,20.16,-0.61,19.02,48.17,5.18,48.98,0.11
16,1966,338.01,325.25,7.48,13.85,20.26,-0.35,16.85,37.09,4.37,50.35,0.11
17,1967,295.03,324.23,7.21,13.29,19.44,-1.23,18.16,35.17,4.82,50.86,0.09
18,1968,271.67,319.56,6.98,13.22,19.47,-0.51,17.1,37.06,4.34,51.98,0.11
19,1969,570.93,312.6,5.76,11.73,17.72,1.9,20.59,62.39,11.47,63.52,0.03
20,1970,277.33,304.67,7.17,13.64,20.17,0.41,19.84,39.5,9.68,53.32,0.08
21,1971,182.32,297.07,7.35,14.04,20.78,-0.91,16.28,26.0,2.88,49.63,0.11
22,1972,330.22,290.56,5.29,11.42,17.59,-0.28,16.01,36.59,2.72,55.68,0.02
23,1973,228.92,285.36,6.99,13.48,19.99,0.2,14.53,40.4,2.79,51.77,0.12
24,1974,263.52,281.6,6.33,12.52,18.75,-0.95,13.19,23.34,2.18,52.88,0.09
25,1975,199.45,279.45,7.15,13.51,19.9,-1.18,12.41,30.87,1.53,48.56,0.13
26,1976,302.25,279.06,7.07,13.0,18.97,-0.36,15.27,31.27,2.88,57.08,0.08
27,1977,398.89,280.46,7.64,13.81,20.02,-0.44,38.93,86.67,19.18,55.48,0.09
28,1978,286.46,283.29,7.43,13.53,19.67,0.4,17.18,29.94,2.76,55.92,0.09
29,1979,285.87,287.13,7.62,13.77,19.95,0.41,28.11,65.79,21.26,53.82,0.11
30,1980,280.26,291.58,7.76,13.91,20.09,0.05,18.17,27.41,4.95,55.14,0.07
31,1981,333.14,296.18,7.94,13.98,20.07,0.31,18.74,35.29,4.16,56.47,0.04
32,1982,255.54,300.57,7.14,13.19,19.28,-0.68,21.46,36.66,8.28,51.09,0.1
33,1983,253.66,304.72,7.92,14.33,20.77,-0.09,21.04,37.29,7.51,52.58,0.12
34,1984,346.37,308.74,6.62,12.72,18.85,-0.21,14.62,43.37,3.69,54.19,0.15
35,1985,285.26,312.75,7.19,13.44,19.71,0.34,18.46,32.94,5.01,54.86,0.07
36,1986,246.65,316.86,7.66,13.8,19.98,-0.98,13.31,28.33,4.0,52.08,0.09
37,1987,481.97,321.19,7.84,13.75,19.7,0.64,26.29,70.56,15.84,59.47,0.06
38,1988,334.96,325.47,8.13,14.35,20.62,1.34,17.71,40.38,7.4,56.23,0.1
39,1989,235.61,328.99,7.02,13.31,19.63,-0.68,18.19,34.96,4.04,52.65,0.07
40,1990,327.32,331.02,8.03,14.17,20.35,0.36,18.54,40.67,5.6,57.06,0.11
41,1991,336.84,330.82,7.64,13.71,19.82,0.17,17.91,52.42,5.9,56.59,0.06
42,1992,289.65,327.65,7.72,13.62,19.56,0.78,14.42,39.28,2.65,57.89,0.03
43,1993,466.68,321.42,7.02,12.79,18.59,1.04,23.65,56.26,15.17,60.57,0.03
44,1994,308.6,313.9,7.37,13.44,19.54,1.14,18.91,35.68,7.42,56.86,0.08
45,1995,185.98,307.27,7.84,14.28,20.76,0.03,16.74,31.7,5.87,53.4,0.09
46,1996,289.99,303.67,6.98,13.13,19.3,0.38,20.61,36.17,7.49,56.76,0.09
47,1997,239.54,305.3,8.1,14.48,20.88,-0.74,13.32,23.39,2.49,52.98,0.16
48,1998,489.82,313.89,8.06,14.01,20.0,0.85,20.89,51.25,11.46,59.96,0.06
49,1999,353.1,327.63,8.52,14.61,20.73,1.07,16.1,39.18,2.72,57.01,0.05
50,2000,286.09,342.84,8.33,14.46,20.63,-0.43,25.42,40.59,9.85,53.97,0.09
51,2001,261.3,355.7,8.47,14.78,21.13,-0.31,16.62,32.49,4.52,55.11,0.08
52,2002,392.86,362.51,8.46,14.58,20.75,0.58,17.07,35.78,3.19,57.13,0.1
53,2003,426.46,359.61,8.28,14.03,19.82,1.16,21.09,60.3,14.29,59.05,0.08
54,2004,352.47,346.64,9.2,15.08,20.99,0.5,16.55,46.74,4.22,56.58,0.1
55,2005,292.06,327.79,8.73,14.68,20.69,0.4,26.51,42.9,11.81,55.77,0.1
56,2006,294.66,307.49,8.64,14.7,20.78,-0.03,18.49,48.66,3.62,56.66,0.1
57,2007,295.85,290.16,8.58,14.69,20.86,-0.85,19.32,58.65,5.59,54.04,0.09
58,2008,252.85,280.22,8.24,14.23,20.25,-1.31,15.43,28.8,2.28,53.0,0.18
59,2009,293.13,280.65,8.6,14.56,20.57,-0.11,16.04,33.61,4.07,56.29,0.05
60,2010,359.14,288.95,9.15,15.14,21.18,0.84,16.98,36.54,6.59,58.4,0.04
61,2011,316.1,301.49,8.28,14.22,20.17,-0.61,18.4,45.23,6.47,55.04,0.11
62,2012,248.6,314.68,7.68,13.87,20.1,0.44,16.47,47.09,3.34,54.95,0.07
63,2013,284.75,324.79,8.95,15.07,21.24,-0.85,12.81,27.62,2.82,55.7,0.11
64,2014,306.3,328.57,7.37,13.78,20.23,-0.56,16.55,35.04,2.41,55.71,0.11
65,2015,362.21,326.13,8.9,15.08,21.29,-0.19,20.07,31.6,6.86,57.82,0.1
66,2016,376.02,319.61,8.7,15.41,22.15,0.11,18.18,42.51,6.28,57.09,0.1
67,2017,316.74,311.27,7.82,14.66,21.54,1.1,18.66,33.89,7.16,57.02,0.07
68,2018,304.87,303.29,7.55,14.63,21.75,0.18,15.37,36.62,3.18,57.46,0.09
69,2019,294.53,297.84,8.55,15.35,22.18,0.11,20.58,37.79,8.6,54.77,0.12
70,2020,283.19,295.98,7.61,14.31,21.02,-0.32,14.52,23.43,2.18,54.56,0.05
71,2021,233.52,297.12,8.59,15.39,22.23,-0.56,17.92,37.91,5.54,49.84,0.11
72,2022,368.99,300.49,9.67,15.68,21.72,-0.81,18.64,40.84,4.86,54.25,0.15
73,2023,238.78,305.36,9.62,16.12,22.67,-0.6,22.28,49.56,11.14,53.37,0.12
74,2024,354.42,311.0,8.93,15.28,21.68,-0.73,25.88,34.83,16.33,60.22,0.08
