,Year,Amudaryo salinity,Amudaryo volume,Sirdaryo salinity,Sirdaryo volume,"	Precipitation, km3","Evaporation, km3",Unnamed: 0,Water Level m,Water surface area km2,Volume km3,"Salinity, g/l"
0,1950,0.47,41.0,0.58,11.9,9.22,66.06,39.0,52.82,65.2,1051.0,10.17
1,1951,0.52,33.4,0.55,13.2,8.07,59.19,40.0,52.72,64.7,1045.0,9.74
2,1952,0.41,55.2,0.46,18.8,8.78,62.62,41.0,52.69,64.6,1043.0,10.67
3,1953,0.41,54.8,0.45,19.5,9.63,64.11,42.0,52.86,65.4,1053.0,9.82
4,1954,0.41,55.1,0.43,21.1,10.87,62.87,43.0,53.12,67.7,1065.0,10.21
5,1955,0.47,41.9,0.49,16.7,9.17,66.13,44.0,53.16,67.8,1067.0,10.13
6,1956,0.44,48.0,0.5,16.4,9.3,67.2,45.0,53.22,68.2,1077.0,10.19
7,1957,0.54,30.9,0.63,9.5,8.51,68.11,46.0,53.19,68.0,1074.0,10.01
8,1958,0.42,52.3,0.6,10.9,7.94,68.93,47.0,53.16,67.8,1067.0,10.42
9,1959,0.45,46.3,0.47,18.3,9.92,70.05,48.0,53.28,68.4,1077.0,10.19
10,1960,0.47,42.0,0.43,21.1,9.41,71.13,49.0,53.4,68.9,1083.0,9.93
11,1961,0.57,31.1,1.14,8.9,6.59,70.43,50.0,53.29,68.5,1079.0,9.97
12,1962,0.51,38.4,1.6,4.0,8.63,70.93,51.0,52.97,65.9,1060.0,10.8
13,1963,0.56,31.8,1.28,7.0,11.56,70.64,52.0,52.61,64.3,1038.0,10.58
14,1964,0.51,39.2,1.1,9.4,8.12,64.04,53.0,52.49,64.8,1030.0,10.13
15,1965,0.62,25.3,1.71,3.2,8.48,66.35,54.0,52.3,62.38,972.47,10.81
16,1966,0.53,35.6,1.33,6.4,6.64,71.13,54.2,52.126,61.688,966.222,11.81
17,1967,0.58,29.3,1.38,5.9,7.51,57.82,54.4,51.952,60.996,959.974,11.02
18,1968,0.54,34.4,1.49,4.9,6.03,67.35,54.6,51.778,60.304,953.726,11.49
19,1969,0.36,70.6,1.03,10.6,9.06,52.31,54.8,51.604,59.612,947.4780000000001,10.91
20,1970,0.56,32.4,1.32,6.5,7.22,62.03,55.0,51.43,58.92,941.23,11.2
21,1971,0.65,20.6,1.04,5.6,5.81,59.83,56.0,51.06,57.73,902.43,11.38
22,1972,0.59,24.2,1.15,4.8,5.78,55.34,57.0,50.54,56.85,875.12,11.95
23,1973,0.4,43.5,0.99,6.0,8.95,56.45,58.0,50.22,56.17,845.47,11.95
24,1974,1.01,6.9,2.16,1.3,4.75,60.18,59.0,49.85,56.01,844.46,13.02
25,1975,0.92,9.2,2.47,0.8,4.43,59.99,60.0,49.01,54.67,802.74,13.4
26,1976,0.85,11.3,2.88,0.3,5.79,51.09,60.2,48.358,53.578,768.554,14.57
27,1977,0.99,7.2,2.98,0.2,5.04,45.75,60.4,47.705999999999996,52.486000000000004,734.3679999999999,15.44
28,1978,0.68,18.9,2.79,0.4,6.42,52.52,60.6,47.054,51.394,700.182,14.97
29,1979,0.87,10.9,1.8,2.1,4.87,52.14,60.8,46.402,50.302,665.996,15.09
30,1980,0.92,9.3,1.96,1.7,9.73,50.24,61.0,45.75,49.21,631.81,16.8
31,1981,1.33,6.9,2.03,1.7,11.92,47.11,62.0,45.18,48.63,625.78,17.7
32,1982,2.75,0.3,2.31,1.3,8.52,38.5,63.0,44.39,47.13,578.65,18.8
33,1983,2.06,2.4,3.2,0.5,4.51,47.59,64.0,43.55,46.07,532.58,20.3
34,1984,1.23,8.0,3.53,0.3,5.99,44.33,65.0,42.75,44.92,487.66,21.9
35,1985,2.11,2.2,3.53,0.3,7.19,42.52,66.0,41.94,43.08,444.58,22.9
36,1986,2.69,0.46,3.73,0.2,0.11,0.98,67.0,41.02,38.56,380.63,22.9
37,1987,1.17,8.68,2.58,1.0,0.1,1.0,68.0,40.19,37.13,343.17,22.9
38,1988,0.72,17.81,1.01,5.0,0.11,0.94,69.0,39.67,36.18,312.65,22.9
39,1989,2.3,1.51,1.42,3.1,0.15,0.97,70.0,39.1,35.3,306.92,22.9
40,1990,1.33,6.89,1.67,2.41,0.7,1.04,71.0,38.24,33.67,280.44,23.9
41,1991,1.33,10.48,1.89,2.58,0.8,1.06,72.0,37.66,32.02,257.16,25.0
42,1992,0.78,24.27,1.73,3.34,0.1,0.92,73.0,37.2,31.83,240.17,28.0
43,1993,1.06,15.52,1.17,7.5,0.9,0.83,74.0,36.95,31.42,231.7,30.0
44,1994,0.93,18.72,1.09,8.46,0.12,0.97,75.0,36.9,31.31,229.87,32.0
45,1995,2.13,3.24,1.52,4.53,0.9,0.98,76.0,36.5,30.04,217.25,34.0
46,1996,1.87,4.92,1.47,4.89,0.19,0.97,77.0,35.48,28.54,195.63,35.0
47,1997,2.68,0.73,1.64,3.82,0.24,0.93,78.0,34.8,26.91,173.44,36.0
48,1998,0.89,20.07,1.18,7.41,0.17,0.88,79.0,34.21,25.75,168.43,37.0
49,1999,1.97,4.17,1.32,6.03,0.9,1.0,80.0,33.98,24.12,147.62,42.0
50,2000,2.51,1.37,1.83,2.86,0.13,0.96,81.0,33.5,22.93,139.53,43.5
51,2001,2.87,0.09,1.79,3.03,0.16,0.95,82.0,32.4,21.0,131.16,49.8
52,2002,3.1,0.05,1.8,3.2,0.15,0.94,83.0,32.0,18.7,110.84,50.6
53,2003,3.45,0.03,1.77,3.3,0.15,0.93,84.0,31.5,17.3,97.23,55.8
54,2004,3.85,0.01,1.73,3.4,0.14,0.91,85.0,31.09,16.4,93.46,58.6
55,2005,4.2,0.0,1.7,3.5,0.14,0.9,86.0,30.7,15.77,89.79,70.0
56,2006,4.6,0.0,1.68,3.4,0.13,0.89,87.0,30.4,13.47,81.35,78.7
57,2007,5.05,0.0,1.67,3.25,0.13,0.89,88.0,34.07,14.76,99.84,86.3
58,2008,5.5,0.0,1.65,3.1,0.12,0.88,89.0,33.37,11.52,88.5,90.0
59,2009,6.2,0.05,1.62,3.0,0.12,0.87,90.0,32.97,10.03,85.08,92.1
60,2010,7.0,0.12,1.58,2.9,0.13,0.86,91.0,33.4,11.69,90.15,95.3
61,2011,7.8,0.02,1.55,2.8,0.13,0.85,92.0,32.77,9.26,82.5,97.6
62,2012,8.7,0.01,1.53,2.7,0.12,0.84,93.0,32.3,9.22,77.61,102.0
63,2013,9.6,0.0,1.51,2.6,0.12,0.83,94.0,32.37,8.6,76.11,112.32
64,2014,10.5,0.01,1.5,2.5,0.11,0.82,95.0,32.0,7.66,73.13,119.05
65,2015,11.0,0.01,1.48,2.4,0.11,0.81,96.0,32.33,9.21,80.17,126.08
66,2016,11.5,0.0,1.47,2.3,0.1,0.81,97.0,31.6,7.22,74.51,133.41
67,2017,12.0,0.0,1.45,2.2,0.1,0.8,98.0,31.57,8.35,73.51,141.04
68,2018,13.0,0.02,1.43,2.1,0.1,0.79,99.0,31.03,6.99,69.31,148.99
69,2019,14.0,0.05,1.42,2.0,0.09,0.79,100.0,30.8,6.85,67.5,157.26
70,2020,15.0,0.1,1.4,1.9,0.09,0.78,101.0,30.5,6.5,65.2,165.86
71,2021,16.2,0.25,1.38,1.85,0.09,0.77,102.0,29.9,6.1,61.8,174.79
72,2022,17.3,0.4,1.37,1.8,0.09,0.76,103.0,30.1,6.3,63.4,184.06
73,2023,18.5,0.6,1.35,1.7,0.09,0.75,104.0,29.7,5.9,60.1,193.68
74,2024,19.2,0.52,1.32,1.6,0.08,0.74,105.0,29.5,5.75,58.5,203.65
75,2025,20.0,0.45,1.3,1.5,0.08,0.74,106.0,29.2,5.5,56.8,213.97
0,2002,3.1,0.05,1.8,3.2,0.15,0.94,39.0,52.82,65.2,1051.0,10.17
1,2003,3.45,0.03,1.77,3.3,0.15,0.93,40.0,52.72,64.7,1045.0,9.74
2,2004,3.85,0.01,1.73,3.4,0.14,0.91,41.0,52.69,64.6,1043.0,10.67
3,2005,4.2,0.0,1.7,3.5,0.14,0.9,42.0,52.86,65.4,1053.0,9.82
4,2006,4.6,0.0,1.68,3.4,0.13,0.89,43.0,53.12,67.7,1065.0,10.21
5,2007,5.05,0.0,1.67,3.25,0.13,0.89,44.0,53.16,67.8,1067.0,10.13
6,2008,5.5,0.0,1.65,3.1,0.12,0.88,45.0,53.22,68.2,1077.0,10.19
7,2009,6.2,0.05,1.62,3.0,0.12,0.87,46.0,53.19,68.0,1074.0,10.01
8,2010,7.0,0.12,1.58,2.9,0.13,0.86,47.0,53.16,67.8,1067.0,10.42
9,2011,7.8,0.02,1.55,2.8,0.13,0.85,48.0,53.28,68.4,1077.0,10.19
10,2012,8.7,0.01,1.53,2.7,0.12,0.84,49.0,53.4,68.9,1083.0,9.93
11,2013,9.6,0.0,1.51,2.6,0.12,0.83,50.0,53.29,68.5,1079.0,9.97
12,2014,10.5,0.01,1.5,2.5,0.11,0.82,51.0,52.97,65.9,1060.0,10.8
13,2015,11.0,0.01,1.48,2.4,0.11,0.81,52.0,52.61,64.3,1038.0,10.58
14,2016,11.5,0.0,1.47,2.3,0.1,0.81,53.0,52.49,64.8,1030.0,10.13
15,2017,12.0,0.0,1.45,2.2,0.1,0.8,54.0,52.3,62.38,972.47,10.81
16,2018,13.0,0.02,1.43,2.1,0.1,0.79,54.2,52.126,61.688,966.222,11.81
17,2019,14.0,0.05,1.42,2.0,0.09,0.79,54.4,51.952,60.996,959.974,11.02
18,2020,15.0,0.1,1.4,1.9,0.09,0.78,54.6,51.778,60.304,953.726,11.49
19,2021,16.2,0.25,1.38,1.85,0.09,0.77,54.8,51.604,59.612,947.4780000000001,10.91
20,2022,17.3,0.4,1.37,1.8,0.09,0.76,55.0,51.43,58.92,941.23,11.2
21,2023,18.5,0.6,1.35,1.7,0.09,0.75,56.0,51.06,57.73,902.43,11.38
22,2024,19.2,0.52,1.32,1.6,0.08,0.74,57.0,50.54,56.85,875.12,11.95
23,2025,20.0,0.45,1.3,1.5,0.08,0.74,58.0,50.22,56.17,845.47,11.95
