,Year,Average Maximum Surface Air Temperature (Annual Mean °C),5-year smooth (Gaussian Smooth),Average Mean Surface Air Temperature (Annual Mean °C),Average Minimum Surface Air Temperature (Annual Mean °C),Precipitation (Annual Mean mm),Annual SPEI Drought Index (spei index),Average Largest 1-Day Precipitation (mm),Average Largest 5-Day Cumulative Precipitation (mm),Precipitation amount during wettest days (mm),Relative Humidity (%),Temperature-based Excess Mortality (factor)
0,1950,20.96,21.3,13.83,6.73,94.68,-0.11121621621621622,12.68,20.1,0.11,42.4,0.02
1,1951,21.23,21.3,14.54,7.9,107.97,0.4,13.79,16.05,4.28,44.73,0.05
2,1952,21.44,21.33,14.81,8.21,173.72,1.23,12.94,31.24,0.41,45.18,0.07
3,1953,21.45,21.38,15.06,8.71,188.05,1.14,14.42,27.07,2.07,48.22,0.05
4,1954,20.6,21.43,14.05,7.54,129.34,2.53,19.98,37.61,10.71,48.33,0.02
5,1955,23.06,21.46,15.97,8.91,89.38,-0.32,7.88,16.61,0.0,41.17,0.13
6,1956,21.53,21.47,14.86,8.24,147.23,0.98,14.67,30.31,5.38,43.91,0.09
7,1957,20.42,21.48,13.89,7.39,114.51,0.76,12.81,17.99,0.0,46.89,0.02
8,1958,22.05,21.49,15.41,8.8,149.55,0.49,10.42,14.05,0.0,44.14,0.05
9,1959,20.95,21.53,14.55,8.19,145.72,0.93,12.97,23.33,3.78,46.99,0.03
10,1960,21.26,21.61,14.57,7.93,113.35,0.25,12.98,15.32,2.13,45.36,0.07
11,1961,22.63,21.72,15.67,8.74,110.48,-0.41,17.7,26.21,8.48,42.65,0.08
12,1962,21.79,21.85,15.07,8.4,130.83,-0.27,11.75,14.12,0.94,45.46,0.07
13,1963,22.66,21.97,15.93,9.23,118.23,-0.06,11.72,18.12,1.36,45.26,0.05
14,1964,20.71,22.05,14.07,7.48,158.83,1.57,16.56,33.11,7.6,46.87,0.06
15,1965,22.22,22.07,15.53,8.89,98.51,0.51,10.63,19.32,2.72,44.84,0.07
16,1966,22.65,21.99,15.9,9.18,99.21,-0.35,10.2,17.65,0.15,42.94,0.11
17,1967,21.8,21.85,15.2,8.65,166.52,0.39,15.42,24.22,4.47,46.78,0.07
18,1968,21.8,21.67,15.25,8.75,126.6,0.05,10.62,20.36,0.0,45.85,0.08
19,1969,19.91,21.51,13.68,7.48,232.01,2.18,20.14,32.43,5.8,52.6,0.06
20,1970,22.44,21.38,15.61,8.82,121.11,0.08,9.07,19.11,0.11,45.61,0.07
21,1971,22.88,21.33,15.96,9.08,90.6,-0.79,10.25,17.56,1.1,43.64,0.07
22,1972,19.65,21.36,13.21,6.8,135.29,0.29,12.84,20.34,4.59,47.28,0.02
23,1973,22.09,21.45,15.36,8.66,154.8,0.44,12.96,18.86,0.88,46.83,0.11
24,1974,20.91,21.57,14.38,7.88,132.84,0.17,12.03,19.35,0.13,44.59,0.08
25,1975,22.09,21.68,15.33,8.59,100.59,-0.63,10.29,15.84,0.07,42.57,0.14
26,1976,21.15,21.77,14.74,8.37,150.16,-0.14,11.34,19.34,2.63,47.82,0.11
27,1977,22.08,21.81,15.65,9.25,128.14,-0.06,8.99,14.06,0.0,47.95,0.12
28,1978,21.79,21.83,15.33,8.92,192.3,1.46,19.99,33.52,10.04,50.15,0.09
29,1979,22.26,21.83,15.68,9.13,145.18,1.11,11.24,26.8,0.23,47.83,0.12
30,1980,22.09,21.83,15.6,9.15,164.79,0.43,17.82,21.06,7.1,48.61,0.1
31,1981,22.3,21.87,15.98,9.7,187.77,1.07,16.66,30.9,5.22,49.73,0.06
32,1982,21.13,21.94,14.81,8.51,163.98,0.77,18.55,28.61,9.26,50.29,0.04
33,1983,22.93,22.04,16.23,9.56,121.41,-0.33,9.73,14.33,0.0,45.38,0.15
34,1984,20.91,22.15,14.55,8.22,134.37,0.22,15.63,32.79,2.68,46.1,0.17
35,1985,21.99,22.23,15.37,8.79,124.01,0.24,14.69,22.75,5.98,46.53,0.11
36,1986,22.18,22.26,15.6,9.05,116.31,-0.72,10.59,19.67,0.0,45.78,0.07
37,1987,22.18,22.21,15.66,9.19,157.05,0.46,15.8,24.28,2.03,46.9,0.08
38,1988,22.72,22.09,16.17,9.66,180.83,0.81,18.92,27.06,12.52,48.33,0.09
39,1989,22.07,21.93,15.36,8.69,115.7,0.11,15.34,25.67,5.95,46.29,0.07
40,1990,22.42,21.78,15.92,9.44,126.7,-0.19,6.73,13.49,0.0,47.81,0.1
41,1991,21.76,21.68,15.5,9.28,156.41,0.13,16.7,23.55,5.58,49.25,0.06
42,1992,21.38,21.67,15.22,9.1,175.03,1.03,12.87,19.65,2.02,50.38,0.04
43,1993,20.73,21.77,14.59,8.49,167.56,0.84,12.61,28.67,0.06,50.84,0.08
44,1994,21.75,21.96,15.27,8.84,139.74,0.5,12.64,22.06,1.24,49.94,0.08
45,1995,23.41,22.2,16.49,9.61,87.43,-0.64,10.23,20.69,0.0,45.21,0.12
46,1996,21.83,22.45,15.11,8.42,93.98,-1.07,11.45,17.55,2.58,45.0,0.08
47,1997,22.84,22.67,16.2,9.6,155.65,-0.43,9.91,21.59,0.18,48.54,0.14
48,1998,22.32,22.82,15.8,9.33,175.22,0.56,14.58,24.07,8.11,48.42,0.1
49,1999,23.32,22.91,16.6,9.92,124.34,-0.98,10.11,15.63,0.0,47.11,0.09
50,2000,23.16,22.94,16.42,9.72,113.78,-1.7,7.99,17.15,0.0,46.21,0.1
51,2001,23.22,22.94,16.58,9.98,116.1,-1.6,11.81,15.63,0.07,47.13,0.08
52,2002,23.05,22.92,16.45,9.9,171.22,-0.08,15.98,29.24,3.44,48.21,0.14
53,2003,21.81,22.88,15.72,9.67,196.49,0.85,18.0,24.77,5.67,51.38,0.09
54,2004,23.22,22.85,16.81,10.43,159.5,-0.42,11.54,19.09,1.09,47.83,0.09
55,2005,22.94,22.82,16.41,9.92,160.17,0.16,13.97,32.94,0.44,48.03,0.14
56,2006,22.83,22.79,16.34,9.88,132.49,-1.15,13.47,19.32,2.73,45.96,0.1
57,2007,22.92,22.76,16.31,9.74,141.7,-1.3,12.4,23.95,0.43,44.81,0.1
58,2008,22.41,22.73,15.83,9.28,99.73,-1.89,6.87,10.86,0.0,45.17,0.15
59,2009,22.54,22.7,16.24,10.0,164.75,-0.39,17.77,27.05,3.81,49.38,0.06
60,2010,23.62,22.67,16.92,10.26,98.96,-0.74,10.8,18.32,1.09,44.48,0.14
61,2011,22.11,22.66,15.83,9.59,122.95,-1.94,12.39,20.95,4.19,45.63,0.15
62,2012,22.14,22.65,15.67,9.24,138.07,-0.37,16.91,22.08,3.84,44.5,0.13
63,2013,23.27,22.67,16.77,10.31,155.43,-1.1,18.19,25.13,8.14,45.64,0.1
64,2014,22.16,22.71,15.55,8.97,139.24,-1.19,10.06,18.95,0.0,44.55,0.14
65,2015,22.91,22.77,16.65,10.44,159.08,-0.8,13.7,35.59,1.23,46.43,0.19
66,2016,23.47,22.85,17.09,10.76,165.82,-1.2,10.15,12.78,0.03,45.56,0.11
67,2017,22.8,22.94,16.34,9.92,145.29,-0.44,14.1,31.22,2.18,45.21,0.14
68,2018,22.91,23.04,16.54,10.2,116.46,-1.56,15.06,20.79,1.38,42.59,0.17
69,2019,23.28,23.15,17.01,10.79,170.01,-0.61,11.0,23.02,0.0,44.89,0.2
70,2020,22.25,23.25,15.96,9.72,139.2,-0.98,19.44,24.32,11.51,44.68,0.14
71,2021,23.9,23.35,17.15,10.45,83.21,-1.86,13.61,20.14,0.08,40.52,0.23
72,2022,23.41,23.46,17.35,11.34,144.68,-1.61,12.94,28.06,0.0,45.05,0.17
73,2023,24.52,23.56,17.98,11.48,101.25,-2.04,11.84,18.46,4.29,41.43,0.16
74,2024,22.97,23.67,16.98,11.04,139.37,-1.01,15.5,19.59,6.75,46.98,0.1
