,Year,Average Maximum Surface Air Temperature (Annual Mean °C),5-year smooth (Gaussian Smooth),Average Mean Surface Air Temperature (Annual Mean °C),Average Minimum Surface Air Temperature (Annual Mean °C),Precipitation (Annual Mean mm),Annual SPEI Drought Index (spei index),Average Largest 1-Day Precipitation (mm),Average Largest 5-Day Cumulative Precipitation (mm),Precipitation amount during wettest days (mm),Relative Humidity (%),Temperature-based Excess Mortality (factor)
0,1950,17.7,18.29,11.45,4.94,267.77,0.0204054054054054,15.84,27.46,3.48,47.72,0.05
1,1951,18.28,18.3,12.06,5.9,422.66,0.07,14.02,34.38,0.84,54.69,0.04
2,1952,18.42,18.34,12.44,6.32,360.58,0.46,17.23,41.61,3.07,51.2,0.05
3,1953,18.54,18.4,12.59,6.62,587.36,0.11,19.03,34.91,6.28,53.24,0.05
4,1954,17.61,18.45,11.51,5.31,391.87,1.59,11.84,29.64,1.04,54.73,0.01
5,1955,20.07,18.49,13.39,6.74,318.24,-0.05,18.97,32.65,7.08,47.16,0.1
6,1956,18.38,18.51,12.51,6.01,318.93,-0.07,15.99,30.62,2.22,49.14,0.14
7,1957,18.03,18.53,11.43,5.23,324.91,0.14,10.21,24.81,0.91,54.16,0.02
8,1958,18.91,18.56,12.87,6.72,480.16,0.85,24.63,47.97,9.07,52.74,0.09
9,1959,17.74,18.62,12.26,6.21,355.25,0.64,21.45,42.5,8.32,51.67,0.05
10,1960,18.21,18.71,12.05,5.89,389.4,0.14,11.38,32.58,2.07,50.83,0.08
11,1961,19.87,18.83,13.21,6.79,214.42,-1.01,13.32,21.2,0.42,45.18,0.11
12,1962,19.2,18.97,12.81,6.61,284.52,-1.66,12.56,27.61,1.49,46.44,0.09
13,1963,19.7,19.1,13.55,7.21,422.11,0.25,16.54,32.76,3.29,49.56,0.06
14,1964,17.92,19.18,11.66,5.49,333.55,1.17,17.46,29.83,2.44,50.24,0.03
15,1965,19.26,19.21,13.12,6.91,303.96,-0.34,16.8,34.3,4.5,47.75,0.08
16,1966,19.79,19.14,13.31,7.09,423.47,0.08,21.74,39.01,10.12,50.2,0.09
17,1967,19.01,19.01,12.72,6.79,318.76,-1.1,14.54,30.07,1.4,48.82,0.09
18,1968,18.93,18.84,12.74,6.77,339.72,-0.29,15.01,38.22,2.25,50.0,0.12
19,1969,17.02,18.68,11.23,5.54,691.79,2.06,18.16,52.46,5.11,60.41,0.06
20,1970,19.39,18.55,13.14,6.87,320.17,0.39,14.24,27.99,1.58,50.04,0.09
21,1971,20.01,18.5,13.46,6.97,203.0,-1.19,10.28,22.37,0.65,47.55,0.08
22,1972,17.15,18.52,10.84,4.96,446.18,-0.01,16.1,33.57,3.72,52.55,0.02
23,1973,19.01,18.6,12.91,6.68,300.47,0.31,18.31,44.07,6.78,48.55,0.12
24,1974,18.31,18.71,11.99,6.0,328.72,-1.11,10.2,19.1,0.94,49.58,0.08
25,1975,19.58,18.82,12.9,6.77,225.96,-1.09,10.42,29.95,1.12,46.55,0.12
26,1976,18.02,18.92,12.41,6.68,359.93,-0.34,16.08,36.01,2.81,53.57,0.1
27,1977,19.2,18.98,13.29,7.39,498.69,-0.47,27.88,65.07,12.66,52.97,0.11
28,1978,18.82,19.01,12.96,7.08,353.79,0.5,13.04,25.38,1.06,52.29,0.11
29,1979,19.59,19.03,13.23,7.32,362.25,0.24,21.24,52.78,11.01,51.11,0.12
30,1980,18.94,19.06,13.3,7.36,362.95,-0.07,16.18,27.62,4.82,52.36,0.09
31,1981,19.5,19.11,13.48,7.67,419.92,0.51,17.77,31.28,4.06,55.15,0.04
32,1982,18.66,19.19,12.62,6.82,311.22,-0.33,16.55,34.2,3.26,49.56,0.08
33,1983,20.41,19.29,13.73,7.57,302.3,-0.52,14.01,27.56,2.26,48.14,0.13
34,1984,18.24,19.38,12.19,6.33,414.05,-0.48,14.85,30.16,2.55,51.28,0.17
35,1985,19.19,19.46,12.92,6.92,356.35,-0.06,12.45,22.27,1.82,49.84,0.09
36,1986,19.39,19.48,13.23,7.29,301.11,-1.32,12.01,22.93,1.76,48.73,0.08
37,1987,19.0,19.44,13.17,7.44,556.71,0.71,19.69,44.21,6.34,56.28,0.07
38,1988,19.82,19.34,13.79,7.77,410.88,1.2,13.03,31.74,2.75,53.06,0.14
39,1989,19.64,19.21,12.82,6.71,279.98,-0.88,11.48,31.25,2.24,48.74,0.07
40,1990,19.85,19.09,13.56,7.63,399.38,0.28,17.0,38.11,2.53,53.23,0.14
41,1991,19.35,19.01,13.1,7.31,423.38,-0.15,15.47,43.59,3.04,52.95,0.07
42,1992,18.58,19.01,12.98,7.31,337.95,0.75,11.36,29.56,1.21,54.27,0.04
43,1993,18.06,19.11,12.16,6.61,570.51,0.88,20.19,47.6,8.0,57.21,0.05
