,Year,Average Maximum Surface Air Temperature (Annual Mean °C),5-year smooth (Gaussian Smooth),Average Mean Surface Air Temperature (Annual Mean °C),Average Minimum Surface Air Temperature (Annual Mean °C),Precipitation (Annual Mean mm),Annual SPEI Drought Index (spei index),Average Largest 1-Day Precipitation (mm),Average Largest 5-Day Cumulative Precipitation (mm),Precipitation amount during wettest days (mm),Relative Humidity (%),Temperature-based Excess Mortality (factor)
0,1950,19.35,19.7,12.35,5.38,246.26,-0.10500000000000001,18.55,46.19,5.34,56.28,0.05
1,1951,19.61,19.71,13.04,6.51,406.96,-0.12,26.11,52.03,15.44,62.39,0.04
2,1952,19.92,19.76,13.37,6.84,476.77,0.87,19.14,43.52,9.22,60.79,0.06
3,1953,19.8,19.83,13.51,7.25,595.94,0.95,43.21,69.8,21.47,62.14,0.05
4,1954,19.05,19.89,12.51,6.01,378.6,1.7,21.67,57.58,15.75,61.55,0.03
5,1955,21.55,19.92,14.4,7.3,395.41,-0.12,32.2,49.8,20.24,56.28,0.12
6,1956,20.22,19.94,13.42,6.66,374.71,0.15,25.93,52.41,17.95,57.31,0.08
7,1957,18.8,19.95,12.35,5.93,396.86,-0.39,24.26,41.98,8.11,60.85,0.04
8,1958,20.35,19.96,13.85,7.39,487.65,0.53,23.36,50.58,11.62,58.84,0.09
9,1959,19.56,19.99,13.14,6.76,390.01,0.43,19.71,47.64,11.75,62.08,0.02
10,1960,19.48,20.05,13.0,6.55,440.93,0.39,19.78,36.9,11.72,62.95,0.05
11,1961,21.01,20.15,14.14,7.3,370.75,-0.43,27.52,49.61,20.03,56.52,0.07
12,1962,20.29,20.26,13.66,7.07,390.61,-0.74,19.51,43.82,11.83,59.56,0.08
13,1963,21.18,20.36,14.43,7.74,448.23,0.17,25.89,49.42,10.76,61.07,0.05
14,1964,19.14,20.42,12.57,6.03,439.27,1.38,33.7,59.82,19.13,61.11,0.03
15,1965,20.58,20.41,14.0,7.47,381.7,0.12,38.11,50.05,22.2,60.39,0.05
16,1966,20.91,20.32,14.32,7.78,352.67,-0.66,24.2,43.9,9.83,59.36,0.08
17,1967,20.04,20.17,13.66,7.34,410.12,-0.29,27.83,47.68,14.17,61.9,0.05
18,1968,20.02,19.98,13.72,7.44,460.73,0.47,21.36,40.78,8.36,62.17,0.07
19,1969,18.15,19.81,12.15,6.19,767.72,2.3,37.29,83.76,25.49,67.17,0.03
20,1970,20.79,19.67,14.09,7.42,374.85,0.73,23.14,45.55,13.56,61.06,0.04
21,1971,21.28,19.61,14.4,7.57,254.46,-1.06,21.61,44.41,10.07,57.81,0.05
22,1972,17.92,19.64,11.72,5.54,478.85,-0.15,17.75,37.67,6.24,62.8,0.01
23,1973,20.37,19.72,13.81,7.28,356.25,0.46,26.24,54.16,17.75,60.63,0.06
24,1974,19.24,19.84,12.9,6.6,322.75,-0.43,27.49,48.33,12.24,60.14,0.06
25,1975,20.3,19.96,13.78,7.3,318.18,-1.31,23.53,39.63,14.25,56.37,0.1
26,1976,19.47,20.06,13.3,7.17,435.04,-0.35,23.17,45.61,10.29,62.42,0.06
27,1977,20.37,20.11,14.19,8.05,457.16,-0.71,32.98,70.89,11.72,61.91,0.09
28,1978,20.11,20.14,13.86,7.65,441.11,0.7,23.92,37.72,10.84,63.43,0.04
29,1979,20.46,20.16,14.17,7.93,454.68,0.93,27.15,52.66,17.14,63.03,0.07
30,1980,20.5,20.17,14.18,7.9,375.74,-0.15,18.84,35.94,8.16,62.92,0.07
31,1981,20.62,20.21,14.44,8.32,473.08,0.51,17.45,37.72,8.78,63.56,0.04
32,1982,19.58,20.27,13.42,7.3,401.45,-0.23,17.56,36.74,6.69,61.87,0.04
33,1983,21.17,20.36,14.65,8.18,337.87,-0.51,18.91,35.88,8.94,59.41,0.1
34,1984,19.27,20.45,13.08,6.93,413.39,-0.22,22.41,38.74,12.95,62.22,0.09
35,1985,20.23,20.51,13.86,7.53,352.57,0.29,18.93,39.5,8.78,61.45,0.06
36,1986,20.5,20.53,14.13,7.81,287.7,-0.84,18.14,34.17,9.03,60.27,0.04
37,1987,20.3,20.49,14.12,7.99,540.35,0.71,26.35,66.53,18.0,64.25,0.05
38,1988,21.17,20.38,14.73,8.33,371.44,0.65,19.09,43.41,7.62,62.66,0.08
39,1989,20.35,20.25,13.77,7.24,325.94,-0.52,23.97,56.66,11.23,60.23,0.06
40,1990,20.78,20.13,14.44,8.13,429.72,0.16,17.38,39.64,4.71,63.08,0.07
41,1991,20.1,20.04,14.01,7.97,514.76,0.38,21.65,60.89,10.36,64.05,0.04
42,1992,19.81,20.04,13.77,7.79,506.59,0.98,19.52,40.86,7.47,64.45,0.03
43,1993,19.02,20.13,13.09,7.19,666.91,1.17,33.57,64.36,13.47,65.75,0.04
44,1994,20.08,20.29,13.8,7.57,432.54,0.61,21.83,48.99,14.41,63.04,0.06
45,1995,21.62,20.49,14.88,8.18,300.36,-0.46,19.05,33.46,6.19,60.67,0.08
46,1996,20.09,20.71,13.59,7.12,313.75,-0.59,22.92,48.84,10.8,61.23,0.06
47,1997,21.33,20.91,14.79,8.28,472.99,-0.2,20.07,38.54,12.84,63.21,0.11
48,1998,20.58,21.06,14.34,8.13,617.69,1.01,29.58,66.37,16.1,65.07,0.08
49,1999,21.31,21.15,15.0,8.74,473.32,0.05,22.16,35.76,12.47,61.55,0.07
50,2000,21.37,21.21,14.93,8.53,345.16,-1.22,20.2,30.59,8.92,60.64,0.07
51,2001,21.58,21.23,15.07,8.6,328.79,-1.63,19.43,29.72,7.42,59.89,0.08
52,2002,21.38,21.24,14.93,8.53,542.82,0.68,30.25,61.34,20.37,64.72,0.09
53,2003,20.26,21.23,14.29,8.37,564.58,1.03,20.91,54.1,11.44,65.54,0.06
54,2004,21.57,21.21,15.38,9.23,489.98,0.39,25.2,62.31,16.94,62.71,0.08
55,2005,21.26,21.19,14.96,8.7,431.47,0.26,21.6,51.34,8.97,60.86,0.11
56,2006,21.18,21.17,14.91,8.69,410.77,-1.38,20.8,37.35,10.95,60.66,0.08
57,2007,21.39,21.15,14.97,8.6,413.92,-0.9,20.37,61.67,9.57,61.18,0.08
