,Year,Average Maximum Surface Air Temperature (Annual Mean °C),5-year smooth (Gaussian Smooth),Average Mean Surface Air Temperature (Annual Mean °C),Average Minimum Surface Air Temperature (Annual Mean °C),Precipitation (Annual Mean mm),Annual SPEI Drought Index (spei index),Average Largest 1-Day Precipitation (mm),Average Largest 5-Day Cumulative Precipitation (mm),Precipitation amount during wettest days (mm),Relative Humidity (%),Temperature-based Excess Mortality (factor)
0,1950,15.13,15.49,8.59,2.07,341.13,0.010945945945945931,16.67,48.67,6.31,51.95,0.06
1,1951,15.4,15.52,9.22,3.07,526.57,-0.12,16.6,47.59,4.9,57.17,0.03
2,1952,15.73,15.58,9.59,3.48,519.78,0.58,20.06,42.73,9.17,53.92,0.05
3,1953,15.78,15.67,9.74,3.74,701.04,0.01,20.18,45.01,10.47,55.63,0.07
4,1954,14.86,15.75,8.66,2.46,505.19,1.41,19.73,68.41,7.94,56.14,0.01
5,1955,17.2,15.81,10.56,3.95,387.41,-0.27,24.41,62.62,15.01,49.89,0.1
6,1956,16.23,15.85,9.7,3.19,423.05,-0.17,20.52,51.67,9.32,50.87,0.14
7,1957,14.9,15.87,8.62,2.36,412.86,-0.48,15.6,32.95,4.13,55.73,0.02
8,1958,16.21,15.89,10.04,3.91,632.89,0.76,25.44,59.35,12.27,54.98,0.08
9,1959,15.51,15.93,9.44,3.39,523.97,0.73,28.01,61.81,12.63,54.81,0.05
10,1960,15.43,15.99,9.24,3.07,518.63,0.53,19.39,51.51,12.91,53.97,0.06
11,1961,16.85,16.08,10.43,4.03,296.95,-1.08,11.45,26.51,2.87,49.29,0.09
12,1962,16.25,16.18,10.02,3.81,423.36,-1.37,18.45,44.99,6.89,50.64,0.09
13,1963,17.1,16.27,10.75,4.44,567.42,0.29,19.52,47.35,11.27,53.12,0.05
14,1964,15.05,16.31,8.86,2.69,440.86,0.94,19.33,39.33,11.26,53.87,0.03
15,1965,16.55,16.3,10.32,4.13,414.18,-0.3,27.36,52.41,12.35,51.3,0.07
16,1966,16.74,16.22,10.53,4.34,516.69,-0.03,21.97,46.29,7.98,52.91,0.09
17,1967,15.9,16.07,9.95,4.03,465.7,-0.65,19.5,48.41,11.23,52.9,0.07
18,1968,15.95,15.9,9.93,3.94,489.42,-0.08,16.58,44.69,5.87,53.7,0.11
19,1969,14.15,15.73,8.42,2.69,941.92,2.16,23.11,64.96,18.97,63.23,0.03
20,1970,16.62,15.61,10.34,4.09,408.09,0.5,18.69,43.69,8.22,53.34,0.07
21,1971,17.17,15.56,10.66,4.18,249.31,-1.35,15.51,30.34,3.75,49.49,0.11
22,1972,13.94,15.59,8.03,2.15,554.14,-0.37,21.32,49.96,7.43,55.77,0.02
23,1973,16.37,15.67,10.12,3.89,381.1,0.29,16.98,47.39,7.57,52.34,0.11
24,1974,15.17,15.79,9.19,3.24,420.68,-1.14,13.03,27.8,1.95,53.28,0.07
25,1975,16.3,15.91,10.13,3.99,301.99,-1.11,16.64,33.99,3.79,50.53,0.12
26,1976,15.37,16.01,9.61,3.89,482.98,-0.38,20.05,47.15,10.22,56.85,0.09
27,1977,16.42,16.07,10.47,4.54,634.23,-0.46,37.75,98.94,23.71,55.54,0.09
28,1978,16.05,16.11,10.15,4.28,486.96,0.13,14.55,31.92,4.59,54.82,0.12
29,1979,16.36,16.14,10.43,4.52,483.35,0.01,25.65,60.15,16.18,53.74,0.11
30,1980,16.44,16.16,10.49,4.57,480.75,-0.19,18.56,40.38,9.93,55.96,0.07
31,1981,16.49,16.19,10.69,4.91,574.92,0.32,18.2,36.42,8.22,58.34,0.04
32,1982,15.65,16.24,9.81,4.0,397.24,-0.6,16.66,32.77,9.68,52.8,0.08
33,1983,17.14,16.3,10.95,4.8,393.12,-0.56,15.29,34.6,3.63,53.08,0.11
34,1984,15.28,16.36,9.38,3.52,520.88,-0.44,19.95,41.79,10.92,54.44,0.15
35,1985,16.13,16.39,10.11,4.1,439.1,0.17,16.05,35.44,7.13,54.51,0.06
36,1986,16.4,16.4,10.44,4.5,405.86,-1.11,18.09,39.67,7.25,53.7,0.07
37,1987,16.09,16.36,10.38,4.68,670.78,0.85,23.4,59.11,14.32,60.18,0.05
38,1988,17.03,16.27,11.0,5.01,447.51,0.99,15.63,37.25,5.06,55.88,0.11
39,1989,16.12,16.17,10.0,3.92,390.85,-0.6,28.43,60.7,9.73,54.19,0.05
40,1990,16.73,16.07,10.79,4.87,517.32,0.51,21.64,45.18,9.83,57.56,0.12
41,1991,16.19,16.0,10.34,4.5,525.16,0.03,23.41,65.68,6.29,58.21,0.05
42,1992,15.87,15.99,10.19,4.53,465.45,0.97,24.19,55.03,10.55,59.05,0.03
43,1993,14.91,16.04,9.35,3.81,766.23,1.14,22.21,66.07,15.74,61.61,0.03
44,1994,15.96,16.16,10.07,4.21,504.99,1.14,19.22,45.49,14.54,57.48,0.08
45,1995,17.27,16.31,10.98,4.73,268.39,-0.47,15.05,25.07,4.97,53.61,0.07
46,1996,15.77,16.48,9.78,3.81,488.34,0.08,21.92,45.42,13.22,57.44,0.07
47,1997,17.21,16.65,11.08,4.97,400.83,-0.62,16.43,32.64,5.44,55.52,0.14
48,1998,16.41,16.8,10.63,4.88,830.96,0.84,24.85,61.09,12.42,59.81,0.07
49,1999,17.11,16.92,11.24,5.38,583.57,0.92,23.92,40.17,10.38,57.55,0.04
50,2000,17.05,17.01,11.12,5.21,403.86,-0.25,23.81,47.85,8.14,54.34,0.07
51,2001,17.52,17.08,11.4,5.3,413.91,-0.51,17.63,40.73,5.85,54.43,0.07
52,2002,17.18,17.12,11.24,5.33,645.22,0.45,14.49,36.11,4.9,57.16,0.09
53,2003,16.2,17.14,10.64,5.12,692.04,0.86,22.98,61.64,9.7,58.88,0.1
54,2004,17.44,17.13,11.71,6.02,547.84,0.44,27.59,57.98,12.43,57.1,0.09
55,2005,17.13,17.11,11.32,5.53,463.24,0.66,20.37,50.43,11.7,56.53,0.09
56,2006,17.19,17.08,11.29,5.44,473.52,-0.15,20.05,47.32,9.32,57.43,0.09
57,2007,17.28,17.04,11.33,5.39,478.89,-0.43,21.37,62.65,9.67,55.51,0.08
58,2008,16.66,17.01,10.82,5.01,388.73,-1.24,22.17,48.53,12.3,54.81,0.15
59,2009,16.97,16.99,11.21,5.47,519.36,-0.06,15.36,37.45,6.32,56.34,0.05
60,2010,17.66,16.98,11.8,5.97,548.22,0.95,19.8,47.4,9.17,58.92,0.04
61,2011,16.61,17.0,10.85,5.13,506.42,-0.64,22.29,61.49,8.45,56.25,0.11
