,Year,Average Maximum Surface Air Temperature (Annual Mean °C),5-year smooth (Gaussian Smooth),Average Mean Surface Air Temperature (Annual Mean °C),Average Minimum Surface Air Temperature (Annual Mean °C),Precipitation (Annual Mean mm),Annual SPEI Drought Index (spei index),Average Largest 1-Day Precipitation (mm),Average Largest 5-Day Cumulative Precipitation (mm),Precipitation amount during wettest days (mm),Relative Humidity (%),Temperature-based Excess Mortality (factor)
0,1950,18.51,19.0,11.85,5.21,98.85,-0.16337837837837837,10.29,16.38,3.76,45.66,0.03
1,1951,18.97,19.01,12.74,6.54,118.64,-0.1,8.93,17.06,2.17,45.63,0.05
2,1952,19.15,19.05,12.93,6.73,168.84,0.43,13.32,23.22,3.25,45.61,0.11
3,1953,19.31,19.11,13.34,7.41,184.14,0.6,14.66,23.03,5.98,49.96,0.06
4,1954,18.27,19.17,12.13,6.02,147.26,2.01,20.13,35.16,15.9,49.91,0.03
5,1955,20.81,19.22,14.15,7.52,105.77,-0.5,8.33,14.68,0.66,42.65,0.14
6,1956,19.2,19.26,12.97,6.76,137.42,0.48,15.03,25.2,4.73,45.54,0.09
7,1957,18.54,19.3,12.34,6.17,131.55,0.28,11.2,20.06,1.05,48.12,0.04
8,1958,19.8,19.35,13.64,7.52,169.08,0.54,10.66,17.56,0.8,47.92,0.06
9,1959,18.65,19.41,12.66,6.68,141.68,1.08,12.54,22.74,4.51,50.18,0.03
10,1960,19.03,19.51,12.78,6.56,126.32,0.31,8.18,12.68,1.21,48.14,0.07
11,1961,20.64,19.63,14.1,7.59,126.87,-0.42,16.22,27.77,7.71,46.24,0.08
12,1962,19.88,19.77,13.56,7.29,154.6,-0.04,14.03,17.04,4.99,48.68,0.09
13,1963,20.56,19.89,14.24,7.95,146.99,-0.14,13.69,20.95,4.19,48.11,0.06
14,1964,18.7,19.97,12.49,6.32,162.37,1.4,18.02,26.9,9.83,50.35,0.05
15,1965,20.09,19.98,13.77,7.48,109.54,0.24,11.07,18.76,2.75,47.33,0.08
16,1966,20.46,19.9,14.1,7.77,119.83,-0.62,8.64,16.24,0.13,45.3,0.13
17,1967,19.71,19.76,13.55,7.43,172.22,0.13,11.45,19.7,1.01,50.64,0.08
18,1968,19.73,19.59,13.48,7.27,139.39,0.18,11.22,18.82,0.26,48.39,0.09
19,1969,17.84,19.42,11.93,6.05,256.65,1.75,19.36,33.76,6.44,55.27,0.07
20,1970,20.2,19.29,13.77,7.38,132.35,0.68,13.4,21.63,5.05,49.21,0.06
21,1971,20.79,19.24,14.24,7.73,98.89,-0.44,7.16,12.13,0.0,47.06,0.07
22,1972,17.66,19.28,11.53,5.42,152.34,0.38,13.02,23.33,4.02,50.08,0.02
23,1973,19.9,19.36,13.64,7.42,162.58,0.36,11.9,17.77,1.01,49.82,0.11
24,1974,18.99,19.48,12.73,6.48,130.58,0.04,12.09,19.5,1.88,45.58,0.09
25,1975,20.29,19.6,13.86,7.47,100.94,-0.59,10.33,19.8,2.46,45.0,0.14
26,1976,18.88,19.69,12.84,6.82,159.05,-0.18,15.17,24.31,6.84,51.09,0.12
27,1977,20.03,19.74,13.88,7.77,139.25,-0.27,8.57,15.06,0.05,50.56,0.11
28,1978,19.57,19.75,13.49,7.45,224.02,1.19,15.03,25.25,9.65,53.09,0.1
