,Year,Average Maximum Surface Air Temperature (Annual Mean °C),5-year smooth (Gaussian Smooth),Average Mean Surface Air Temperature (Annual Mean °C),Average Minimum Surface Air Temperature (Annual Mean °C),Precipitation (Annual Mean mm),Annual SPEI Drought Index (spei index),Average Largest 1-Day Precipitation (mm),Average Largest 5-Day Cumulative Precipitation (mm),Precipitation amount during wettest days (mm),Relative Humidity (%),Temperature-based Excess Mortality (factor)
0,1950,15.67,16.54,9.52,3.38,73.1,-0.2656756756756757,5.23,7.9,0.63,50.97,0.05
1,1951,16.64,16.56,10.6,4.58,100.84,-0.44,10.14,15.11,0.17,51.24,0.07
2,1952,16.59,16.6,10.63,4.69,126.76,0.47,14.62,25.22,5.25,51.61,0.13
3,1953,16.85,16.64,11.13,5.42,117.89,-0.07,8.85,13.29,0.24,54.16,0.06
4,1954,15.88,16.68,9.9,3.93,90.83,1.15,10.42,16.1,2.18,55.65,0.05
5,1955,18.31,16.71,11.94,5.6,75.19,-0.86,12.77,21.15,5.3,48.68,0.15
6,1956,16.2,16.73,10.33,4.47,92.43,0.12,9.8,14.93,3.03,52.66,0.09
7,1957,17.02,16.76,10.88,4.77,84.63,-0.37,9.26,11.48,3.37,51.38,0.03
8,1958,16.97,16.8,11.26,5.58,134.27,0.35,12.23,22.61,7.38,54.61,0.05
9,1959,15.54,16.87,9.84,4.16,101.02,0.85,8.28,15.11,0.24,56.72,0.05
10,1960,16.42,16.98,10.33,4.26,77.07,0.46,10.61,15.0,3.11,54.83,0.08
11,1961,18.37,17.13,12.12,5.9,74.06,-0.75,8.08,13.75,2.22,54.58,0.09
12,1962,17.85,17.29,11.78,5.75,104.11,-0.4,7.02,10.11,0.0,55.95,0.12
13,1963,17.84,17.45,11.9,6.0,137.37,0.15,9.7,19.21,2.29,57.35,0.04
14,1964,16.33,17.56,10.4,4.5,117.97,1.5,8.55,13.34,0.25,58.28,0.07
15,1965,17.52,17.61,11.48,5.48,104.05,0.34,7.51,12.3,0.71,57.01,0.07
16,1966,18.29,17.57,11.93,5.59,114.86,-0.66,11.92,14.83,5.82,53.16,0.12
17,1967,17.63,17.45,11.49,5.37,127.63,0.15,14.52,21.31,5.57,58.78,0.06
18,1968,17.38,17.31,11.11,4.86,100.05,-0.25,11.12,13.8,1.93,54.74,0.07
19,1969,15.4,17.15,9.64,3.9,171.14,0.87,16.96,28.45,9.51,58.75,0.07
20,1970,17.57,17.03,11.34,5.13,77.16,0.24,8.62,13.02,0.66,55.2,0.05
21,1971,18.36,16.97,12.01,5.69,76.12,-0.4,7.78,10.62,0.63,55.77,0.06
22,1972,16.09,16.98,9.77,3.47,72.54,-0.08,8.1,13.07,1.54,54.92,0.05
23,1973,17.12,17.05,11.26,5.43,156.85,0.56,12.32,22.67,4.06,59.43,0.11
24,1974,17.03,17.14,10.76,4.51,78.96,0.05,7.03,11.48,0.0,54.13,0.07
25,1975,18.45,17.25,12.12,5.81,59.88,-0.97,7.89,12.22,0.0,52.42,0.16
26,1976,16.09,17.34,10.26,4.45,104.95,0.08,11.98,20.91,3.25,58.9,0.11
27,1977,17.52,17.42,11.54,5.58,90.78,-0.14,7.69,9.25,1.55,57.54,0.1
