,Year,Average Maximum Surface Air Temperature (Annual Mean °C),5-year smooth (Gaussian Smooth),Average Mean Surface Air Temperature (Annual Mean °C),Average Minimum Surface Air Temperature (Annual Mean °C),Precipitation (Annual Mean mm),Annual SPEI Drought Index (spei index),Average Largest 1-Day Precipitation (mm),Average Largest 5-Day Cumulative Precipitation (mm),Precipitation amount during wettest days (mm),Relative Humidity (%),Temperature-based Excess Mortality (factor)
0,1950,19.71,20.08,12.6,5.52,239.31,-0.0639189189189189,16.36,47.47,3.93,49.82,0.08
1,1951,19.97,20.08,13.28,6.63,299.11,-0.03,25.74,39.84,12.66,54.44,0.06
2,1952,20.26,20.12,13.59,6.96,391.33,0.85,21.22,51.93,6.9,54.16,0.06
3,1953,20.18,20.18,13.74,7.34,433.6,1.4,35.51,73.4,21.3,56.32,0.06
4,1954,19.42,20.22,12.84,6.3,290.96,2.36,30.24,80.89,13.46,54.54,0.02
5,1955,21.85,20.24,14.7,7.59,269.0,-0.02,27.41,51.21,13.63,48.95,0.14
6,1956,20.42,20.24,13.64,6.91,299.03,0.29,23.81,48.9,18.72,49.52,0.12
7,1957,19.08,20.22,12.57,6.1,318.16,-0.16,18.72,39.34,6.05,54.67,0.04
8,1958,20.74,20.21,14.11,7.52,359.69,0.67,25.77,45.91,14.28,51.1,0.09
9,1959,19.73,20.23,13.3,6.91,292.54,0.49,20.18,44.19,12.03,57.04,0.04
10,1960,19.89,20.29,13.25,6.64,348.75,0.26,21.61,40.53,8.13,57.02,0.06
11,1961,21.24,20.39,14.3,7.4,275.42,-0.48,22.59,46.97,13.49,52.04,0.07
12,1962,20.42,20.52,13.75,7.11,306.67,-0.47,15.9,32.98,4.54,54.46,0.05
13,1963,21.39,20.64,14.62,7.9,378.16,-0.16,18.67,35.9,7.9,54.51,0.04
14,1964,19.4,20.71,12.73,6.1,357.68,1.39,27.62,59.44,17.79,56.28,0.04
15,1965,20.89,20.72,14.22,7.59,249.67,-0.08,26.05,38.14,10.51,53.2,0.05
16,1966,21.35,20.64,14.6,7.89,243.38,-0.96,21.33,37.66,6.74,50.42,0.09
17,1967,20.34,20.49,13.84,7.38,344.01,-0.35,23.36,41.45,5.83,55.45,0.06
18,1968,20.37,20.3,13.94,7.55,326.66,0.19,23.25,40.0,6.45,56.44,0.06
19,1969,18.48,20.12,12.35,6.26,524.04,2.46,31.13,77.78,25.83,61.99,0.03
20,1970,21.14,19.99,14.34,7.58,264.27,0.3,17.39,34.2,3.37,54.82,0.07
21,1971,21.55,19.94,14.64,7.77,174.8,-1.41,18.98,33.13,7.08,51.47,0.06
22,1972,18.24,19.98,11.92,5.64,383.31,0.26,20.68,46.33,9.14,58.33,0.01
23,1973,20.74,20.08,14.03,7.37,292.16,0.74,23.94,50.2,14.66,56.02,0.08
24,1974,19.54,20.21,13.08,6.66,272.9,-0.22,30.4,47.46,16.54,55.62,0.05
25,1975,20.64,20.34,13.94,7.27,236.99,-0.58,23.57,43.85,12.02,53.47,0.1
26,1976,19.84,20.44,13.49,7.17,338.86,0.31,24.0,39.51,10.78,57.18,0.07
27,1977,20.79,20.49,14.41,8.05,284.78,-0.55,20.62,43.34,4.53,57.59,0.1
28,1978,20.51,20.51,14.09,7.7,338.47,0.47,18.59,34.55,8.77,57.29,0.06
29,1979,20.89,20.51,14.41,7.97,304.75,0.66,21.32,41.34,8.65,55.91,0.08
30,1980,20.86,20.52,14.39,7.97,293.27,-0.02,20.05,30.59,7.6,56.93,0.07
31,1981,21.02,20.55,14.71,8.45,374.62,0.7,21.56,51.22,9.88,57.81,0.03
32,1982,19.76,20.61,13.53,7.34,326.77,0.26,18.73,36.36,2.71,58.2,0.05
33,1983,21.48,20.71,14.85,8.27,267.12,-0.12,19.99,38.33,4.04,55.33,0.11
