,Year,Average Maximum Surface Air Temperature (Annual Mean °C),5-year smooth (Gaussian Smooth),Average Mean Surface Air Temperature (Annual Mean °C),Average Minimum Surface Air Temperature (Annual Mean °C),Precipitation (Annual Mean mm),Annual SPEI Drought Index (spei index),Average Largest 1-Day Precipitation (mm),Average Largest 5-Day Cumulative Precipitation (mm),Precipitation amount during wettest days (mm),Relative Humidity (%),Temperature-based Excess Mortality (factor)
0,1950,19.51,19.89,12.44,5.4,198.36,-0.08527027027027026,20.59,52.08,5.85,50.69,0.06
1,1951,19.81,19.9,13.16,6.55,291.45,-0.28,28.35,48.02,15.79,56.89,0.05
2,1952,20.11,19.94,13.48,6.88,370.97,0.97,20.04,61.65,7.87,55.93,0.07
3,1953,20.04,20.0,13.65,7.3,421.98,1.38,42.79,84.75,26.43,58.44,0.05
4,1954,19.21,20.06,12.65,6.12,284.56,2.02,27.39,72.49,17.36,55.91,0.03
5,1955,21.7,20.09,14.54,7.42,263.22,-0.23,29.71,51.52,15.59,50.81,0.13
6,1956,20.3,20.1,13.51,6.76,297.11,0.27,26.25,60.97,23.81,51.33,0.1
7,1957,18.96,20.11,12.46,6.0,303.09,-0.3,20.3,37.64,9.63,56.1,0.04
8,1958,20.6,20.12,14.01,7.45,347.79,0.5,23.62,43.14,10.9,53.3,0.1
9,1959,19.66,20.15,13.23,6.84,278.29,0.19,24.12,43.94,12.98,58.2,0.02
10,1960,19.75,20.21,13.15,6.58,320.21,0.15,20.06,39.39,8.67,59.2,0.04
11,1961,21.18,20.31,14.26,7.37,266.83,-0.33,27.12,52.64,23.04,52.8,0.06
12,1962,20.4,20.43,13.73,7.11,284.77,-0.58,21.6,37.97,9.65,55.78,0.06
13,1963,21.31,20.54,14.54,7.82,345.11,-0.15,23.63,47.48,9.69,57.12,0.04
14,1964,19.32,20.6,12.69,6.09,347.31,1.3,30.38,66.2,18.91,57.77,0.03
15,1965,20.75,20.6,14.1,7.5,269.0,0.14,34.4,41.31,21.22,56.27,0.05
16,1966,21.15,20.52,14.45,7.81,224.35,-0.97,21.59,37.11,8.19,53.45,0.09
17,1967,20.23,20.36,13.77,7.35,324.5,-0.39,28.14,38.29,10.43,57.47,0.06
18,1968,20.25,20.18,13.84,7.47,319.27,0.25,18.93,46.52,5.66,58.44,0.07
19,1969,18.39,20.0,12.28,6.21,533.68,2.42,39.4,89.13,28.98,63.13,0.03
20,1970,20.99,19.87,14.21,7.47,264.57,0.53,23.17,42.03,9.87,56.82,0.05
21,1971,21.42,19.81,14.52,7.65,159.42,-1.4,15.81,31.66,4.99,52.59,0.06
22,1972,18.1,19.85,11.81,5.55,344.32,-0.05,18.84,45.07,6.04,59.03,0.01
23,1973,20.58,19.94,13.94,7.32,267.4,0.58,24.67,59.85,19.46,56.85,0.07
24,1974,19.43,20.06,12.99,6.59,279.45,-0.26,28.42,50.64,17.33,56.95,0.05
25,1975,20.54,20.18,13.89,7.26,223.07,-0.77,25.6,46.35,21.59,54.41,0.1
26,1976,19.68,20.28,13.38,7.11,322.63,-0.07,21.12,43.25,8.71,58.83,0.07
27,1977,20.65,20.34,14.31,8.0,290.05,-0.69,29.18,62.69,8.08,58.97,0.09
28,1978,20.32,20.36,13.94,7.61,301.92,0.74,20.08,39.6,10.33,59.85,0.05
29,1979,20.69,20.37,14.26,7.86,304.99,0.8,26.73,44.9,12.56,58.35,0.08
30,1980,20.69,20.38,14.25,7.86,292.61,-0.01,25.68,35.53,13.65,58.95,0.07
31,1981,20.83,20.41,14.56,8.32,354.03,0.69,21.1,50.13,11.02,60.25,0.03
32,1982,19.72,20.48,13.49,7.3,293.55,0.02,18.6,37.48,5.26,59.16,0.05
33,1983,21.38,20.57,14.78,8.21,238.88,-0.14,21.26,43.8,6.91,57.19,0.1
34,1984,19.47,20.66,13.18,6.92,283.55,-0.36,20.5,39.93,10.91,58.88,0.11
35,1985,20.49,20.73,13.98,7.52,249.5,0.32,23.95,45.6,11.6,58.02,0.07
36,1986,20.69,20.75,14.23,7.8,213.05,-0.9,23.72,40.53,18.86,56.07,0.05
37,1987,20.6,20.7,14.23,7.91,354.97,0.69,24.99,58.0,13.27,60.54,0.05
38,1988,21.34,20.59,14.82,8.35,282.88,0.52,25.78,47.6,13.04,59.0,0.07
39,1989,20.53,20.45,13.89,7.28,237.35,-0.31,23.64,55.22,10.02,57.73,0.04
40,1990,20.95,20.32,14.52,8.13,292.91,0.07,16.93,42.6,3.48,59.23,0.07
41,1991,20.29,20.23,14.14,8.03,386.18,0.39,22.55,59.35,13.77,61.45,0.03
42,1992,19.95,20.23,13.85,7.8,380.82,1.44,25.32,53.4,9.89,61.53,0.03
43,1993,19.29,20.33,13.27,7.28,437.12,1.33,28.17,80.4,16.51,62.13,0.04
44,1994,20.33,20.51,13.94,7.6,309.01,0.33,22.09,45.28,8.39,59.6,0.07
45,1995,21.87,20.73,15.06,8.28,215.96,-0.55,19.57,40.41,5.39,56.74,0.09
46,1996,20.37,20.96,13.76,7.18,227.16,-0.94,23.24,56.92,8.44,56.49,0.07
47,1997,21.47,21.17,14.91,8.38,373.87,0.13,24.68,57.73,15.85,60.69,0.1
48,1998,20.84,21.31,14.47,8.15,432.43,1.27,27.19,71.99,19.3,61.68,0.06
49,1999,21.6,21.4,15.16,8.76,318.46,-0.09,22.7,34.58,9.33,58.88,0.06
50,2000,21.65,21.43,15.09,8.56,257.12,-1.81,14.7,26.26,1.53,55.58,0.1
51,2001,21.72,21.44,15.15,8.61,230.63,-2.17,17.69,33.81,4.81,56.06,0.08
52,2002,21.59,21.42,15.03,8.52,384.6,0.35,31.56,54.21,21.82,61.35,0.09
53,2003,20.4,21.4,14.36,8.38,387.37,0.84,20.91,51.89,14.36,62.13,0.07
54,2004,21.75,21.38,15.45,9.21,346.37,0.42,24.97,60.41,19.78,59.73,0.07
55,2005,21.44,21.37,15.04,8.67,318.85,0.41,19.24,44.5,7.45,57.91,0.08
56,2006,21.37,21.35,14.98,8.64,283.53,-1.25,23.91,37.75,9.91,57.29,0.08
57,2007,21.56,21.34,15.03,8.54,294.53,-0.84,22.71,56.75,13.7,57.92,0.06
58,2008,20.98,21.33,14.46,7.98,252.67,-1.14,19.53,35.3,7.86,58.73,0.11
59,2009,21.2,21.32,14.95,8.75,406.05,0.32,25.21,52.71,15.04,60.55,0.04
60,2010,22.16,21.31,15.59,9.04,266.59,-0.06,19.27,38.34,6.1,56.81,0.08
61,2011,20.86,21.31,14.58,8.34,289.96,-1.57,19.39,50.56,8.87,56.75,0.12
62,2012,20.75,21.32,14.29,7.87,336.53,-0.24,19.32,39.1,5.67,57.18,0.08
63,2013,21.9,21.35,15.45,9.05,327.95,-0.68,28.71,45.76,14.85,54.84,0.1
64,2014,20.85,21.4,14.21,7.61,317.94,-0.86,17.53,55.05,5.27,55.69,0.1
65,2015,21.68,21.47,15.38,9.12,340.0,-0.15,19.63,51.17,8.37,56.75,0.14
66,2016,22.17,21.56,15.79,9.46,337.15,-0.87,17.37,38.79,3.72,55.95,0.1
67,2017,21.51,21.65,15.02,8.57,278.11,-0.21,33.22,73.67,16.77,53.78,0.11
68,2018,21.6,21.75,15.17,8.79,248.09,-1.81,29.06,38.39,10.21,53.28,0.14
69,2019,22.04,21.85,15.7,9.42,385.18,0.37,30.48,57.03,12.3,57.18,0.14
70,2020,20.93,21.94,14.64,8.38,322.76,0.23,26.01,59.93,10.32,57.44,0.06
71,2021,22.59,22.03,15.83,9.1,203.54,-1.65,25.03,51.21,14.22,50.39,0.17
72,2022,22.03,22.12,16.04,10.1,376.0,-1.28,22.31,52.0,9.04,56.54,0.14
73,2023,23.05,22.2,16.6,10.19,237.25,-1.72,19.07,45.58,11.3,50.41,0.25
74,2024,21.69,22.29,15.69,9.73,357.93,-0.61,36.1,48.57,22.15,56.15,0.15
