,Year,Average Maximum Surface Air Temperature (Annual Mean °C),5-year smooth (Gaussian Smooth),Average Mean Surface Air Temperature (Annual Mean °C),Average Minimum Surface Air Temperature (Annual Mean °C),Precipitation (Annual Mean mm),Annual SPEI Drought Index (spei index),Average Largest 1-Day Precipitation (mm),Average Largest 5-Day Cumulative Precipitation (mm),Precipitation amount during wettest days (mm),Relative Humidity (%),Temperature-based Excess Mortality (factor)
0,1950,21.3,21.66,14.33,7.39,264.96,-0.062027027027027025,16.94,39.65,3.06,51.86,0.05
1,1951,21.51,21.66,15.0,8.53,441.78,0.05,25.79,44.57,15.89,58.79,0.04
2,1952,21.88,21.71,15.36,8.88,500.89,0.8,21.53,38.11,9.31,57.58,0.05
3,1953,21.8,21.76,15.53,9.31,665.5,0.9,33.7,54.41,15.64,58.07,0.04
4,1954,20.95,21.82,14.45,7.98,396.37,1.76,24.22,54.46,16.47,58.62,0.02
5,1955,23.42,21.86,16.34,9.31,444.56,0.1,27.81,44.79,23.77,50.6,0.11
6,1956,22.2,21.88,15.42,8.66,394.77,0.29,24.88,53.74,12.67,53.48,0.07
7,1957,20.81,21.89,14.35,7.95,392.09,-0.3,23.13,42.18,9.56,56.84,0.05
8,1958,22.24,21.9,15.81,9.45,551.79,0.76,22.34,52.83,13.41,53.3,0.1
9,1959,21.53,21.94,15.16,8.84,460.33,0.83,24.73,56.77,13.8,58.83,0.01
10,1960,21.4,22.0,14.97,8.59,538.6,0.82,26.52,37.92,9.86,59.63,0.03
11,1961,22.96,22.1,16.14,9.37,365.94,-0.57,22.12,37.22,14.52,49.95,0.1
12,1962,22.29,22.21,15.69,9.13,420.96,-0.78,19.73,41.25,7.74,53.64,0.1
13,1963,23.11,22.31,16.44,9.82,466.91,0.16,17.87,39.17,5.45,54.08,0.07
14,1964,21.13,22.37,14.58,8.06,453.87,1.07,26.14,46.52,14.05,56.83,0.02
15,1965,22.55,22.36,16.01,9.5,409.78,-0.13,42.73,54.95,16.95,54.31,0.06
16,1966,22.82,22.26,16.26,9.75,392.91,-0.63,25.42,41.41,15.93,53.68,0.09
17,1967,21.95,22.1,15.64,9.37,462.96,-0.45,28.22,59.0,17.16,55.27,0.08
18,1968,21.92,21.92,15.67,9.46,499.36,0.3,23.84,43.15,15.88,56.03,0.1
19,1969,20.13,21.74,14.19,8.28,875.25,2.15,29.0,60.86,24.53,65.26,0.03
20,1970,22.68,21.6,16.05,9.46,386.22,0.4,22.98,33.21,9.0,55.37,0.07
21,1971,23.21,21.55,16.39,9.63,321.24,-1.04,25.53,40.35,14.68,52.48,0.06
22,1972,19.87,21.58,13.71,7.6,506.05,0.19,17.6,40.79,3.94,59.68,0.02
23,1973,22.35,21.67,15.82,9.33,385.86,0.48,21.55,38.29,15.61,56.21,0.07
24,1974,21.19,21.8,14.9,8.66,314.93,-0.54,19.44,37.28,6.98,54.48,0.11
25,1975,22.29,21.92,15.8,9.36,340.6,-1.81,18.91,37.04,8.11,49.07,0.14
26,1976,21.43,22.03,15.3,9.21,468.86,-0.3,22.31,40.09,20.39,58.13,0.07
27,1977,22.38,22.09,16.21,10.07,525.11,-0.65,44.15,88.12,19.03,56.48,0.12
28,1978,22.06,22.12,15.86,9.69,535.01,0.79,24.37,45.62,14.9,59.92,0.04
29,1979,22.37,22.13,16.13,9.95,505.06,1.3,28.0,66.89,26.12,60.64,0.05
30,1980,22.46,22.14,16.19,9.97,395.8,-0.19,15.6,27.98,1.8,57.63,0.09
31,1981,22.5,22.17,16.39,10.33,480.07,0.27,20.22,37.65,6.31,57.09,0.07
32,1982,21.63,22.22,15.49,9.39,433.07,-0.4,19.04,32.55,11.46,57.43,0.05
33,1983,23.11,22.3,16.65,10.24,366.14,-0.65,19.65,27.34,6.41,51.92,0.14
34,1984,21.23,22.37,15.07,8.95,458.17,-0.19,23.31,43.54,10.81,58.62,0.08
35,1985,22.14,22.43,15.83,9.56,397.08,0.34,28.91,42.97,10.75,56.25,0.08
36,1986,22.45,22.44,16.13,9.86,313.61,-1.06,20.26,28.76,6.83,53.95,0.06
37,1987,22.15,22.4,16.07,10.03,590.32,0.79,23.95,60.45,23.75,60.41,0.04
38,1988,23.09,22.3,16.7,10.36,391.46,0.52,18.41,37.71,7.07,56.64,0.13
39,1989,22.22,22.18,15.72,9.26,353.44,-0.66,20.97,53.27,9.61,55.53,0.08
40,1990,22.71,22.06,16.43,10.2,461.71,0.13,18.06,30.17,5.44,59.67,0.07
41,1991,22.07,21.98,16.01,10.0,500.82,0.25,18.77,58.99,6.61,58.36,0.06
42,1992,21.79,21.98,15.81,9.89,501.68,0.76,26.69,39.93,16.14,58.49,0.03
43,1993,20.93,22.06,15.04,9.19,713.2,1.13,21.88,51.06,12.09,62.14,0.06
44,1994,22.03,22.21,15.78,9.55,491.87,0.99,23.7,32.54,13.47,58.41,0.06
45,1995,23.49,22.4,16.79,10.14,306.58,-0.44,18.18,31.66,10.33,54.22,0.1
46,1996,21.95,22.61,15.53,9.15,332.68,-0.38,17.55,38.92,2.92,56.08,0.08
47,1997,23.25,22.8,16.79,10.37,471.94,-0.32,21.16,45.1,11.75,57.73,0.14
48,1998,22.56,22.96,16.38,10.25,655.1,1.0,33.54,66.0,18.5,60.34,0.12
49,1999,23.21,23.06,16.97,10.79,534.66,0.4,23.52,35.08,16.8,55.29,0.1
50,2000,23.22,23.13,16.87,10.58,355.28,-1.17,15.76,27.69,0.05,55.08,0.08
51,2001,23.53,23.17,17.07,10.66,355.44,-1.09,23.32,26.98,8.58,54.07,0.09
52,2002,23.33,23.18,16.94,10.6,593.89,0.91,38.63,51.22,20.3,62.32,0.07
53,2003,22.21,23.18,16.29,10.42,626.45,1.45,31.49,76.21,18.21,62.09,0.04
54,2004,23.53,23.17,17.38,11.28,563.03,0.6,27.11,58.53,14.31,57.46,0.1
55,2005,23.21,23.15,16.96,10.75,431.05,0.06,29.75,43.95,17.17,55.75,0.14
56,2006,23.17,23.13,16.93,10.71,455.04,-1.39,18.55,42.65,8.18,55.13,0.1
57,2007,23.36,23.12,16.99,10.67,446.48,-0.69,24.97,55.46,10.4,58.46,0.08
58,2008,22.72,23.11,16.42,10.16,405.82,-1.3,21.18,34.01,10.01,57.91,0.11
59,2009,23.09,23.12,16.88,10.73,543.61,0.21,24.22,37.94,12.89,58.11,0.07
60,2010,23.91,23.13,17.51,11.16,437.3,0.53,20.35,37.2,11.42,57.74,0.1
61,2011,22.71,23.17,16.51,10.35,491.1,-1.57,19.79,54.23,5.93,56.17,0.13
62,2012,22.54,23.21,16.18,9.84,458.9,-0.11,17.84,44.05,6.66,55.69,0.08
63,2013,23.94,23.28,17.41,10.93,486.85,-0.8,22.22,40.49,12.08,53.39,0.15
64,2014,22.85,23.36,16.1,9.4,477.74,-0.47,19.03,40.65,4.64,54.97,0.16
65,2015,23.61,23.45,17.35,11.13,531.18,-0.56,18.49,47.3,3.64,54.85,0.18
66,2016,24.21,23.56,17.71,11.27,493.66,-0.72,15.09,36.05,1.35,54.68,0.16
67,2017,23.41,23.66,16.93,10.49,386.56,-0.1,25.21,54.2,9.19,53.73,0.15
68,2018,23.59,23.76,16.98,10.41,411.04,-1.17,34.72,41.36,13.14,53.54,0.16
69,2019,24.17,23.86,17.65,11.16,515.46,-0.16,18.25,44.64,2.82,53.49,0.21
70,2020,23.09,23.94,16.59,10.14,433.47,-0.51,24.92,48.7,14.87,54.05,0.13
71,2021,24.51,24.01,17.69,10.92,326.94,-1.62,29.31,62.99,13.75,47.73,0.28
72,2022,23.78,24.08,17.94,12.15,605.3,-1.21,24.11,59.29,14.0,55.88,0.17
73,2023,24.89,24.14,18.5,12.15,332.55,-0.9,19.44,50.45,9.05,51.98,0.18
74,2024,23.78,24.2,17.64,11.53,539.12,-1.05,25.66,44.95,12.77,54.43,0.19
