,Year,Average Maximum Surface Air Temperature (Annual Mean °C),5-year smooth (Gaussian Smooth),Average Mean Surface Air Temperature (Annual Mean °C),Average Minimum Surface Air Temperature (Annual Mean °C),Precipitation (Annual Mean mm),Annual SPEI Drought Index (spei index),Average Largest 1-Day Precipitation (mm),Average Largest 5-Day Cumulative Precipitation (mm),Precipitation amount during wettest days (mm),Relative Humidity (%),Temperature-based Excess Mortality (factor)
0,1950,19.3,19.7,12.09,4.92,313.94,-0.07202702702702701,21.31,63.85,10.22,48.25,0.07
1,1951,19.61,19.7,12.78,5.98,400.73,0.52,22.63,44.69,9.57,53.43,0.04
2,1952,19.89,19.73,13.09,6.32,471.72,0.99,20.13,54.75,9.64,51.36,0.05
3,1953,19.73,19.78,13.23,6.75,565.54,0.98,21.49,51.42,8.73,53.47,0.06
4,1954,19.1,19.82,12.35,5.63,363.3,2.47,26.21,72.12,12.42,52.1,0.02
5,1955,21.46,19.85,14.15,6.88,344.64,0.04,22.84,53.49,9.7,47.18,0.12
6,1956,20.1,19.86,13.16,6.25,379.11,0.14,28.92,55.03,15.32,46.28,0.12
7,1957,18.57,19.85,12.01,5.49,457.24,0.06,18.62,51.54,6.73,54.0,0.03
8,1958,20.34,19.86,13.61,6.92,429.22,0.45,26.64,41.74,9.37,49.39,0.08
9,1959,19.44,19.88,12.84,6.26,421.87,0.15,18.11,41.06,6.16,53.85,0.05
10,1960,19.49,19.93,12.72,5.98,539.87,0.63,23.19,51.51,11.06,54.56,0.05
11,1961,20.85,20.02,13.75,6.69,402.3,-0.34,22.18,44.96,12.9,50.72,0.06
12,1962,20.07,20.12,13.23,6.43,424.46,-0.42,17.42,40.66,7.74,52.58,0.04
13,1963,21.05,20.21,14.1,7.2,525.92,0.14,21.6,45.95,8.07,52.3,0.03
14,1964,18.95,20.27,12.16,5.39,487.99,0.95,22.37,46.92,9.53,53.2,0.04
15,1965,20.41,20.26,13.64,6.9,351.12,0.35,24.01,43.92,10.25,53.1,0.03
16,1966,20.9,20.18,14.03,7.2,338.72,-0.69,18.13,36.84,6.14,49.67,0.07
17,1967,19.81,20.04,13.23,6.67,415.82,-0.33,19.9,51.18,10.16,54.01,0.05
18,1968,19.91,19.87,13.41,6.94,439.28,0.23,21.92,56.12,7.94,55.31,0.05
19,1969,18.06,19.7,11.9,5.77,641.3,2.43,29.04,73.56,17.07,59.12,0.03
20,1970,20.75,19.58,13.83,6.95,318.37,-0.32,21.4,35.0,7.58,49.91,0.08
21,1971,21.14,19.52,14.11,7.13,209.75,-1.87,18.78,36.47,7.82,47.92,0.06
22,1972,17.83,19.55,11.41,5.02,485.91,0.25,20.07,44.83,7.14,56.06,0.01
23,1973,20.3,19.63,13.47,6.69,375.58,0.9,29.04,67.78,16.98,53.55,0.09
24,1974,19.14,19.74,12.6,6.09,296.55,-0.58,25.87,44.73,8.2,52.08,0.05
25,1975,20.08,19.85,13.32,6.6,310.23,-0.25,18.28,40.26,6.67,52.0,0.09
26,1976,19.33,19.94,12.96,6.61,424.83,0.52,29.72,49.39,14.17,53.89,0.07
27,1977,20.28,20.0,13.88,7.51,351.25,-0.56,18.14,39.36,6.76,53.09,0.12
28,1978,20.07,20.02,13.59,7.16,419.21,0.25,24.09,43.13,12.3,53.23,0.07
29,1979,20.42,20.04,13.88,7.38,392.55,0.69,24.9,42.49,11.25,53.72,0.08
30,1980,20.4,20.06,13.88,7.4,362.15,-0.11,17.9,39.48,5.66,53.03,0.07
31,1981,20.55,20.1,14.16,7.81,435.19,0.37,20.15,48.78,8.37,55.18,0.04
32,1982,19.31,20.17,12.99,6.7,405.15,0.01,23.84,43.72,10.46,54.86,0.06
33,1983,21.02,20.26,14.3,7.63,329.39,0.09,18.21,39.08,5.97,53.61,0.12
34,1984,19.2,20.35,12.82,6.47,366.06,-0.22,21.19,46.59,7.45,54.67,0.12
35,1985,20.27,20.42,13.67,7.12,329.65,0.04,19.62,40.07,5.51,53.4,0.07
36,1986,20.36,20.45,13.79,7.26,331.65,-0.71,17.75,44.37,5.77,52.71,0.05
37,1987,20.33,20.41,13.9,7.5,433.57,0.7,21.3,54.13,8.91,54.98,0.03
38,1988,21.05,20.31,14.41,7.81,415.01,0.83,28.23,53.95,17.35,54.15,0.1
39,1989,20.27,20.19,13.49,6.76,355.36,-0.14,18.33,44.49,5.74,52.84,0.04
40,1990,20.66,20.07,14.07,7.53,378.84,0.33,16.45,46.97,3.44,55.76,0.08
41,1991,20.0,20.0,13.64,7.33,493.25,0.52,27.83,84.17,12.65,58.07,0.03
42,1992,19.7,20.0,13.39,7.13,483.22,1.79,21.8,53.84,7.74,56.13,0.03
43,1993,19.12,20.1,12.91,6.74,537.24,0.61,21.37,46.76,10.11,55.62,0.05
44,1994,20.17,20.27,13.58,7.03,394.74,0.09,24.9,51.23,7.33,54.27,0.11
45,1995,21.64,20.49,14.58,7.56,297.55,-0.25,21.19,53.46,5.92,51.37,0.09
46,1996,20.1,20.71,13.37,6.66,342.91,-0.29,18.57,53.19,5.82,53.41,0.05
47,1997,21.16,20.9,14.41,7.69,495.61,-0.34,24.04,46.9,9.94,55.02,0.11
48,1998,20.54,21.04,14.08,7.66,585.61,1.48,28.31,68.11,21.34,56.62,0.06
49,1999,21.33,21.12,14.73,8.18,419.12,0.3,32.04,42.05,9.27,55.77,0.05
50,2000,21.34,21.16,14.66,8.02,348.79,-1.53,16.63,32.5,5.1,49.64,0.06
51,2001,21.51,21.16,14.76,8.06,305.49,-2.11,17.05,26.11,3.78,50.03,0.09
52,2002,21.32,21.15,14.59,7.91,514.51,-0.51,26.5,49.99,14.54,54.26,0.09
53,2003,20.17,21.14,13.94,7.75,487.44,0.49,27.67,51.96,17.63,54.29,0.08
54,2004,21.44,21.12,14.96,8.53,452.92,-0.23,20.34,48.18,7.33,52.75,0.06
55,2005,21.16,21.11,14.56,8.0,424.75,0.1,18.81,51.44,7.29,51.56,0.07
56,2006,21.07,21.1,14.53,8.04,408.06,-0.85,22.17,60.36,6.41,52.42,0.11
57,2007,21.33,21.09,14.46,7.63,420.85,-0.77,24.6,62.06,9.61,53.62,0.07
58,2008,20.91,21.08,14.03,7.18,350.96,-1.37,16.91,38.33,4.82,52.6,0.11
59,2009,21.0,21.06,14.34,7.73,601.65,-0.02,27.72,61.76,14.89,54.28,0.06
60,2010,21.67,21.06,14.94,8.25,389.65,0.28,19.78,50.48,6.0,51.6,0.08
61,2011,20.72,21.06,14.09,7.5,395.95,-1.57,22.07,52.48,6.88,50.8,0.16
62,2012,20.5,21.08,13.77,7.07,520.02,0.54,22.75,43.36,7.55,53.51,0.05
63,2013,21.46,21.12,14.83,8.23,458.71,-0.82,16.48,35.42,4.77,51.18,0.13
64,2014,20.71,21.19,13.72,6.76,463.08,-0.63,20.53,47.3,6.91,51.89,0.1
65,2015,21.45,21.28,14.76,8.1,483.1,-0.21,19.2,41.6,7.9,52.91,0.13
66,2016,22.11,21.39,15.23,8.4,458.72,-0.67,17.89,50.3,7.77,49.78,0.11
67,2017,21.56,21.5,14.55,7.56,368.26,-0.48,23.96,60.91,8.79,47.65,0.13
