,Category,Average Maximum Surface Air Temperature (Annual Mean °C),5-year smooth (Gaussian Smooth),Average Mean Surface Air Temperature (Annual Mean °C),Average Minimum Surface Air Temperature (Annual Mean °C),Precipitation (Annual Mean mm),Annual SPEI Drought Index (spei index),Average Largest 1-Day Precipitation (mm),Average Largest 5-Day Cumulative Precipitation (mm),Precipitation amount during wettest days (mm),Relative Humidity (%),Temperature-based Excess Mortality (factor)
0,1950,20.44,20.77,13.5,6.57,332.2,-0.05635135135135137,18.03,56.57,5.79,51.42,0.09
1,1951,20.6,20.78,14.12,7.67,494.9,-0.82,27.25,60.6,20.58,60.51,0.06
2,1952,21.01,20.83,14.5,8.06,579.4,0.63,31.75,60.78,23.52,58.29,0.09
3,1953,20.92,20.9,14.6,8.3,758.4,0.35,27.21,64.16,20.94,60.14,0.09
4,1954,20.1,20.96,13.61,7.16,468.3,1.25,24.75,81.79,22.22,59.24,0.03
5,1955,22.5,21.0,15.5,8.55,464.5,-0.28,32.09,67.81,36.55,53.19,0.15
6,1956,21.42,21.01,14.62,7.87,421.5,0.12,51.31,59.11,20.37,54.74,0.13
7,1957,19.97,21.02,13.47,7.01,414.0,-0.71,27.17,41.96,9.41,57.58,0.06
8,1958,21.31,21.03,14.89,8.52,671.2,0.73,24.09,54.88,10.64,56.83,0.11
9,1959,20.64,21.05,14.29,7.98,578.4,0.35,31.24,81.93,18.72,58.26,0.03
10,1960,20.5,21.11,14.04,7.63,593.0,0.55,28.77,52.79,21.35,59.58,0.06
11,1961,22.03,21.21,15.23,8.47,375.5,-1.11,22.96,51.84,24.56,53.66,0.09
12,1962,21.44,21.32,14.83,8.25,472.8,-1.09,24.31,48.33,15.53,57.02,0.12
13,1963,22.27,21.42,15.6,8.97,556.5,0.35,26.52,86.95,28.12,60.37,0.04
14,1964,20.22,21.48,13.68,7.18,465.8,0.97,37.13,59.75,38.17,56.04,0.05
15,1965,21.66,21.47,15.18,8.73,451.6,-0.48,52.54,73.43,17.73,56.23,0.08
16,1966,21.93,21.38,15.44,8.98,452.4,-0.89,30.82,50.65,23.72,56.91,0.13
17,1967,21.06,21.23,14.8,8.56,532.4,-0.33,32.83,69.74,41.62,60.92,0.05
18,1968,21.04,21.04,14.78,8.56,591.7,0.18,27.61,57.5,23.52,58.92,0.1
