,Year,Average Maximum Surface Air Temperature (Annual Mean °C),5-year smooth (Gaussian Smooth),Average Mean Surface Air Temperature (Annual Mean °C),Average Minimum Surface Air Temperature (Annual Mean °C),Precipitation (Annual Mean mm),Annual SPEI Drought Index (spei index),Average Largest 1-Day Precipitation (mm),Average Largest 5-Day Cumulative Precipitation (mm),Precipitation amount during wettest days (mm),Relative Humidity (%),Temperature-based Excess Mortality (factor)
0,1950,15.17,15.52,8.46,1.77,502.21,-0.04756756756756756,23.89,68.0,10.22,54.02,0.09
1,1951,15.38,15.54,9.11,2.86,770.29,-0.96,32.29,71.06,9.57,60.35,0.05
2,1952,15.74,15.59,9.46,3.22,780.77,0.71,28.99,69.19,9.64,58.98,0.09
3,1953,15.75,15.67,9.64,3.55,852.81,0.2,29.89,58.8,8.73,60.19,0.09
4,1954,14.86,15.74,8.57,2.3,808.73,1.16,30.31,110.92,12.42,59.33,0.03
5,1955,17.27,15.79,10.49,3.75,764.62,-0.27,35.17,88.04,9.7,54.68,0.13
6,1956,16.19,15.82,9.6,3.02,677.38,0.08,29.52,63.42,15.32,55.31,0.15
7,1957,14.85,15.84,8.52,2.22,657.46,-1.02,30.77,53.72,6.73,58.76,0.05
8,1958,16.16,15.86,9.95,3.76,944.23,0.78,29.03,73.36,9.37,58.06,0.1
9,1959,15.46,15.9,9.31,3.18,792.01,0.58,37.65,87.71,6.16,60.23,0.04
10,1960,15.37,15.96,9.12,2.91,740.04,0.66,33.26,63.4,11.06,60.3,0.06
11,1961,16.89,16.06,10.32,3.79,595.87,-0.89,25.13,45.13,12.9,55.55,0.08
12,1962,16.26,16.16,9.87,3.52,723.59,-0.85,32.42,68.18,7.74,58.02,0.1
13,1963,17.07,16.25,10.64,4.23,821.8,0.32,25.41,60.33,8.07,59.62,0.04
14,1964,15.07,16.31,8.76,2.46,732.0,0.88,27.1,69.81,9.53,59.17,0.03
15,1965,16.51,16.29,10.22,3.95,721.9,-0.54,48.01,87.4,10.25,57.06,0.07
16,1966,16.72,16.2,10.44,4.19,689.56,-0.31,34.77,63.82,6.14,58.52,0.09
17,1967,15.9,16.05,9.85,3.82,762.91,-0.35,34.03,85.99,10.16,60.61,0.07
18,1968,15.89,15.87,9.83,3.8,828.3,0.32,31.17,73.28,7.94,60.75,0.11
19,1969,14.09,15.69,8.33,2.59,1255.43,2.3,35.77,96.71,17.07,67.07,0.03
20,1970,16.59,15.56,10.23,3.89,657.36,0.33,21.37,51.86,7.58,58.48,0.07
21,1971,17.18,15.51,10.6,4.05,570.44,-1.13,28.38,49.46,7.82,55.75,0.08
22,1972,13.85,15.54,7.93,2.02,823.05,0.01,20.18,47.78,7.14,61.79,0.01
23,1973,16.33,15.63,10.02,3.73,634.37,0.28,23.23,54.08,16.98,59.02,0.09
24,1974,15.1,15.75,9.1,3.12,597.83,-1.27,19.63,41.42,8.2,58.49,0.08
25,1975,16.27,15.87,10.03,3.81,549.19,-1.45,26.81,48.93,6.67,55.68,0.13
26,1976,15.36,15.97,9.5,3.67,732.65,-0.65,31.42,67.26,14.17,61.5,0.1
27,1977,16.35,16.03,10.37,4.41,749.83,-0.74,40.09,105.11,6.76,60.47,0.09
28,1978,16.02,16.06,10.05,4.12,840.33,0.38,29.71,58.94,12.3,61.48,0.1
29,1979,16.28,16.08,10.3,4.34,787.08,1.05,33.57,73.12,11.25,61.69,0.08
30,1980,16.4,16.09,10.39,4.4,684.42,-0.36,25.96,53.72,5.66,61.07,0.09
31,1981,16.42,16.12,10.57,4.75,858.24,0.19,26.46,59.92,8.37,63.61,0.04
32,1982,15.57,16.17,9.67,3.8,623.46,-0.48,28.35,44.79,10.46,61.07,0.06
33,1983,17.1,16.24,10.87,4.66,609.31,-0.77,24.22,42.74,5.97,58.86,0.13
34,1984,15.19,16.31,9.25,3.32,699.97,-0.58,31.02,54.07,7.45,60.49,0.14
35,1985,16.11,16.35,10.01,3.94,712.83,0.1,29.94,53.22,5.51,60.11,0.06
36,1986,16.38,16.37,10.32,4.29,662.88,-1.1,25.03,61.47,5.77,59.96,0.08
37,1987,16.06,16.33,10.27,4.5,967.36,0.93,37.33,78.08,8.91,64.84,0.06
38,1988,16.98,16.23,10.86,4.78,708.26,0.47,18.32,46.81,17.35,61.02,0.11
39,1989,16.12,16.12,9.9,3.71,706.47,-0.63,40.51,89.13,5.74,60.18,0.06
40,1990,16.66,16.01,10.64,4.65,761.78,0.38,30.59,57.08,3.44,62.9,0.1
41,1991,16.09,15.94,10.19,4.31,787.27,-0.19,29.99,86.33,12.65,63.19,0.05
42,1992,15.73,15.92,9.99,4.27,776.61,0.73,31.28,61.69,7.74,65.03,0.03
43,1993,14.88,15.99,9.25,3.64,1070.28,1.04,31.16,104.63,10.11,66.91,0.04
44,1994,15.92,16.12,9.92,3.95,831.22,1.14,33.94,66.21,7.33,63.6,0.07
45,1995,17.36,16.29,10.97,4.61,539.82,-0.27,27.04,43.84,5.92,60.42,0.07
46,1996,15.79,16.47,9.69,3.6,763.17,-0.22,25.19,58.07,5.82,62.12,0.08
47,1997,17.14,16.65,10.95,4.8,715.47,-0.22,23.83,44.94,9.94,63.17,0.13
48,1998,16.38,16.8,10.51,4.67,1042.24,0.92,34.2,79.44,21.34,64.54,0.08
49,1999,17.09,16.92,11.13,5.19,874.88,0.78,35.01,54.33,9.27,62.36,0.05
50,2000,17.07,17.01,11.03,5.03,647.76,-0.52,23.32,48.7,5.1,59.41,0.08
51,2001,17.46,17.06,11.27,5.11,709.08,-0.72,26.64,58.69,3.78,58.88,0.07
52,2002,17.19,17.1,11.12,5.09,942.83,0.89,40.72,64.98,14.54,64.16,0.08
53,2003,16.16,17.11,10.5,4.88,988.89,1.22,32.43,77.07,17.63,64.84,0.07
54,2004,17.45,17.1,11.58,5.74,828.72,0.45,32.39,79.3,7.33,61.82,0.08
55,2005,17.14,17.09,11.18,5.25,745.98,0.46,33.37,71.91,7.29,60.73,0.11
56,2006,17.16,17.06,11.16,5.19,751.76,-0.62,27.26,67.58,6.41,61.53,0.1
57,2007,17.28,17.03,11.18,5.11,722.8,-0.31,26.49,82.26,9.61,60.68,0.08
58,2008,16.65,17.01,10.66,4.68,639.28,-1.31,32.79,63.23,4.82,60.62,0.15
59,2009,16.94,17.0,11.07,5.22,851.3,0.27,30.05,54.12,14.89,61.75,0.05
60,2010,17.72,17.0,11.68,5.69,865.35,0.89,25.04,68.69,6.0,62.52,0.08
61,2011,16.57,17.01,10.68,4.83,752.85,-1.11,31.35,70.52,6.88,60.38,0.13
62,2012,16.44,17.05,10.38,4.34,664.57,-0.06,23.86,52.57,7.55,59.81,0.09
63,2013,17.7,17.11,11.59,5.51,683.03,-0.64,28.83,41.94,4.77,58.78,0.12
64,2014,16.64,17.19,10.28,3.94,764.9,-0.3,24.22,72.01,6.91,58.19,0.12
65,2015,17.45,17.3,11.55,5.69,833.42,-0.24,26.23,61.88,7.9,60.94,0.15
66,2016,18.12,17.42,11.91,5.75,837.51,0.0,26.84,66.87,7.77,60.31,0.12
67,2017,17.47,17.55,11.13,4.83,785.69,0.67,32.54,76.1,8.79,58.7,0.13
68,2018,17.51,17.67,11.16,4.86,714.43,-0.81,27.88,63.21,8.97,58.05,0.15
69,2019,17.97,17.77,11.86,5.79,716.44,-0.09,23.21,58.08,8.66,59.59,0.16
70,2020,16.92,17.86,10.81,4.72,641.51,-0.69,25.02,60.33,7.05,58.49,0.07
71,2021,18.36,17.93,11.91,5.49,608.53,-1.31,26.96,64.38,5.82,53.47,0.19
72,2022,17.79,17.99,12.15,6.55,853.44,-0.57,34.44,97.93,8.08,58.95,0.16
73,2023,18.86,18.04,12.7,6.58,691.29,-0.53,25.49,51.46,5.08,57.24,0.15
74,2024,17.62,18.09,11.82,6.03,879.99,-0.01,33.88,61.75,8.37,62.75,0.09
