,Year,Average Maximum Surface Air Temperature (Annual Mean °C),5-year smooth (Gaussian Smooth),Average Mean Surface Air Temperature (Annual Mean °C),Average Minimum Surface Air Temperature (Annual Mean °C),Precipitation (Annual Mean mm),Annual SPEI Drought Index (spei index),Average Largest 1-Day Precipitation (mm),Average Largest 5-Day Cumulative Precipitation (mm),Precipitation amount during wettest days (mm),Relative Humidity (%),Temperature-based Excess Mortality (factor)
0,1950,16.45,11.97951226237204,11.08,5.3,178.2,-0.17,9.53,21.5,3.08,48.93,0.05
1,1951,17.12,11.97951226237204,11.86,6.13,225.46,-0.19,11.35,23.4,4.46,50.79,0.06
2,1952,17.44,11.97951226237204,12.21,6.55,264.1,0.62,14.71,28.59,5.63,50.55,0.1
3,1953,17.58,12.246896418224207,12.55,7.06,327.42,0.47,14.28,29.66,6.89,53.43,0.06
4,1954,16.71,12.380481075743251,11.44,5.81,282.83,1.7,15.87,28.41,9.75,53.7,0.03
5,1955,19.11,12.430137300773579,13.54,7.55,221.21,-0.52,11.63,23.29,6.83,47.03,0.14
6,1956,17.61,12.437489507563573,12.25,6.5,239.3,0.29,12.27,25.19,7.54,49.72,0.1
7,1957,17.18,12.350272403315154,11.89,6.0,240.18,-0.08,10.11,19.93,3.65,51.53,0.03
8,1958,17.96,12.133042716188838,12.81,7.14,279.8,0.48,14.21,27.94,6.53,51.71,0.06
9,1959,16.69,12.202959746277045,11.58,6.1,241.5,0.8,12.87,25.99,5.17,54.36,0.04
10,1960,17.22,12.381151044981305,11.92,6.2,214.8,0.38,11.17,19.22,4.84,53.05,0.07
11,1961,18.9,12.657501685807157,13.4,7.39,210.37,-0.59,13.03,22.91,7.71,50.72,0.08
12,1962,17.94,12.802817321114746,12.65,6.91,219.24,-0.4,11.1,17.84,3.88,52.79,0.1
13,1963,18.62,12.788290027420294,13.38,7.67,270.22,0.04,12.06,22.92,4.95,53.46,0.04
14,1964,16.86,12.733279285587006,11.77,6.21,277.33,1.39,16.23,29.54,7.85,54.71,0.05
15,1965,18.18,12.79695423563857,12.99,7.38,227.82,0.22,12.18,18.89,5.45,52.79,0.07
16,1966,18.96,12.792980927432083,13.4,7.39,200.91,-0.61,14.06,23.06,5.12,50.29,0.11
17,1967,17.88,12.559916673052138,12.57,6.78,270.25,0.0,13.53,25.85,6.1,54.97,0.07
18,1968,17.83,12.21993238425813,12.39,6.45,247.95,0.01,11.43,21.68,3.43,53.01,0.08
19,1969,15.81,12.139722835664273,10.8,5.27,399.28,1.61,21.23,40.45,12.33,58.54,0.06
20,1970,18.24,12.170287582727294,12.71,6.79,216.56,0.36,11.2,19.35,3.85,52.85,0.06
21,1971,18.99,12.270074055270547,13.37,7.27,181.01,-0.7,9.7,17.47,2.81,51.49,0.07
22,1972,16.37,12.239474796356783,10.97,4.87,259.06,0.11,11.34,21.1,4.18,54.01,0.03
23,1973,18.05,12.181384869312623,12.74,6.97,255.08,0.5,12.68,22.98,6.15,54.91,0.1
24,1974,17.19,12.137159422108299,11.68,5.71,199.26,-0.11,13.38,22.74,3.61,51.49,0.07
25,1975,18.5,12.308125800444687,12.97,6.94,190.89,-0.83,12.1,20.47,3.91,49.84,0.14
26,1976,16.75,12.32200214730766,11.62,6.08,259.77,-0.05,13.94,27.47,6.82,55.65,0.1
27,1977,18.02,12.514754717980635,12.83,7.05,229.26,-0.3,12.78,25.1,4.02,54.9,0.1
28,1978,17.46,12.63335025260721,12.42,6.92,311.04,0.85,14.0,23.34,7.75,56.66,0.09
29,1979,18.51,12.844410066845205,13.22,7.46,269.12,0.92,14.84,27.14,9.12,54.66,0.11
30,1980,17.7,12.804745716257601,12.64,7.02,272.03,0.23,12.43,19.98,5.49,56.91,0.1
31,1981,18.19,12.870427668051265,13.17,7.81,332.63,1.21,17.64,32.81,7.62,57.97,0.06
32,1982,17.28,12.73068175729411,12.07,6.47,232.31,0.4,10.93,17.85,5.68,56.34,0.05
33,1983,19.16,12.64378378712713,13.8,8.12,225.35,-0.02,10.87,19.15,3.51,54.27,0.16
34,1984,16.77,12.537995122072275,11.49,5.79,237.04,-0.01,14.35,25.33,9.93,53.72,0.17
35,1985,18.04,12.550256468564713,12.67,6.87,243.14,0.14,12.13,22.58,5.49,54.02,0.1
36,1986,18.23,12.60778437283384,12.84,7.05,217.0,-0.67,11.57,24.35,3.39,52.63,0.09
37,1987,17.65,12.804806931954339,12.51,7.02,295.35,0.74,13.27,28.35,6.38,56.17,0.09
38,1988,18.45,12.91565838439047,13.23,7.59,282.91,0.65,12.74,24.67,7.0,55.89,0.1
39,1989,18.1,12.970877583222107,12.76,6.97,230.06,0.13,15.31,27.21,7.33,54.2,0.08
40,1990,18.54,12.937975168381195,13.32,7.66,259.14,-0.12,10.66,21.29,4.33,55.52,0.1
41,1991,17.91,12.667422465475932,12.76,7.11,294.02,0.41,15.84,31.83,8.67,56.11,0.07
42,1992,17.46,12.401004647288197,12.41,6.88,286.84,0.98,14.1,25.4,5.14,57.26,0.05
43,1993,16.53,12.346802766892859,11.58,6.0,314.92,0.96,14.46,27.26,7.29,57.35,0.07
44,1994,17.57,12.451661157482588,12.36,6.63,261.32,0.87,13.99,23.22,7.62,56.43,0.06
45,1995,19.25,12.734940348467312,13.65,7.61,189.24,-0.26,9.94,18.28,3.74,52.44,0.11
46,1996,17.74,12.96675960342886,12.08,5.89,194.05,-0.66,13.31,23.42,7.35,51.52,0.09
47,1997,19.22,13.148445912814667,13.67,7.6,269.2,-0.34,13.99,28.94,5.92,53.24,0.13
48,1998,18.29,13.290816765233398,13.03,7.24,321.09,0.53,15.35,28.69,8.39,55.04,0.12
49,1999,19.16,13.528873318432153,13.69,7.61,254.98,-0.57,11.54,17.99,3.52,53.5,0.11
50,2000,19.12,13.605285134876988,13.62,7.52,184.18,-1.18,9.0,13.45,1.6,52.98,0.11
51,2001,19.24,13.588000590832902,13.79,7.62,196.73,-1.4,12.1,17.46,4.33,52.17,0.09
52,2002,19.04,13.55999854325372,13.62,7.68,325.12,0.31,20.42,35.87,9.54,55.3,0.14
53,2003,18.02,13.613125915382948,12.87,7.3,355.54,1.02,16.0,26.99,7.65,57.61,0.09
54,2004,19.71,13.715136795053576,14.25,8.23,274.2,-0.03,14.31,27.81,8.29,53.75,0.09
55,2005,19.47,13.817777487998892,13.99,7.97,246.54,-0.36,13.5,28.84,7.63,52.6,0.16
56,2006,19.11,13.793699361063267,13.62,7.44,230.64,-1.17,11.77,18.14,4.1,52.64,0.14
57,2007,19.56,13.639119989263566,13.89,7.64,228.28,-1.06,12.2,28.91,3.83,52.17,0.12
58,2008,18.97,13.624984840923839,13.19,6.79,181.95,-1.81,8.06,13.42,2.56,52.01,0.17
59,2009,18.97,13.620852160770399,13.59,7.57,285.68,-0.65,12.85,21.55,4.85,54.5,0.07
60,2010,20.04,13.5538296893259,14.24,7.97,223.86,-0.58,12.19,21.95,4.3,51.15,0.18
61,2011,18.55,13.576834764147485,13.06,6.87,222.85,-1.92,12.23,23.99,5.94,51.08,0.18
62,2012,18.8,13.489352627397096,13.14,6.88,220.57,-0.81,14.25,24.74,4.81,50.03,0.16
63,2013,19.93,13.500202400730917,14.38,8.24,229.02,-1.37,11.96,22.79,6.5,50.92,0.1
64,2014,18.37,13.684131446357409,12.69,6.32,227.03,-1.04,12.46,21.62,4.0,50.5,0.18
65,2015,19.3,13.853010145874189,14.08,8.19,292.64,-0.64,12.91,27.47,7.71,53.05,0.21
66,2016,19.87,13.89004051418785,14.52,8.75,280.68,-0.4,11.57,22.45,5.13,53.23,0.11
67,2017,19.22,13.992503432249487,13.74,7.67,229.94,-0.27,11.75,26.05,4.96,50.88,0.18
68,2018,19.02,13.897106945106609,13.48,7.25,215.86,-1.31,16.07,24.27,7.08,49.56,0.18
69,2019,19.93,13.916946069409336,14.49,8.5,260.69,-0.6,12.95,24.58,4.97,51.44,0.2
70,2020,19.04,14.047688381664164,13.44,7.12,220.77,-1.33,14.43,27.54,8.26,50.09,0.16
71,2021,20.42,14.312978236295557,14.48,7.84,162.8,-2.05,13.32,25.61,4.22,46.49,0.27
72,2022,19.81,14.500325541052863,14.39,8.37,239.9,-1.7,10.56,25.83,5.59,51.71,0.18
