,Year,Average Maximum Surface Air Temperature (Annual Mean °C),5-year smooth (Gaussian Smooth),Average Mean Surface Air Temperature (Annual Mean °C),Average Minimum Surface Air Temperature (Annual Mean °C),Precipitation (Annual Mean mm),Category,Annual SPEI Drought Index (spei index),Average Largest 1-Day Precipitation (mm),Average Largest 5-Day Cumulative Precipitation (mm),Precipitation amount during wettest days (mm),Relative Humidity (%),Temperature-based Excess Mortality (factor)
0,1950,18.91,19.49,12.14,5.39,59.87,1950,-0.20702702702702705,5.46,9.16,0.0,44.06,0.04
1,1951,19.49,19.53,13.04,6.61,78.09,1951,-0.16,8.08,12.49,0.0,43.75,0.07
2,1952,19.6,19.6,13.2,6.84,118.81,1952,0.54,11.57,24.25,0.0,44.74,0.09
3,1953,19.87,19.68,13.65,7.45,108.3,1953,0.24,15.72,27.0,0.0,48.62,0.06
4,1954,19.02,19.77,12.59,6.18,85.79,1954,1.4,12.03,20.33,0.06,48.14,0.03
5,1955,21.42,19.83,14.57,7.76,60.95,1955,-0.77,9.74,19.28,0.05,43.24,0.16
6,1956,19.61,19.87,13.2,6.83,78.05,1956,0.06,11.05,12.58,1.15,45.2,0.1
7,1957,19.37,19.89,12.81,6.28,80.15,1957,0.22,11.12,16.84,0.0,46.97,0.03
8,1958,20.45,19.92,14.04,7.67,114.9,1958,-0.02,8.52,11.73,0.0,46.54,0.06
9,1959,18.9,19.97,12.8,6.74,94.15,1959,1.11,14.83,31.52,0.0,50.02,0.04
10,1960,19.77,20.04,13.23,6.72,70.29,1960,0.09,5.1,7.2,0.0,47.62,0.06
11,1961,21.25,20.15,14.47,7.73,58.45,1961,-0.96,5.63,8.89,0.0,46.57,0.09
12,1962,20.32,20.26,13.79,7.29,99.88,1962,-0.63,5.75,8.12,0.0,49.24,0.09
13,1963,20.86,20.37,14.45,8.08,108.76,1963,0.13,7.73,17.9,0.0,50.78,0.04
14,1964,19.18,20.44,12.76,6.37,109.09,1964,1.22,9.73,12.71,0.0,49.94,0.08
15,1965,20.49,20.45,13.99,7.52,70.55,1965,0.46,8.22,12.63,0.0,49.47,0.07
16,1966,21.14,20.39,14.44,7.77,123.86,1966,-0.3,16.9,19.36,6.02,46.4,0.13
17,1967,20.3,20.27,13.75,7.25,116.82,1967,0.05,9.2,21.26,0.0,50.53,0.06
18,1968,20.3,20.12,13.74,7.22,91.85,1968,-0.16,10.22,17.07,0.0,48.75,0.06
19,1969,18.23,19.98,12.15,6.1,204.79,1969,1.44,10.6,19.78,0.5,53.98,0.08
20,1970,20.69,19.86,14.06,7.48,75.9,1970,0.29,9.73,11.83,0.0,49.37,0.06
21,1971,21.33,19.81,14.53,7.78,72.4,1971,-0.17,12.67,17.44,0.0,49.86,0.07
22,1972,18.53,19.83,11.96,5.44,82.73,1972,0.33,11.78,18.39,0.0,49.03,0.03
23,1973,20.3,19.9,13.82,7.38,136.37,1973,0.58,17.37,20.03,5.04,52.19,0.1
24,1974,19.39,19.99,12.85,6.32,75.11,1974,0.37,9.67,15.61,0.0,46.38,0.07
25,1975,20.89,20.08,14.12,7.39,58.49,1975,-0.75,11.86,15.57,0.0,46.26,0.15
26,1976,19.3,20.17,13.01,6.75,98.4,1976,-0.24,15.34,26.17,6.96,50.98,0.12
