"Category","Annual SPEI Drought Index (spei index)"
1950,
1951,-0.12
1952,0.58
1953,0.01
1954,1.41
1955,-0.27
1956,-0.17
1957,-0.48
1958,0.76
1959,0.73
1960,0.53
1961,-1.08
1962,-1.37
1963,0.29
1964,0.94
1965,-0.3
1966,-0.03
1967,-0.65
1968,-0.08
1969,2.16
1970,0.5
1971,-1.35
1972,-0.37
1973,0.29
1974,-1.14
1975,-1.11
1976,-0.38
1977,-0.46
1978,0.13
1979,0.01
1980,-0.19
1981,0.32
1982,-0.6
1983,-0.56
1984,-0.44
1985,0.17
1986,-1.11
1987,0.85
1988,0.99
1989,-0.6
1990,0.51
1991,0.03
1992,0.97
1993,1.14
1994,1.14
1995,-0.47
1996,0.08
1997,-0.62
1998,0.84
1999,0.92
2000,-0.25
2001,-0.51
2002,0.45
2003,0.86
2004,0.44
2005,0.66
2006,-0.15
2007,-0.43
2008,-1.24
2009,-0.06
2010,0.95
2011,-0.64
2012,0.46
2013,-0.66
2014,-0.42
2015,-0.21
2016,0.29
2017,0.96
2018,0.03
2019,0.23
2020,-0.37
2021,-0.37
2022,-0.5
2023,-0.57
2024,-0.49
