"Category","Average Largest 1-Day Precipitation (mm)"
1950,16.67
1951,16.6
1952,20.06
1953,20.18
1954,19.73
1955,24.41
1956,20.52
1957,15.6
1958,25.44
1959,28.01
1960,19.39
1961,11.45
1962,18.45
1963,19.52
1964,19.33
1965,27.36
1966,21.97
1967,19.5
1968,16.58
1969,23.11
1970,18.69
1971,15.51
1972,21.32
1973,16.98
1974,13.03
1975,16.64
1976,20.05
1977,37.75
1978,14.55
1979,25.65
1980,18.56
1981,18.2
1982,16.66
1983,15.29
1984,19.95
1985,16.05
1986,18.09
1987,23.4
1988,15.63
1989,28.43
1990,21.64
1991,23.41
1992,24.19
1993,22.21
1994,19.22
1995,15.05
1996,21.92
1997,16.43
1998,24.85
1999,23.92
2000,23.81
2001,17.63
2002,14.49
2003,22.98
2004,27.59
2005,20.37
2006,20.05
2007,21.37
2008,22.17
2009,15.36
2010,19.8
2011,22.29
2012,16.6
2013,16.08
2014,18.18
2015,21.77
2016,20.27
2017,23.1
2018,17.63
2019,19.7
2020,17.66
2021,20.3
2022,25.33
2023,21.58
2024,35.84
