"Category","Average Largest 5-Day Cumulative Precipitation (mm)"
1950,48.67
1951,47.59
1952,42.73
1953,45.01
1954,68.41
1955,62.62
1956,51.67
1957,32.95
1958,59.35
1959,61.81
1960,51.51
1961,26.51
1962,44.99
1963,47.35
1964,39.33
1965,52.41
1966,46.29
1967,48.41
1968,44.69
1969,64.96
1970,43.69
1971,30.34
1972,49.96
1973,47.39
1974,27.8
1975,33.99
1976,47.15
1977,98.94
1978,31.92
1979,60.15
1980,40.38
1981,36.42
1982,32.77
1983,34.6
1984,41.79
1985,35.44
1986,39.67
1987,59.11
1988,37.25
1989,60.7
1990,45.18
1991,65.68
1992,55.03
1993,66.07
1994,45.49
1995,25.07
1996,45.42
1997,32.64
1998,61.09
1999,40.17
2000,47.85
2001,40.73
2002,36.11
2003,61.64
2004,57.98
2005,50.43
2006,47.32
2007,62.65
2008,48.53
2009,37.45
2010,47.4
2011,61.49
2012,45.2
2013,30.52
2014,40.43
2015,40.06
2016,47.27
2017,46.44
2018,52.38
2019,46.89
2020,45.35
2021,44.81
2022,62.76
2023,54.86
2024,66.35
