"Category","Precipitation amount during wettest days (mm)"
1950,6.31
1951,4.9
1952,9.17
1953,10.47
1954,7.94
1955,15.01
1956,9.32
1957,4.13
1958,12.27
1959,12.63
1960,12.91
1961,2.87
1962,6.89
1963,11.27
1964,11.26
1965,12.35
1966,7.98
1967,11.23
1968,5.87
1969,18.97
1970,8.22
1971,3.75
1972,7.43
1973,7.57
1974,1.95
1975,3.79
1976,10.22
1977,23.71
1978,4.59
1979,16.18
1980,9.93
1981,8.22
1982,9.68
1983,3.63
1984,10.92
1985,7.13
1986,7.25
1987,14.32
1988,5.06
1989,9.73
1990,9.83
1991,6.29
1992,10.55
1993,15.74
1994,14.54
1995,4.97
1996,13.22
1997,5.44
1998,12.42
1999,10.38
2000,8.14
2001,5.85
2002,4.9
2003,9.7
2004,12.43
2005,11.7
2006,9.32
2007,9.67
2008,12.3
2009,6.32
2010,9.17
2011,8.45
2012,5.92
2013,8.1
2014,6.36
2015,8.05
2016,9.51
2017,10.65
2018,10.53
2019,8.79
2020,6.52
2021,12.88
2022,7.01
2023,15.49
2024,17.52
