"Category","Relative Humidity (%)"
1950,51.95
1951,57.17
1952,53.92
1953,55.63
1954,56.14
1955,49.89
1956,50.87
1957,55.73
1958,54.98
1959,54.81
1960,53.97
1961,49.29
1962,50.64
1963,53.12
1964,53.87
1965,51.3
1966,52.91
1967,52.9
1968,53.7
1969,63.23
1970,53.34
1971,49.49
1972,55.77
1973,52.34
1974,53.28
1975,50.53
1976,56.85
1977,55.54
1978,54.82
1979,53.74
1980,55.96
1981,58.34
1982,52.8
1983,53.08
1984,54.44
1985,54.51
1986,53.7
1987,60.18
1988,55.88
1989,54.19
1990,57.56
1991,58.21
1992,59.05
1993,61.61
1994,57.48
1995,53.61
1996,57.44
1997,55.52
1998,59.81
1999,57.55
2000,54.34
2001,54.43
2002,57.16
2003,58.88
2004,57.1
2005,56.53
2006,57.43
2007,55.51
2008,54.81
2009,56.34
2010,58.92
2011,56.25
2012,55.41
2013,55.2
2014,53.55
2015,57.9
2016,56.5
2017,55.06
2018,56.07
2019,55.57
2020,54.71
2021,50.89
2022,53.81
2023,52.27
2024,57.74
