"Category","Temperature-based Excess Mortality (factor)"
1950,0.06
1951,0.03
1952,0.05
1953,0.07
1954,0.01
1955,0.1
1956,0.14
1957,0.02
1958,0.08
1959,0.05
1960,0.06
1961,0.09
1962,0.09
1963,0.05
1964,0.03
1965,0.07
1966,0.09
1967,0.07
1968,0.11
1969,0.03
1970,0.07
1971,0.11
1972,0.02
1973,0.11
1974,0.07
1975,0.12
1976,0.09
1977,0.09
1978,0.12
1979,0.11
1980,0.07
1981,0.04
1982,0.08
1983,0.11
1984,0.15
1985,0.06
1986,0.07
1987,0.05
1988,0.11
1989,0.05
1990,0.12
1991,0.05
1992,0.03
1993,0.03
1994,0.08
1995,0.07
1996,0.07
1997,0.14
1998,0.07
1999,0.04
2000,0.07
2001,0.07
2002,0.09
2003,0.1
2004,0.09
2005,0.09
2006,0.09
2007,0.08
2008,0.15
2009,0.05
2010,0.04
2011,0.11
2012,0.07
2013,0.1
2014,0.12
2015,0.12
2016,0.1
2017,0.1
2018,0.11
2019,0.13
2020,0.05
2021,0.09
2022,0.17
2023,0.15
2024,0.1
