"Category","Average Maximum Surface Air Temperature (Annual Mean °C)","5-year smooth (Gaussian Smooth)"
1901,16.24,16.5
1902,17.08,16.29
1903,15.31,16.1
1904,16.29,15.96
1905,15.64,15.89
1906,16.39,15.9
1907,15.29,16.02
1908,16.43,16.24
1909,17.57,16.49
1910,16.4,16.73
1911,15.84,16.92
1912,17.22,17.01
1913,16.51,16.97
1914,17.09,16.84
1915,17.82,16.66
1916,15.87,16.45
1917,17.28,16.26
1918,16.01,16.11
1919,16.2,16.01
1920,13.9,15.95
1921,15.36,15.93
1922,16.98,15.96
1923,15.72,16.02
1924,16.15,16.1
1925,17.47,16.16
1926,16.61,16.18
1927,16.44,16.11
1928,14.97,15.93
1929,14.99,15.63
1930,14.95,15.29
1931,14.73,14.98
1932,15.2,14.76
1933,15.79,14.72
1934,14.26,14.9
1935,15.17,15.26
1936,16.3,15.71
1937,15.46,16.19
1938,16.56,16.6
1939,16.89,16.87
1940,17.23,16.98
1941,17.91,16.97
1942,16.28,16.85
1943,15.5,16.67
1944,17.04,16.45
1945,15.57,16.21
1946,16.26,15.99
1947,17.01,15.79
1948,16.29,15.63
1949,14.39,15.52
1950,15.13,15.49
1951,15.4,15.52
1952,15.73,15.58
1953,15.78,15.67
1954,14.86,15.75
1955,17.2,15.81
1956,16.23,15.85
1957,14.9,15.87
1958,16.21,15.89
1959,15.51,15.93
1960,15.43,15.99
1961,16.85,16.08
1962,16.25,16.18
1963,17.1,16.27
1964,15.05,16.31
1965,16.55,16.3
1966,16.74,16.22
1967,15.9,16.07
1968,15.95,15.9
1969,14.15,15.73
1970,16.62,15.61
1971,17.17,15.56
1972,13.94,15.59
1973,16.37,15.67
1974,15.17,15.79
1975,16.3,15.91
1976,15.37,16.01
1977,16.42,16.07
1978,16.05,16.11
1979,16.36,16.14
1980,16.44,16.16
1981,16.49,16.19
1982,15.65,16.24
1983,17.14,16.3
1984,15.28,16.36
1985,16.13,16.39
1986,16.4,16.4
1987,16.09,16.36
1988,17.03,16.27
1989,16.12,16.17
1990,16.73,16.07
1991,16.19,16
1992,15.87,15.99
1993,14.91,16.04
1994,15.96,16.16
1995,17.27,16.31
1996,15.77,16.48
1997,17.21,16.65
1998,16.41,16.8
1999,17.11,16.92
2000,17.05,17.01
2001,17.52,17.08
2002,17.18,17.12
2003,16.2,17.14
2004,17.44,17.13
2005,17.13,17.11
2006,17.19,17.08
2007,17.28,17.04
2008,16.66,17.01
2009,16.97,16.99
2010,17.66,16.98
2011,16.61,17
2012,16.48,17.05
2013,17.68,17.14
2014,16.66,17.28
2015,17.54,17.44
2016,18.38,17.63
2017,17.8,17.81
2018,17.93,17.97
2019,18.32,18.1
2020,17.21,18.18
2021,18.54,18.23
2022,18,18.24
2023,18.99,18.24
2024,17.89,18.23
