"Category","Average Mean Surface Air Temperature (Annual Mean °C)","5-year smooth (Gaussian Smooth)"
1901,9.65,9.92
1902,10.49,9.72
1903,8.87,9.55
1904,9.48,9.41
1905,9.19,9.34
1906,9.92,9.35
1907,9.05,9.46
1908,9.76,9.65
1909,10.57,9.89
1910,9.93,10.12
1911,9.26,10.31
1912,10.15,10.41
1913,10.17,10.42
1914,10.97,10.33
1915,11.62,10.2
1916,9.37,10.02
1917,10.77,9.85
1918,9.13,9.69
1919,9.17,9.55
1920,8.15,9.45
1921,9.18,9.4
1922,10.4,9.39
1923,9.16,9.45
1924,9.59,9.54
1925,10.38,9.64
1926,10.16,9.71
1927,10.03,9.72
1928,8.99,9.63
1929,8.67,9.44
1930,8.88,9.19
1931,8.95,8.95
1932,9.19,8.77
1933,9.57,8.72
1934,8.41,8.83
1935,9.05,9.07
1936,9.61,9.39
1937,8.88,9.73
1938,9.98,10.03
1939,10.35,10.25
1940,10.71,10.36
1941,11.25,10.37
1942,10,10.31
1943,9.15,10.18
1944,10.47,10.01
1945,9.18,9.8
1946,9.7,9.59
1947,10.38,9.39
1948,9.69,9.23
1949,8.35,9.14
1950,8.59,9.13
1951,9.22,9.18
1952,9.59,9.28
1953,9.74,9.39
1954,8.66,9.49
1955,10.56,9.56
1956,9.7,9.58
1957,8.62,9.59
1958,10.04,9.59
1959,9.44,9.62
1960,9.24,9.68
1961,10.43,9.8
1962,10.02,9.93
1963,10.75,10.06
1964,8.86,10.15
1965,10.32,10.17
1966,10.53,10.1
1967,9.95,9.95
1968,9.93,9.78
1969,8.42,9.61
1970,10.34,9.48
1971,10.66,9.44
1972,8.03,9.48
1973,10.12,9.59
1974,9.19,9.74
1975,10.13,9.89
1976,9.61,10.02
1977,10.47,10.12
1978,10.15,10.19
1979,10.43,10.24
1980,10.49,10.27
1981,10.69,10.3
1982,9.81,10.33
1983,10.95,10.36
1984,9.38,10.39
1985,10.11,10.4
1986,10.44,10.4
1987,10.38,10.37
1988,11,10.33
1989,10,10.27
1990,10.79,10.21
1991,10.34,10.18
1992,10.19,10.17
1993,9.35,10.2
1994,10.07,10.27
1995,10.98,10.37
1996,9.78,10.49
1997,11.08,10.63
1998,10.63,10.78
1999,11.24,10.93
2000,11.12,11.07
2001,11.4,11.2
2002,11.24,11.29
2003,10.64,11.34
2004,11.71,11.34
2005,11.32,11.31
2006,11.29,11.27
2007,11.33,11.21
2008,10.82,11.17
2009,11.21,11.13
2010,11.8,11.12
2011,10.85,11.12
2012,10.49,11.14
2013,11.72,11.17
2014,10.41,11.21
2015,11.68,11.27
2016,12.03,11.34
2017,11.27,11.43
2018,11.27,11.53
2019,11.96,11.64
2020,10.93,11.77
2021,12,11.91
2022,12.3,12.06
2023,12.79,12.21
2024,11.93,12.37
