"Category","Precipitation (Annual Mean mm)","5-year smooth (Gaussian Smooth)"
1901,571.77,617.53
1902,706.77,570.55
1903,463.13,526.62
1904,435,488.69
1905,431.69,460.05
1906,427.58,443.61
1907,545,441.97
1908,522.71,451.99
1909,329.42,466.56
1910,489.35,478.57
1911,509.62,480.92
1912,446.1,466.51
1913,418.09,434.4
1914,489.81,393.74
1915,358.89,354.61
1916,303.74,327.06
1917,149.22,321.37
1918,396.97,344.25
1919,340.54,387.57
1920,560.54,439.06
1921,631.25,486
1922,461.11,516.14
1923,517.46,517.97
1924,488.47,493.28
1925,315.14,454.16
1926,365.54,412.75
1927,272.51,381.22
1928,595.11,371.71
1929,414.25,388.91
1930,392.24,423.29
1931,519.83,463.83
1932,484.16,499.57
1933,465.33,519.26
1934,535.99,514.58
1935,537.77,490.5
1936,367.35,456.29
1937,441.6,421.5
1938,353.24,395.4
1939,334.46,386.85
1940,398,396.35
1941,507.66,417.17
1942,547.13,442.44
1943,549.69,465.27
1944,292.08,478.81
1945,550.39,479.67
1946,354.41,472.1
1947,459.78,461.28
1948,430.16,452.36
1949,554.4,450.57
1950,341.13,459.92
1951,526.57,477.64
1952,519.78,498.53
1953,701.04,517.18
1954,505.19,528.37
1955,387.41,527.1
1956,423.05,513.52
1957,412.86,492.89
1958,632.89,470.57
1959,523.97,451.92
1960,518.63,442.3
1961,296.95,444.67
1962,423.36,455.93
1963,567.42,472.19
1964,440.86,489.58
1965,414.18,504.08
1966,516.69,512.31
1967,465.7,514.1
1968,489.42,510.6
1969,941.92,503.02
1970,408.09,492.53
1971,249.31,480.32
1972,554.14,467.75
1973,381.1,456.45
1974,420.68,448
1975,301.99,443.99
1976,482.98,446.02
1977,634.23,454.56
1978,486.96,467.05
1979,483.35,480.41
1980,480.75,491.62
1981,574.92,497.51
1982,397.24,495.6
1983,393.12,487.49
1984,520.88,476.73
1985,439.1,466.96
1986,405.86,461.74
1987,670.78,464.55
1988,447.51,475.67
1989,390.85,491.4
1990,517.32,507.93
1991,525.16,521.4
1992,465.45,527.97
1993,766.23,525.49
1994,504.99,517.2
1995,268.39,507.35
1996,488.34,500.17
1997,400.83,499.97
1998,830.96,510.29
1999,583.57,528.74
2000,403.86,549.77
2001,413.91,567.63
2002,645.22,576.74
2003,692.04,571.62
2004,547.84,551.66
2005,463.24,523.15
2006,473.52,492.65
2007,478.89,466.77
2008,388.73,452.11
2009,519.36,453.04
2010,548.22,465.67
2011,506.42,484.36
2012,395.53,503.54
2013,450.94,517.46
2014,485.03,521.06
2015,587.38,514.73
2016,595.71,502.11
2017,493.34,486.99
2018,463.57,473.05
2019,452.01,463.99
2020,445.51,461.56
2021,360.54,464.63
2022,596.95,471.82
2023,377.9,481.76
2024,552.88,493.1
